Titulación,Rama,Centro,Campus
Arqueología,Artes y Humanidades,Facultad de Filosofía y Letras,Campus de Cartuja
Bellas Artes,Artes y Humanidades,Facultad de Bellas Artes,Campus de Aynadamar
Conservación y Restauración de Bienes Culturales,Artes y Humanidades,Facultad de Bellas Artes,Campus de Aynadamar
Estudios Árabes e Islámicos,Artes y Humanidades,Facultad de Filosofía y Letras,Campus de Cartuja
Estudios Franceses,Artes y Humanidades,Facultad de Filosofía y Letras,Campus de Cartuja
Estudios Ingleses,Artes y Humanidades,Facultad de Filosofía y Letras,Campus de Cartuja
Filología Clásica,Artes y Humanidades,Facultad de Filosofía y Letras,Campus de Cartuja
Filología Hispánica,Artes y Humanidades,Facultad de Filosofía y Letras,Campus de Cartuja
Filosofía,Artes y Humanidades,Facultad de Filosofía y Letras,Campus de Cartuja
Historia,Artes y Humanidades,Facultad de Filosofía y Letras,Campus de Cartuja
Historia del Arte,Artes y Humanidades,Facultad de Filosofía y Letras,Campus de Cartuja
Historia y Ciencias de la Música,Artes y Humanidades,Facultad de Filosofía y Letras,Campus de Cartuja
Lenguas Modernas y sus Literaturas,Artes y Humanidades,Facultad de Filosofía y Letras,Campus de Cartuja
Literaturas Comparadas,Artes y Humanidades,Facultad de Filosofía y Letras,Campus de Cartuja
Traducción e Interpretación,Artes y Humanidades,Facultad de Traducción e Interpretación,Campus Centro
Biología,Ciencias,Facultad de Ciencias,Campus de Fuentenueva
Bioquímica,Ciencias,Facultad de Ciencias,Campus de Fuentenueva
Biotecnología,Ciencias,Facultad de Ciencias,Campus de Fuentenueva
Ciencia y Tecnología de los Alimentos,Ciencias,Facultad de Farmacia,Campus de Cartuja
Ciencias Ambientales,Ciencias,Facultad de Ciencias,Campus de Fuentenueva
Estadística,Ciencias,Facultad de Ciencias,Campus de Fuentenueva
Física,Ciencias,Facultad de Ciencias,Campus de Fuentenueva
Geología,Ciencias,Facultad de Ciencias,Campus de Fuentenueva
Ingeniería Informática y Matemáticas,Ciencias,Facultad de Ciencias,Campus de Fuentenueva
Matemáticas,Ciencias,Facultad de Ciencias,Campus de Fuentenueva
Óptica y Optometría,Ciencias,Facultad de Ciencias,Campus de Fuentenueva
Química,Ciencias,Facultad de Ciencias,Campus de Fuentenueva
Enfermería,Ciencias de la Salud,Facultad de Ciencias de la Salud,Campus de Ciencias de la Salud
Enfermería (Ceuta),Ciencias de la Salud,Facultad de Ciencias de la Salud de Ceuta,Campus de Ceuta
Enfermería (Melilla),Ciencias de la Salud,Facultad de Enfermería de Melilla,Campus de Melilla
Farmacia,Ciencias de la Salud,Facultad de Farmacia,Campus de Cartuja
Fisioterapia,Ciencias de la Salud,Facultad de Ciencias de la Salud,Campus de Ciencias de la Salud
Logopedia,Ciencias de la Salud,Facultad de Psicología,Campus de Cartuja
Medicina,Ciencias de la Salud,Facultad de Medicina,Campus Centro
Nutrición Humana y Dietética,Ciencias de la Salud,Facultad de Farmacia,Campus de Cartuja
Odontología,Ciencias de la Salud,Facultad de Odontología,Campus de Cartuja
Psicología,Ciencias de la Salud,Facultad de Psicología,Campus de Cartuja
Terapia Ocupacional,Ciencias de la Salud,Facultad de Ciencias de la Salud,Campus de Ciencias de la Salud
Administración y Dirección de Empresas,Ciencias Sociales y Jurídicas,Facultad de Ciencias Económicas y Empresariales,Campus de Cartuja
Administración y Dirección de Empresas (Ceuta),Ciencias Sociales y Jurídicas,"Facultad de Educación, Economía y Tecnología de Ceuta",Campus de Ceuta
Administración y Dirección de Empresas (Melilla),Ciencias Sociales y Jurídicas,Facultad de Ciencias Sociales de Melilla,Campus de Melilla
Administración y Dirección de Empresas y Derecho,Ciencias Sociales y Jurídicas,Facultad de Ciencias Económicas y Empresariales – Facultad de Derecho,Campus de Cartuja – Campus Centro
Administración y Dirección de Empresas y Derecho (Melilla),Ciencias Sociales y Jurídicas,Facultad de Ciencias Sociales de Melilla,Campus de Melilla
Antropología Social y Cultural,Ciencias Sociales y Jurídicas,Facultad de Filosofía y Letras,Campus de Cartuja
Ciencias de la Actividad Física y del Deporte,Ciencias Sociales y Jurídicas,Facultad de Ciencias del Deporte,Campus de Cartuja
Ciencias Políticas y de la Administración,Ciencias Sociales y Jurídicas,Facultad de Ciencias Políticas y Sociología,Campus Centro
Comunicación Audiovisual,Ciencias Sociales y Jurídicas,Facultad de Comunicación y Documentación,Campus de Cartuja
Criminología,Ciencias Sociales y Jurídicas,Facultad de Derecho,Campus Centro
Derecho,Ciencias Sociales y Jurídicas,Facultad de Derecho,Campus Centro
Derecho (Melilla),Ciencias Sociales y Jurídicas,Facultad de Ciencias Sociales de Melilla,Campus de Melilla
Ciencias Políticas de la Administración y Derecho,Ciencias Sociales y Jurídicas,Facultad de Ciencias Políticas y Sociología – Facultad de Derecho,Campus Centro
Economía,Ciencias Sociales y Jurídicas,Facultad de Ciencias Económicas y Empresariales,Campus de Cartuja
Educación Infantil,Ciencias Sociales y Jurídicas,Facultad de Ciencias de la Educación,Campus de Cartuja
Educación Infantil,Ciencias Sociales y Jurídicas,Centro de Magisterio La Inmaculada,Centros Adscritos
Educación Infantil (Ceuta),Ciencias Sociales y Jurídicas,"Facultad de Educación, Economía y Tecnología de Ceuta",Campus de Ceuta
Educación Infantil (Melilla),Ciencias Sociales y Jurídicas,Facultad de Educación y Humanidades de Melilla,Campus de Melilla
Educación Primaria,Ciencias Sociales y Jurídicas,Facultad de Ciencias de la Educación,Campus de Cartuja
Educación Primaria,Ciencias Sociales y Jurídicas,Centro de Magisterio La Inmaculada,Centros Adscritos
Educación Primaria (Ceuta),Ciencias Sociales y Jurídicas,"Facultad de Educación, Economía y Tecnología de Ceuta",Campus de Ceuta
Educación Primaria (Melilla),Ciencias Sociales y Jurídicas,Facultad de Educación y Humanidades de Melilla,Campus de Melilla
Educación Primaria y Ciencias de la Actividad Física y del Deporte,Ciencias Sociales y Jurídicas,Facultad de Educación y Humanidades de Melilla,Campus de Melilla
Educación Social,Ciencias Sociales y Jurídicas,Facultad de Ciencias de la Educación,Campus de Cartuja
Educación Social (Ceuta),Ciencias Sociales y Jurídicas,"Facultad de Educación, Economía y Tecnología de Ceuta",Campus de Ceuta
Educación Social (Melilla),Ciencias Sociales y Jurídicas,Facultad de Educación y Humanidades de Melilla,Campus de Melilla
Finanzas y Contabilidad,Ciencias Sociales y Jurídicas,Facultad de Ciencias Económicas y Empresariales,Campus de Cartuja
Geografía y Gestión del Territorio,Ciencias Sociales y Jurídicas,Facultad de Filosofía y Letras,Campus de Cartuja
Gestión y Administración Pública (Melilla),Ciencias Sociales y Jurídicas,Facultad de Ciencias Sociales de Melilla,Campus de Melilla
Información y Documentación,Ciencias Sociales y Jurídicas,Facultad de Comunicación y Documentación,Campus de Cartuja
Marketing e Investigación de Mercados,Ciencias Sociales y Jurídicas,Facultad de Ciencias Económicas y Empresariales,Campus de Cartuja
Pedagogía,Ciencias Sociales y Jurídicas,Facultad de Ciencias de la Educación,Campus de Cartuja
Relaciones Laborales y Recursos Humanos,Ciencias Sociales y Jurídicas,Facultad de Ciencias del Trabajo,Campus Centro
Relaciones Laborales y Recursos Humanos (Melilla),Ciencias Sociales y Jurídicas,Facultad de Ciencias Sociales de Melilla,Campus de Melilla
Sociología,Ciencias Sociales y Jurídicas,Facultad de Ciencias Políticas y Sociología,Campus Centro
Trabajo Social,Ciencias Sociales y Jurídicas,Facultad de Trabajo Social,Campus Centro
Turismo,Ciencias Sociales y Jurídicas,Facultad de Ciencias Económicas y Empresariales,Campus de Cartuja
Arquitectura,Ingeniería y Arquitectura,Escuela Técnica Superior de Arquitectura,Campus de Fuentenueva
Ingeniería Civil,Ingeniería y Arquitectura,"Escuela Técnica Superior de Ingeniería de Caminos, Canales y Puertos",Campus de Fuentenueva
Edificación,Ingeniería y Arquitectura,Escuela Técnica Superior de Ingeniería de Edificación,Campus de Fuentenueva
Ingeniería de Tecnologías de Telecomunicación,Ingeniería y Arquitectura,Escuela Técnica Superior de Ingeierías Informática y de Telecomunicación,Campus de Aynadamar
Ingeniería Electrónica Industrial,Ingeniería y Arquitectura,Facultad de Ciencias,Campus de Fuentenueva
Ingeniería Informática,Ingeniería y Arquitectura,Escuela Técnica Superior de Ingenierías Informática y de Telecomunicación,Campus de Aynadamar
Ingeniería Informática (Ceuta),Ingeniería y Arquitectura,"Facultad de Educación, Economía y Tecnología de Ceuta",Campus de Ceuta
Ingeniería Informática y Matemáticas,Ingeniería y Arquitectura,Escuela Técnica Superior de Ingeierías Informática y de Telecomunicación,Campus de Aynadamar
Ingeniería Química,Ingeniería y Arquitectura,Facultad de Ciencias,Campus de Fuentenueva
