"Tipo","Titulación","Rama","Centro","Campus"
"Títulos Propios: cursos complementarios","Técnicas de supervivencia en la naturaleza. Bosque (17ª edición) ","Artes y Humanidades","Facultad de Ciencias del Deporte. Sierra de La Almijara","Campus de Cartuja"
"Títulos Propios: cursos complementarios","Diploma en técnicas de supervivencia en la naturaleza. Mar y litoral (12ª edición) ","Artes y Humanidades","Facultad de Ciencias del Deporte. Calnegre (Murcia)","Campus de Cartuja"
"Títulos Propios: cursos complementarios","Diploma en Grecia y Roma VI: más gentes y más cosas (1ª edición) ","Artes y Humanidades","Facultad de Filosofía y Letras","Campus de Cartuja"
"Títulos Propios: cursos complementarios","Técnicas de supervivencia en la naturaleza. Desierto y zonas áridas (12ª edición) ","Artes y Humanidades","Facultad de Ciencias del Deporte. Desierto de Tabernas (Almería)","Campus de Cartuja"
"Títulos Propios: cursos complementarios","Técnicas de supervivencia en la naturaleza. Módulo final (11ª edición) ","Artes y Humanidades","Facultad de Ciencias del Deporte. Sierra del Cazorla, Segura y las Villas","Campus de Cartuja"
"Títulos Propios: cursos complementarios","Pedagogía y didáctica de la religión en la escuela (3ª edición) ","Artes y Humanidades","Facultad de Ciencias de la Educación","Campus de Cartuja"
"Títulos Propios: cursos complementarios","Diploma en formación para investigadores que capacita para la funciones de cuidado de los animales de experimentación, eutanasia y realización de procedimientos a, b y c (1ª edición) ","Ciencias de la Salud","Unidad de Experimentación Animal. Campus de Cartuja","Campus de Cartuja"
"Títulos Propios: cursos complementarios","Introducción al protocolo y las relaciones institucionales (13ª edición)","Ciencias Sociales y Jurídicas","Facultad de Derecho","Campus Centro"
"Títulos Propios: cursos complementarios","Diplomado especialista en wedding planner (2ª edición) ","Ciencias Sociales y Jurídicas","Facultad de Derecho","Campus Centro"
"Títulos Propios: cursos complementarios","Diploma en introducción a ARCGIS: aplicación a las geociencias, al medio ambiente y a la ingeniería civil (19ª edición) ","Ingeniería y Arquitectura","Escuela Técnica Superior de Ingeniería de Caminos, Canales y Puertos: laboratorio de Ingeniería del Terreno","Campus de Fuentenueva"
"Títulos Propios: cursos complementarios","Diploma en edificación con muros de fábrica. Diseño estructural y constructivo (1ª edición) ","Ingeniería y Arquitectura","ETS de Ingeniería de Edificación","Campus de Fuentenueva"
"Títulos Propios: diploma de especialización","Diploma de especialización en medicina de urgencias y emergencias médicas (8ª edición)","Ciencias de la Salud","CMAT. Sede de la Línea Iavante en Granada","Campus de la Salud"
"Títulos Propios: másteres propios","Máster en arteterapia para la intervención social, clínica y psicoeducativa (1ª edición) ","Artes y Humanidades","Facultad de Bellas Artes","Campus de Aynadamar"
"Títulos Propios: másteres propios","Arteterapia para la intervención social, clínica y psicoeducativa (1ª edición)","Artes y Humanidades","Facultad de Bellas Artes","Campus de Aynadamar"
"Títulos Propios: másteres propios","Máster propio de enfermería en cuidados críticos y urgencias. Fc. Salud de ceuta (1ª edición) ","Ciencias de la Salud","CMAT Granada - Facultad de Ciencias de la Salud de Ceuta","Campus de Ciencias de la Salud – Campus de Ceuta"
"Títulos Propios: másteres propios","Master propio en farmacoeconomía hospitalaria (5ª edición)","Ciencias de la Salud","Virtual","Campus Virtual"
"Títulos Propios: másteres propios","Máster propio en dirección y administración de empresas turísticas. Ceuta (3ª edición) ","Ciencias Sociales y Jurídicas","Facultad de Educación y Humanidades de Ceuta","Campus de Ceuta"
"Títulos Propios: másteres propios","Máster propio en derecho penal económico internacional... . (11ª edición) ","Ciencias Sociales y Jurídicas","Campus Virtual UGR-IAEU","Campus Virtual"
"Títulos Propios: másteres propios","Máster propio en derecho penal internacional. (19ª edición) ","Ciencias Sociales y Jurídicas","Campus Virtual UGR-IAEU","Campus Virtual"
