"Titulaciones","Plazas Ofertadas","Cupo General","Mayores 25","Titulados","Deportistas","Discap.","Mayores 40 y 45","Matric. Totales"
"Administración y Dirección de Empresas",281,275,6,3,1,1,0,286
"Administración y Dirección de Empresas (Ceuta)",70,45,2,0,0,0,2,49
"Administración y Dirección de Empresas (Melilla)",70,45,0,1,0,1,0,47
"Administración y Dirección de Empresas + Derecho",143,144,1,2,0,0,0,147
"Administración y Dirección de Empresas + Derecho (Melilla)",60,41,2,0,0,0,0,43
"Antropología Social y Cultural",65,58,0,1,0,0,2,61
"Arqueología",65,63,1,1,0,0,0,65
"Arquitectura",160,143,2,3,0,1,0,149
"Bellas Artes",235,224,5,3,0,3,0,235
"Biología",210,213,0,2,0,1,0,216
"Bioquímica",55,53,0,1,0,2,0,56
"Biotecnología",50,50,0,1,1,1,2,55
"Ciencias Ambientales",150,142,1,1,0,1,0,145
"Ciencias de la Actividad Física y del Deporte",190,175,4,3,8,2,0,192
"Ciencias de la Actividad Física y del Deporte+ Educación Primaria   (Melilla)",65,60,1,2,0,1,0,64
"Ciencias Políticas y de la Administración",150,142,3,2,0,1,2,150
"Ciencias Políticas y de la Administración + Derecho",145,141,2,2,0,1,0,146
"Ciencias y Tecnología de los Alimentos",65,63,0,1,0,0,0,64
"Comunicación Audiovisual",65,62,2,0,0,1,0,65
"Conservación y Restauración de Bienes Culturales",50,50,1,1,0,0,0,52
"Criminología",75,73,2,1,0,1,2,79
"Derecho",500,478,10,5,1,3,8,505
"Economía",237,235,2,0,0,0,0,237
"Edificación ",250,83,0,0,0,0,2,85
"Educación Infantil  (Ciencias de la Educación)",330,319,6,4,1,1,1,332
"Educación Infantil (C. Magisterio Inmaculada)",130,84,0,0,0,0,0,84
"Educación Infantil (Ceuta)",70,41,1,1,0,0,0,43
"Educación Infantil (Melilla)",65,28,0,1,0,0,0,29
"Educación Primaria (Ciencias de la Educación)",540,520,10,6,1,2,0,539
"Educación Primaria  (C. Magisterio Inmaculada)",220,147,3,11,0,0,0,161
"Educación Primaria (Bilingüe)",67,64,2,1,0,1,0,68
"Educación Primaria (Ceuta)",140,61,1,6,0,0,0,68
"Educación Primaria (Melilla)",65,43,0,4,0,0,0,47
"Educación Social (Ciencias de la Educación)",135,133,3,2,0,2,1,141
"Educación Social (Ceuta)",80,47,3,0,0,0,0,50
"Educación Social (Melilla)",80,30,0,0,0,0,0,30
"Enfermería",200,186,4,2,1,3,4,200
"Enfermería (Ceuta)",135,139,3,1,0,0,1,144
"Enfermería (Melilla)",110,108,3,1,0,1,0,113
"Estadística",60,61,0,0,0,0,0,61
"Estudios Árabes e Islámicos",50,34,2,1,0,0,0,37
"Estudios Franceses",75,69,1,0,0,0,2,72
"Estudios Ingleses",150,151,0,2,0,0,0,153
"Farmacia",320,316,1,3,0,2,0,322
"Filología Clásica",50,35,0,3,0,0,0,38
"Filología Hispánica",75,73,1,1,0,1,1,77
"Filosofía",80,78,1,0,0,0,0,79
"Finanzas y Contabilidad",129,127,2,1,0,0,0,130
"Física",130,129,0,2,0,1,0,132
"Fisioterapia",60,56,2,0,7,1,2,68
"Geografía y Gestión del territorio",60,48,2,0,0,0,0,50
"Geología",75,71,2,1,0,1,1,76
"Historia",150,141,3,2,0,1,2,149
"Historia del Arte",150,133,1,1,0,0,2,137
"Historia y Ciencias de la Música",65,63,2,1,0,0,0,66
"Información y Documentación",100,47,1,4,0,0,1,53
"Ingeniería  de Tecnologías de Telecomunicación",100,99,1,0,1,0,0,101
"Ingeniería Civil",200,172,1,1,0,0,0,174
"Ingeniería Electrónica Industrial",65,65,1,1,0,0,0,67
"Ingeniería Informática",300,294,2,3,0,1,0,300
"Ingeniería Informática + Matemáticas",50,50,0,1,0,0,0,51
"Ingeniería Informática (Ceuta)",50,18,1,0,0,0,0,19
"Ingeniería Química",120,118,0,2,0,1,0,121
"Lenguas Modernas y sus Literaturas",75,72,0,1,0,0,0,73
"Literaturas Comparadas",50,44,0,1,0,0,0,45
"Logopedia",70,69,2,1,0,0,0,72
"Márketing e Investigación de Mercados",129,127,3,1,0,0,0,131
"Matemáticas",110,107,0,1,0,0,0,108
"Medicina",253,221,7,3,7,13,3,254
"Nutrición Humana y Dietética",100,94,2,1,1,1,0,99
"Odontología",85,82,2,1,0,1,1,87
"Óptica y Optometría",135,132,2,1,0,0,0,135
"Pedagogía",135,136,0,1,0,0,0,137
"Psicología",300,284,6,3,4,3,2,302
"Química",90,89,2,1,0,0,0,92
"Relaciones Laborales y Recursos Humanos",365,331,8,2,0,0,2,343
"Relaciones Laborales y Recursos Humanos (Melilla)",50,17,0,3,0,0,0,20
"Sociología",160,150,3,2,0,1,0,156
"Terapia Ocupacional",60,60,2,1,0,0,2,65
"Trabajo Social",180,173,4,1,0,2,2,182
"Traducción e Interpretación (Alemán)",37,38,0,0,0,0,0,38
"Traducción e Interpretación (Árabe)",35,37,1,0,0,0,0,38
"Traducción e Interpretación (Francés)",80,80,0,1,0,0,0,81
"Traducción e Interpretación (Inglés)",120,110,4,2,0,3,1,120
"Turismo",144,142,1,2,0,0,0,145
