"Tipo de procedimiento","Estado","Total","Hombres","Mujeres"
"Convocatoria ordinaria: prueba de Acceso a la Universidad para estudiantes provenientes de Bachillerato y de Ciclos formativos de grado superior","Presentados Fase General",5041,2181,2860
"Convocatoria ordinaria: prueba de Acceso a la Universidad para estudiantes provenientes de Bachillerato y de Ciclos formativos de grado superior","Aptos Fase General",4683,2039,2644
"Convocatoria ordinaria: prueba de Acceso a la Universidad para estudiantes provenientes de Bachillerato y de Ciclos formativos de grado superior","No Aptos Fase General",358,142,216
"Convocatoria ordinaria: prueba de Acceso a la Universidad para estudiantes provenientes de Bachillerato y de Ciclos formativos de grado superior","Matriculados Fase Específica",5664,2441,3223
"Convocatoria extraordinaria: prueba de Acceso a la Universidad para estudiantes provenientes de Bachillerato y de Ciclos formativos de grado superior","Presentados Fase General",1145,554,591
"Convocatoria extraordinaria: prueba de Acceso a la Universidad para estudiantes provenientes de Bachillerato y de Ciclos formativos de grado superior","Aptos Fase General",886,448,438
"Convocatoria extraordinaria: prueba de Acceso a la Universidad para estudiantes provenientes de Bachillerato y de Ciclos formativos de grado superior","No Aptos Fase General",259,106,153
"Convocatoria extraordinaria: prueba de Acceso a la Universidad para estudiantes provenientes de Bachillerato y de Ciclos formativos de grado superior","Presentados  Fase Específica",1349,601,748
"Prueba de Acceso a la Universidad para mayores de 25 años","No presentados",23,13,10
"Prueba de Acceso a la Universidad para mayores de 25 años","Aptos",175,104,71
"Prueba de Acceso a la Universidad para mayores de 25 años","No aptos",138,71,67
"Procedimiento de Acceso a la Universidad para mayores de 40 años con experiencia laboral o profesional","Excluidos",2,0,2
"Procedimiento de Acceso a la Universidad para mayores de 40 años con experiencia laboral o profesional","Aptos ",36,18,18
"Procedimiento de Acceso a la Universidad para mayores de 40 años con experiencia laboral o profesional","No Aptos",12,5,7
"Prueba de Acceso a la Universidad para mayores de 45 años","No Presentados",8,6,2
"Prueba de Acceso a la Universidad para mayores de 45 años","Aptos",33,11,22
"Prueba de Acceso a la Universidad para mayores de 45 años","No Aptos",14,5,9
