Tipo,Número
Número de Grupos de Investigación,518
Número de investigadores adscritos a los grupos,7774
Número de investigadores de la UGR adscritos a los grupos,5651
Número de institutos de investigación,14
Número de sexenios reconocidos,4291
Número de tesis - según Teseo,8896
Número total publicaciones Web of Science (WoS),30319
Número total publicaciones Scopus,32496
Posición en el Ranking de Shanghai,301 - 400
Posición en el Ranking de Shanghai - Mathematics,76 - 100
Posición en el Ranking de Shanghai - Computer Science,43
