,2005,2006,2007,2008,2009,2010
Becas FPDI (junta),,,,,,
Docentes,---,---,---,---,36,38
Predoc en proyectos Excelencia,---,33,43,48,32,42
,,,,,,
Doctores en pr excelencia (junta),---,13,20,31,33,13
Técnicos en pr excelencia (junta),---,6,20,41,39,59
,,,,,,
Becas FPI (ministerio),32,22,21,31,29,23
,,,,,,
Becas FPU (ministerio),62,73,73,70,90,79
,,,,,,
Incorporación de doctores (ministerio),,,,,,
Juan de la Cierva,7,7,4,8,11,9
Ramón y Cajal,8,12,8,8,9,9
,,,,,,
Personal Técnico de apoyo (ministerio),6,10,10,4,7,8
,,,,,,
Plan Propio de Investigación (UGR),,,,,,
Contratos Puente,44,52,52,64,74,52
Posdoctorales ,8,13,10,8,10,8
Predoctorales,18,14,23,14,15,12
Reincorporación,---,---,3,8,8,7
