NUMERO,REFERENCIA,TITULO,,ENTIDAD SOLICITANTE,CENTRO,DURACIÓN (AÑOS),"COSTES
DIRECTOS (EUROS)",CONTRATOS PREDOC.,INVESTIGADOR PRINCIPAL
1,CGL2013-45410-R,SEGUIMIENTO REGIONAL DEL AEROSOL ATMOSFERICO EN TRES DIMENSIONES COMBINANDO LIDAR MULTIESPECTRAL Y RED DE CEILOMETROS-RADIOMETROS.,1,UNIVERSIDAD DE GRANADA,CENTRO ANDALUZ DE MEDIO AMBIENTE - CEAMA,3,"198,000.00",1,Lucas Alados Arboledas
2,SAF2013-47761-R,"ESTUDIO PRECLINICO PARA EL TRATAMIENTO DE LA
ENCEFALOPATIA MITOCONDRIAL ASOCIADA A DEFICIENCIA EN COENZIMA Q",2,UNIVERSIDAD DE GRANADA,CENTRO DE INVESTIGACION BIOMEDICA,2,"85,000.00",0,Luis Carlos Lopez Garcia
3,TIN2013-41990-R,HACIA LA MEDICINA PERSONALIZADA: DESARROLLO DE METODOS DE INTELIGENCIA ARTIFICIAL PARA IDENTIFICAR NUEVOS MARCADORES GENETICOS Y EPIGENETICOS. APLICACION AL CANCER COLONRECTAL,3,UNIVERSIDAD DE GRANADA,DPTO. CIENCIAS COMPUTACION E INTELIGENCIA ARTIFICIAL,3,"109,559.00",0,Armando Blanco Moron
4,TIN2013-43880-R,"IMAGENES MILIMETRICAS PASIVAS: CAPTACION, MEJORA Y DETECCION DE AMENAZAS",4,UNIVERSIDAD DE GRANADA,DPTO. CIENCIAS COMPUTACION E INTELIGENCIA ARTIFICIAL,3,"105,700.00",1,Rafael Molina Soriano
5,FIS2013-41821-R,"TEJIDOS BIOLOGICOS CON PROPIEDADES MECANICAS
CONTROLABLES MEDIANTE CAMPOS MAGNETICOS",5,UNIVERSIDAD DE GRANADA,DPTO. FISICA APLICADA,4,"65,000.00",0,Modesto Torcuato Lopez Lopez
6,FIS2013-47666-C3-1-R,"PROPIEDADES ELECTRICAS DE LA INTERFASE
SOLIDO/DISOLUCION. MODELOS TEORICOS Y APLICACIONES A LA OBTENCION DE ENERGIA ELECTRICA POR CAMBIO DE SALINIDAD",6,UNIVERSIDAD DE GRANADA,DPTO. FISICA APLICADA,3,"71,700.00",0,Angel Vicente Delgado Mora
7,MAT2013-43922-R,"RELACION ENTRE PROPIEDADES FISICO-QUIMICAS DE
SISTEMAS COLOIDALES Y SU EFICACIA EN APLICACIONES NANOBIOMEDICAS",7,UNIVERSIDAD DE GRANADA,DPTO. FISICA APLICADA,4,"57,143.00",0,Ana Belen Jodar Reyes
8,MAT2013-44429-R,"AUTOENSAMBLADO Y COMPORTAMIENTO EN FLUJO DE
FLUIDOS MAGNETO-REOLOGICOS FUERTEMENTE CONFINADOS",8,UNIVERSIDAD DE GRANADA,DPTO. FISICA APLICADA,3,"163,265.00",1,Juan De Vicente Alvarez-Manzaneda
9,BIO2013-40697-R,DETERMINANTES ESTRUCTURALES Y TERMODINAMICOS DE LA CITOTOXICIDAD DE LOS OLIGOMEROS DE BETA- AMILOIDE. IMPLICACIONES EN EL ALZHEIMER,9,UNIVERSIDAD DE GRANADA,DPTO. QUIMICA FISICA,3,"150,000.00",0,Francisco Conejero Lara
10,TIN2013-48319-R,"ESTUDIO DE TECNOLOGIAS INTELIGENTES PARA LA
MONITORIZACION DE ENTORNOS EN LA RED",10,UNIVERSIDAD DE GRANADA,"ESCUELA TECNICA SUPERIOR DE
INGENIERIA INFORMATICA",3,"33,150.00",0,Jose Manuel Zurita Lopez
11,TIN2013-47276-C6-3-R,AVANCES EN CONTENIDO DIGITAL PARA SERIOUS GAMES,11,UNIVERSIDAD DE GRANADA,"E.T.S. DE INGENIERIAS
INFORMATICA Y DE TELECOMUNICACION",3,"34,689.00",0,Carlos Ureña Almagro
12,AGL2013-49090-C2-2-R,"CARACTERIZACION BIOINFORMATICA DE LAS REGIONES
REGULADORAS DE LA RESISTENCIA A ARAÑA ROJA EN TOMATE",12,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,"70,000.00",0,Jose-Lutgardo Oliver Jimenez
13,CGL2013-43013-R,"FORMACIONES CONTINENTALES COMO POTENCIALES
ROCAS ALMACEN CONVENCIONALES Y NO CONVENCIONALES: CARACTERIZACION DE AFLORAMIENTO
Y SUBSUELO",13,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,4,"130,000.00",0,Cesar Viseras Alarcon
14,CGL2013-46655-R,REUTILIZACION DE RESTOS DE AGRICOLAS EN SUELOS PARA LA OPTIMIZACION DE RECURSOS EN CULTIVOS SUBTROPICALES: HACIA UNA PROPUESTA INTEGRAL,14,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,4,"94,000.00",0,Emilia Fernandez Ondoño
15,CGL2013-47038-R,"CAMBIO AMBIENTAL Y CLIMATICO EN EL SUR DE EUROPA -
EL REGISTRO PALEOECOLOGICO DE PADUL, SIERRA NEVADA",15,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,4,"84,000.00",1,Gonzalo Jimenez Moreno
16,CGL2013-48539-R,IMPACTOS DEL CAMBIO CLIMATICO EN LOS RECURSOS HIDRICOS DE LA CUENCA DEL DUERO A ALTA RESOLUCION,16,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,4,"169,000.00",0,Maria Jesus Esteban Parra
17,CTM2013-46951-R,"RESTAURACION DE ECOSISTEMAS ACUATICOS MEDIANTE
NANOPARTICULAS MAGNETICAS: EFECTOS ECOTOXICOLOGICOS Y RECUPERACION DEL FOSFORO COMO FERTILIZANTE",17,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,"117,000.00",1,Inmaculada De Vicente Alvarez Manzaneda
18,CTQ2013-44545-R,"DISPOSITIVOS ANALITICOS IMPRESOS SOBRE SUSTRATO
FLEXIBLE",18,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,"117,000.00",0,Luis Fermin Capitan Vallvey
19,CTQ2013-44789-R,"REDUCCION DE EMISIONES DE CO2 Y TECNOLOGIAS DE
ALMACENAMIENTO DE ENERGIAS RENOVABLES EMPLEANDO MATERIALES AVANZADOS DE CARBON",19,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,"131,000.00",0,Agustin Francisco Perez Cadenas
20,ECO2013-48413-R,"EFICIENCIA, FACTORES SOCIOECONOMICOS Y PRESTACION SERVICIOS PUBLICOS LOCALES MEDIANTE TECNICAS DE CLASIFICACION, ASOCIACION DE DISTANCIAS Y UNFOLDING",20,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,"27,000.00",0,Jose Fernando Vera Vera
21,FIS2013-42204-R,"EVALUACION, IMPACTO Y MEJORA DE LA CALIDAD VISUAL EN SITUACIONES COTIDIANAS Y TRAS CIRUGIA OCULAR",21,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,"42,000.00",0,Mª Rosario González Anera
22,MAT2013-43946-R,"METODOS OPTICOS NO-INVASIVOS Y SISTEMAS
INTELIGENTES PARA EVALUAR BIOMATERIALES NANOESTRUCTURADOS: APLICACION EN MEDICINA REGENERATIVA Y ODONTOLOGIA",22,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,"40,816.00",0,Maria Del Mar Perez Gomez
23,SAF2013-48971-C2-1-R,APLICACIONES BIOMEDICAS DE AS-48: UNA PROTEINA CON AMPLIO ESPECTRO DE ACTIVIDAD ANTIMICROBIANA,23,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,"100,000.00",0,Mercedes Maqueda Abreu
24,TEC2013-47283-R,MODELADO DE CELULAS SOLARES BASADAS EN PUNTOS CUANTICOS Y SEMICONDUCTORES ORGANICOS,24,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,2,"19,800.00",0,Salvador Rodriguez Bolivar
25,TEC2013-48414-C3-1-R,"ANALISIS NUMERICO Y EXPERIMENTAL DE LA INMUNIDAD
ELECTROMAGNETICA DE UAV BAJO EFECTOS INDIRECTOS DE RAYOS Y HIRF",25,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,"141,000.00",0,Salvador Gonzalez Garcia
