Titulación ,Núm. Cursos en  Plan Estudios Plan Estudios ,Núm. Estud (2007/2008),Media (2007/2008), Núm. Estud (2008/2009),Media (2008/2009),Núm. Estud (2009/2010),Media (2009/2010),Núm. Estud (2010/2011),Media (2010/2011)
DIPLOMADO EN BIBLIOTECONOMÍA Y DOCUMENTACIÓN,3,44,"4,36",36,"4,36",26,"4,23",36,"4,81"
DIPLOMADO EN CIENCIAS EMPRESARIALES,3,157,"5,76",181,"5,55",183,"5,68",214,"5,89"
DIPLOMADO EN CIENCIAS EMPRESARIALES - CEUTA,3,18,"4,28",15,"5,47",13,5,25,"5,04"
DIPLOMADO EN CIENCIAS EMPRESARIALES - MELILLA,3,17,"3,88",18,"4,89",22,"4,5",16,"4,5"
DIPLOMADO EN EDUCACIÓN SOCIAL,3,64,"3,25",68,"3,34",70,"3,46",78,"3,37"
DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA - MELILLA,3,7,4,9,"3,22",3,"4,67",5,"3,6"
DIPLOMADO EN RELACIONES LABORALES,3,228,"5,73",202,"5,5",198,"5,19",215,"5,43"
DIPLOMADO EN RELACIONES LABORALES - MELILLA,3,9,"4,11",6,"4,67",7,"3,57",5,5
DIPLOMADO EN TRABAJO SOCIAL,3,161,"4,06",160,"3,83",137,"3,69",150,"3,84"
DIPLOMADO EN TURISMO,3,114,"4,46",110,"4,77",130,"4,62",92,"4,83"
LDO. EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS Y DERECHO,4,44,"6,39",55,"6,95",60,"6,85",22,"7,95"
LICENCIADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,4,251,"6,7",316,"6,66",323,"6,8",315,"7,06"
LICENCIADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,5,162,"5,59",168,"5,56",151,"5,65",139,"5,78"
LICENCIADO EN CIENCIAS DEL TRABAJO,2,67,"2,91",76,"3,08",88,"3,18",95,"2,65"
LICENCIADO EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,5,46,"6,83",51,"6,53",76,"6,49",75,"6,76"
