"Tipo de titulación","Rama ","Tasa de rendimiento (%)"," Tasa de éxito (%)","Tasa de evaluación(%) "
"Primer y segundo ciclo","Artes y Humanidades ","66,95","87,59","76,44"
"Primer y segundo ciclo","Ciencias ","58,83","81,95","71,79"
"Primer y segundo ciclo","Ciencias de la Salud ","65,24","85,16","76,61"
"Primer y segundo ciclo","Ciencias Sociales y Jurídicas","60,75","79,02","76,89"
"Primer y segundo ciclo","Ingeniería y Arquitectura ","55,96","81,37","68,77"
"Grado","Artes y Humanidades ","78,77","88,68","88,82"
"Grado","Ciencias ","64,86","74,90","86,59"
"Grado","Ciencias de la Salud ","83,75","88,96","94,14"
"Grado","Ciencias Sociales y Jurídicas","80,32","86,61","92,73"
"Grado","Ingeniería y Arquitectura ","59,91","73,73","81,25"
"Máster","Artes y Humanidades ","89,96","99,83","90,11"
"Máster","Ciencias ","92,76","99,66","93,08"
"Máster","Ciencias de la Salud ","95,70","99,89","95,80"
"Máster","Ciencias Sociales y Jurídicas","90,98","99,81","91,15"
"Máster","Ingeniería y Arquitectura ","90,68","99,98","90,70"
