TÍTULO,TASA RENDIMIENTO,TASA ÉXITO
GRADUADO/A EN BIOLOGÍA,"72,57","82,68"
GRADO EN ODONTOLOGÍA,"75,58","85,5"
GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,"84,97","92,61"
GRADUADO/A EN FARMACIA,"64,13","74,72"
GRADUADO/A EN CIENCIAS AMBIENTALES,"48,61","63,44"
GRADUADO/A EN ENFERMERÍA,"81,88","93,46"
GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,"56,38","74,13"
GRADUADO/A EN ARQUITECTURA,"63,67","75,95"
GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,"59,5","73,41"
GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,"63,51","81,18"
GRADUADO/A EN SOCIOLOGÍA,"56,41","72,13"
GRADUADO/A EN INGENIERÍA QUÍMICA,"44,98","61,67"
GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,"65,34","77,31"
GRADUADO/A EN MEDICINA,"93,63","96,48"
GRADUADO/A EN ESTADÍSTICA,"42,79","58,78"
GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,"83,49","89,8"
GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,"76,15","85,1"
GRADUADO/A EN EDIFICACIÓN,"57,11","71,87"
GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,"64,25",75
GRADUADO/A EN FINANZAS Y CONTABILIDAD,"76,39","82,96"
GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,"80,4","86,78"
GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,"72,98","79,8"
GRADUADO/A EN INGENIERÍA CIVIL,"72,86","82,21"
GRADUADO/A EN TURISMO,"74,29","83,2"
GRADUADO/A EN ECONOMÍA,"57,55","67,03"
GRADUADO/A EN FISIOTERAPIA,"84,74","97,01"
GRADUADO/A EN DERECHO,"67,05","76,16"
