"TÍTULO","TASA RENDIMIENTO","TASA ÉXITO"
"GRADO EN BIOLOGÍA","66.56","75.84"
"GRADO EN ODONTOLOGÍA","88.11","93.19"
"GRADO EN NUTRICIÓN HUMANA Y DIETÉTICA","85.21","91.59"
"GRADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS","58.87","70.87"
"GRADO EN FARMACIA","64.45","75.03"
"GRADO EN INGENIERÍA ELECTRONICA INDUSTRIAL","53.88","65.84"
"GRADO EN CIENCIAS AMBIENTALES","54.03","68.52"
"GRADO EN ENFERMERÍA","88.25","94.51"
"GRADO EN GEOGRAFIA Y GESTIÓN DEL TERRITORIO","60.46","69.61"
"GRADO EN ARQUITECTURA","61.73","74.14"
"GRADO EN INGENIERÍA EN EDIFICACIÓN (CURSO PUENTE)","86.67","96.3"
"GRADO EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN","55.55","70.53"
"GRADO EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN Y DERECHO","69.4","81.45"
"GRADO EN SOCIOLOGÍA","66.78","78.55"
"GRADO EN INGENIERÍA QUÍMICA","53.85","65.99"
"GRADO EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN","66.9","75.88"
"GRADO EN MEDICINA","92.48","95.87"
"GRADO EN ESTADÍSTICA","43.33",59
"GRADO EN COMUNICACIÓN AUDIOVISUAL","94.48","97.48"
"GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS Y DERECHO","81.67","87.95"
"GRADO EN INGENIERÍA DE EDIFICACIÓN","57.23","74.51"
"GRADO EN INFORMACIÓN Y DOCUMENTACIÓN","72.7","80.98"
"GRADO EN FINANZAS Y CONTABILIDAD","73.18","79.64"
"GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","75.64","82.58"
"GRADO EN MARKETING E INVESTIGACIÓN DE MERCADOS","66.03","73.47"
"GRADO EN INGENIERÍA CIVIL","55.76","71.17"
"GRADO EN TURISMO","79.86","86.68"
"GRADO EN ECONOMÍA",61,"71.19"
"GRADO EN FISIOTERAPIA","88.85","94.98"
"GRADO EN DERECHO","63.67","74.43"
"GRADO EN TERAPIA OCUPACIÓNAL","88.52","94.62"
"GRADO EN EDUCACIÓN SOCIAL","93.58","96.74"
"GRADO EN TRABAJO SOCIAL","91.2","95.06"
"GRADO EN TRADUCCIÓN E INTERPRETACIÓN","85.5","92.65"
"GRADO EN MAESTRO DE EDUCACIÓN PRIMARIA (BILINGÜE)","85.92","89.7"
"GRADO EN MAESTRO EN EDUCACIÓN PRIMARIA","87.24","91.85"
"GRADO EN MAESTRO DE EDUCACIÓN INFANTIL","94.33","97.07"
"GRADO EN RELACIÓNES LABORALES Y RECURSOS HUMANOS","64.36","76.63"
"GRADO EN BELLAS ARTES","87.01","94.9"
"GRADO EN BIOQUÍMICA","86.33","90.24"
"GRADO EN FILOSOFÍA","54.93","79.98"
"GRADO EN PSICOLOGÍA","81.9","88.76"
"GRADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES","84.54","93.57"
"GRADO EN FÍSICA","49.06","69.54"
"GRADO EN GEOLOGÍA","53.42","66.83"
"GRADO EN MATEMATICAS","57.49","70.75"
"GRADO EN LENGUAS MODERNAS Y SUS LITERATURAS","80.13","89.32"
"GRADO EN FILOLOGÍA CLASICA","63.13","75.4"
"GRADO EN ESTUDIOS FRANCESES","65.04","75.72"
"GRADO EN ESTUDIOS ÁRABES E ISLÁMICOS","57.94","81.47"
"GRADO EN FILOLOGÍA HISPÁNICA","82.82","90.8"
"GRADO EN ESTUDIOS INGLESES","72.42","81.95"
"GRADO EN LOGOPEDIA","86.83","91.6"
"GRADO EN ÓPTICA Y OPTOMETRÍA","63.69","70.75"
"GRADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE","88.21","92.48"
"GRADO EN LITERATURAS COMPARADAS","71.43","88.04"
"GRADO EN QUÍMICA","53.72","70.4"
"GRADO EN HISTORIA","63.6","80.37"
"GRADO EN HISTORIA DEL ARTE","63.27","77.31"
"GRADO EN ANTROPOLOGÍA SOCIAL Y CULTURAL","75.09","84.83"
"GRADO EN INGENIERÍA INFORMÁTICA","38.01","54.58"
