"TÍTULO","TASA RENDIMIENTO","TASA ÉXITO","TASA ABANDONO INICIAL","TASA EFICIENCIA"
"GRADUADO/A EN BIOLOGÍA","73.15","81.51","97.81","13.82"
"GRADUADO/A EN ODONTOLOGÍA","88.29","93.58",,"8.54"
"GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA","86.78","91.83","98.18","13.4"
"GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS","72.47","79.74",,"19.67"
"GRADUADO/A EN FARMACIA","65.83","75.37",,"14.66"
"GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL","64.46","75.93",,"18.75"
"GRADUADO/A EN CIENCIAS AMBIENTALES","59.43","71.13","95.36","35.11"
"GRADUADO/A EN ENFERMERÍA","94.58","96.8","98.19","15.56"
"GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO","69.75","78.99","97.96","22.22"
"GRADUADO/A EN ARQUITECTURA","68.25","81.73",,"20.92"
"GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN","67.49","79.71","95.3","49.32"
"GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO","63.44","75.79",,"26.32"
"GRADUADO/A EN SOCIOLOGÍA","70.35","82.23","97.56","35.17"
"GRADUADO/A EN INGENIERÍA QUÍMICA","58.08","70.52","98.52","36.61"
"GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN","71.78","81.13","97.92","10.1"
"GRADUADO/A EN MEDICINA","93.25","95.97",,"3.64"
"GRADUADO/A EN ESTADÍSTICA","55.86","70.85","94.61","51.02"
"GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL","94.14","98.13","98.02","1.61"
"GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO","85.65","90.25",,"7.91"
"GRADUADO/A EN EDIFICACIÓN","63.29","77.95","95.94","25.64"
"GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN","82.1","88.38","96.95","23.91"
"GRADUADO/A EN FINANZAS Y CONTABILIDAD","70.08","76.87","97.08","14.17"
"GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","72.85","81.6","97.53","9.96"
"GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS","73.54","80.74","95.51","20.33"
"GRADUADO/A EN INGENIERÍA CIVIL","61.39","75.37","97.06","13.54"
"GRADUADO/A EN TURISMO","81.09","87.3","95.85","12.12"
"GRADUADO/A EN ECONOMÍA","64.89","74.99","94.86","16.67"
"GRADUADO/A EN FISIOTERAPIA","89.27","96.69","98.26","15.38"
"GRADUADO/A EN DERECHO","70.5","79.96","95.4",17
"GRADUADO/A EN TERAPIA OCUPACIONAL","94.74","97.14","97.56","16.67"
"GRADUADO/A EN EDUCACIÓN SOCIAL","94.53","96.51","98.97","6.56"
"GRADUADO/A EN CRIMINOLOGÍA","94.46","97.34",,
"GRADUADO/A EN TRABAJO SOCIAL","90.49","94.43","98.61","10.06"
"GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN","87.58","93.16","97.41","8.27"
"GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE)","93.66","95.3",,"7.58"
"GRADUADO/A EN EDUCACIÓN PRIMARIA","90.95","94.77","97.59","12.09"
"GRADUADO/A EN EDUCACIÓN INFANTIL","95.54","97.9","98.53","6.02"
"GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS","71.14","81.09","95.89","24.5"
"GRADUADO/A EN BELLAS ARTES",85,"95.73","98.91","14.81"
"GRADUADO/A EN BIOQUÍMICA","94.69","96.11","97.1","13.89"
"GRADUADO/A EN FILOSOFÍA","67.25","84.59","95.07","52.63"
"GRADUADO/A EN PSICOLOGÍA","85.43","90.86","97.78","6.9"
"GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL","91.17","95.71","98.28","22.45"
"GRADUADO/A EN ARQUEOLOGÍA","75.36","88.44",,
"GRADUADO/A EN FÍSICA","62.18","77.55","98.51","36.26"
"GRADUADO/A EN GEOLOGÍA","60.67","71.78","96.67","37.7"
"GRADUADO/A EN MATEMÁTICAS","66.26","75.25","98.12","35.35"
"GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS","80.16","89.12","98.7","13.7"
"GRADUADO/A EN FILOLOGÍA CLASICA","63.98","76.14","97.04","40.91"
"GRADUADO/A EN ESTUDIOS FRANCESES","70.41","80.97","96.64","28.77"
"GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS","68.48","87.18",,"47.37"
"GRADUADO/A EN FILOLOGÍA HISPÁNICA","83.4","91.48",98,"8.45"
"GRADUADO/A EN ESTUDIOS INGLESES","75.26","82.98","97.45","15.28"
"GRADUADO/A EN LOGOPEDIA","92.29","93.96","98.61","11.94"
