"TÍTULO","TASA RENDIMIENTO","TASA ÉXITO","TASA ABANDONO INICIAL","TASA EFICIENCIA","TASA GRADUACIÓN","TASA ABANDONO"
"GRADUADO/A EN BIOLOGÍA","74.02","83.12","32.73",98,30,"12.27"
"GRADUADO/A EN ODONTOLOGÍA","89.42","94.77",,"97.43",,"10.26"
"GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA",84,"89.4","50.51","98.54","31.31","9.47"
"GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS","75.4","82.27",,"94.28",,"11.94"
"GRADUADO/A EN FARMACIA","63.37","75.34",,"97.15",,"8.82"
"GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL","66.97","77.88",,"96.64",,"17.19"
"GRADUADO/A EN CIENCIAS AMBIENTALES",59,"72.26","16.54","93.75","47.37","34.07"
"GRADUADO/A EN ENFERMERÍA","93.17","96.25",72,"98.61","23.2","13.43"
"GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO","71.16","80.63","18.18","97.78","50.91",20
"GRADUADO/A EN ARQUITECTURA","68.71","81.95",,"94.54",,"15.89"
"GRADO EN INGENIERÍA EN EDIFICACIÓN (CURSO PUENTE)","40.82","64.52",,,,
"GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN","68.07","80.66","19.05","99.38","48.3","36.3"
"GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO","69.47","80.03",,,,"21.38"
"GRADUADO/A EN SOCIOLOGÍA","72.84","82.02","15.27","93.51","51.91","30.28"
"GRADUADO/A EN INGENIERÍA QUÍMICA","59.89","72.27","26.13","96.15","45.05","35.4"
"GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN","74.51","83.73","40.86","98.05","23.66","15.53"
"GRADUADO/A EN MEDICINA","92.14","95.9",,,,"3.6"
"GRADUADO/A EN ESTADÍSTICA","57.33","75.18","13.11","96.39","62.3","29.41"
"GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL","93.15","96.74","43.08","99.03","30.77","5.8"
"GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO",83,"88.93",,,,"15.33"
"GRADUADO/A EN EDIFICACIÓN","61.01","77.25","18.82","97.56","26.47","33.1"
"GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN","77.8","86.33","19.12","98.36","41.18","24.49"
"GRADUADO/A EN FINANZAS Y CONTABILIDAD","66.75","75.65","29.6","96.15","23.2","12.03"
"GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","73.24","82.53","37.12","96.51","22.73","6.74"
"GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS","74.7","81.58","29.46","96.82","34.88","9.76"
"GRADUADO/A EN INGENIERÍA CIVIL","57.24","71.55","34.41","96.93","19.35","16.49"
"GRADUADO/A EN TURISMO","81.59","88.1","30.37","97.43","30.37","4.29"
"GRADUADO/A EN ECONOMÍA","68.12","78.1","23.43","97.11","33.05","12.93"
"GRADUADO/A EN FISIOTERAPIA","93.88","98.08","70.59","99.27","17.65","16.07"
"GRADUADO/A EN DERECHO","69.09","79.92","29.98","96.02","28.6","16.3"
"GRADUADO/A EN TERAPIA OCUPACIONAL","91.72","94.28","62.07","99.67","24.14","13.11"
"GRADUADO/A EN EDUCACIÓN SOCIAL","94.52","97.49","46.34","99.22","32.52","6.25"
"GRADUADO/A EN CRIMINOLOGÍA","89.95","93.94",,,,"9.46"
"GRADUADO/A EN TRABAJO SOCIAL","89.39","93.62","45.45","98.55","38.64","8.05"
"GRADUADO/A EN BIOTECNOLOGÍA","88.5","93.85",,,,
"GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN","85.07","91.75","61.75","98.25","15.54","9.12"
"GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE)","93.93","97.03",,"98.12",,"2.99"
"GRADUADO/A EN EDUCACIÓN PRIMARIA","91.7","94.68","62.13","98.51","17.11","7.69"
"GRADUADO/A EN EDUCACIÓN INFANTIL","95.74","97.62","75.43","97.76","15.92","4.59"
"GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS","69.32","80.48","22.28","97.64","37.13","24.57"
"GRADUADO/A EN BELLAS ARTES","86.53","95.85","42.79","98.47","27.93","12.29"
"GRADUADO/A EN BIOQUÍMICA","93.29","95.48","60.71","99.06","26.79",16
"GRADUADO/A EN FILOSOFIA","70.6","86.1","24.24","96.39","51.52","25.71"
"GRADUADO/A EN PSICOLOGÍA","86.53","91.14","55.59","98.2","19.23","8.9"
"GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL","86.52","93.88","35.85","99.5","32.08",16
"GRADUADO/A EN ARQUEOLOGÍA","73.43","84.5",,,,
"GRADUADO/A EN FÍSICA","57.74","75.09","28.75","98.66","48.75","34.02"
"GRADUADO/A EN GEOLOGÍA","60.47","70.34","23.53",100,"51.47","36.23"
"GRADUADO/A EN MATEMÁTICAS","63.9","75.83","25.44","97.74","49.12","33.33"
"GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS","79.63","89.19","45.61","98.04","35.09","9.3"
"GRADUADO/A EN FILOLOGÍA CLÁSICA","60.84","75.43","21.05","99.72","57.89","31.25"
"GRADUADO/A EN ESTUDIOS FRANCESES","71.53","79.13","34.29","95.82","54.29","37.14"
"GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS","69.01","86.04","6.45","97.56","48.39","37.78"
"GRADUADO/A EN FILOLOGÍA HISPÁNICA","83.35","92.01","50.72","97.98","33.33","18.31"
"GRADUADO/A EN ESTUDIOS INGLESES","73.71","81.89","37.86","99.3","25.71","14.69"
"GRADUADO/A EN LOGOPEDIA","91.74","94.62",50,"98.77","37.1","5.63"
"GRADUADO/A EN ÓPTICA Y OPTOMETRÍA","66.5","72.12","43.33","93.06","21.67","21.85"
"GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE","87.9","92.22","53.8","96.96","17.93","4.26"
"GRADUADO/A EN LITERATURAS COMPARADAS","73.48","87.79","22.58",100,"54.84","31.11"
"GRADUADO/A EN QUÍMICA","64.43","77.69","25.64","97.49","37.18","32.53"
"GRADUADO/A EN HISTORIA","75.12","87.05","26.97","96.7","46.71","18.84"
"GRADUADO/A EN HISTORIA DEL ARTE","74.47","84.4","26.43","97.78","43.57","34.65"
"GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL","79.54","90.89",,"98.52",,"22.22"
"GRADUADO/A EN INGENIERÍA INFORMÁTICA","57.76","72.42","9.73","93.82","54.28","32.85"
"GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS","76.33","83.71",,,,40
"GRADUADO/A EN PEDAGOGÍA","92.24","96.08","43.44","97.86","39.34","5.17"
"GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA","76.22","87.12","25.33","96.71",48,"18.75"
"GRADUADO/A EN ENFERMERÍA (CEUTA)","92.89","94.7","46.67","94.51","39.26","25.37"
"GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA)","90.09","95.08",,"98.25",,"13.33"
"GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA)","77.87","86.71","27.78","93.75","52.78","10.13"
"GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA)","79.91","88.69","31.68","91.19","45.54","15.58"
"GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA)","89.1","93.09","32.08","97.09","45.28","15.09"
