"Concepto","Valoración (1 - 5)","Frecuencia","Porcentaje","Porcentaje válido","Porcentaje acumulado"
"En términos generales, estoy satisfecho/a con la UGR",1,55,"3,4","3,4","3,4"
"En términos generales, estoy satisfecho/a con la UGR",2,148,"9,3","9,3","12,7"
"En términos generales, estoy satisfecho/a con la UGR",3,351,"22,0","22,0","34,7"
"En términos generales, estoy satisfecho/a con la UGR",4,653,"40,9","40,9","75,5"
"En términos generales, estoy satisfecho/a con la UGR",5,391,"24,5","24,5","100,0"
"Valoración de prácticas coordinadas por la UGR (Relación entre actividad desarrollada durante el período de prácticas y",1,74,"4,6","8,8","8,8"
"Valoración de prácticas coordinadas por la UGR (Relación entre actividad desarrollada durante el período de prácticas y",2,107,"6,7","12,7","21,5"
"Valoración de prácticas coordinadas por la UGR (Relación entre actividad desarrollada durante el período de prácticas y",3,166,"10,4","19,7","41,2"
"Valoración de prácticas coordinadas por la UGR (Relación entre actividad desarrollada durante el período de prácticas y",4,252,"15,8","29,9","71,1"
"Valoración de prácticas coordinadas por la UGR (Relación entre actividad desarrollada durante el período de prácticas y",5,243,"15,2","28,9","100,0"
"Valoración de prácticas coordinadas por la UGR (Satifacción con la actividad laboral desarrollada durante el período de",1,49,"3,1","5,8","5,8"
"Valoración de prácticas coordinadas por la UGR (Satifacción con la actividad laboral desarrollada durante el período de",2,72,"4,5","8,6","14,4"
"Valoración de prácticas coordinadas por la UGR (Satifacción con la actividad laboral desarrollada durante el período de",3,137,"8,6","16,3","30,6"
"Valoración de prácticas coordinadas por la UGR (Satifacción con la actividad laboral desarrollada durante el período de",4,293,"18,3","34,8","65,4"
"Valoración de prácticas coordinadas por la UGR (Satifacción con la actividad laboral desarrollada durante el período de",5,291,"18,2","34,6","100,0"
"Valoración de oferta formativa (Asesoramiento académico en general)",1,159,"9,9","9,9","9,9"
"Valoración de oferta formativa (Asesoramiento académico en general)",2,286,"17,9","17,9","27,8"
"Valoración de oferta formativa (Asesoramiento académico en general)",3,508,"31,8","31,8","59,6"
"Valoración de oferta formativa (Asesoramiento académico en general)",4,435,"27,2","27,2","86,9"
"Valoración de oferta formativa (Asesoramiento académico en general)",5,210,"13,1","13,1","100,0"
"Valoración de oferta formativa (Formación teórica)",1,102,"6,4","6,4","6,4"
"Valoración de oferta formativa (Formación teórica)",2,228,"14,3","14,3","20,7"
"Valoración de oferta formativa (Formación teórica)",3,437,"27,3","27,3","48,0"
"Valoración de oferta formativa (Formación teórica)",4,547,"34,2","34,2","82,2"
"Valoración de oferta formativa (Formación teórica)",5,284,"17,8","17,8","100,0"
"Valoración de oferta formativa (Diseño del plan de estudios)",1,189,"11,8","11,8","11,8"
"Valoración de oferta formativa (Diseño del plan de estudios)",2,315,"19,7","19,7","31,5"
"Valoración de oferta formativa (Diseño del plan de estudios)",3,483,"30,2","30,2","61,8"
"Valoración de oferta formativa (Diseño del plan de estudios)",4,431,"27,0","27,0","88,7"
"Valoración de oferta formativa (Diseño del plan de estudios)",5,180,"11,3","11,3","100,0"
"Valoración de oferta formativa (Oferta de cursos complementarios)",1,363,"22,7","22,7","22,7"
"Valoración de oferta formativa (Oferta de cursos complementarios)",2,434,"27,2","27,2","49,9"
"Valoración de oferta formativa (Oferta de cursos complementarios)",3,411,"25,7","25,7","75,6"
"Valoración de oferta formativa (Oferta de cursos complementarios)",4,268,"16,8","16,8","92,4"
"Valoración de oferta formativa (Oferta de cursos complementarios)",5,122,"7,6","7,6","100,0"
"Valoración de oferta formativa (Énfasis en la enseñanza práctica)",1,278,"17,4","17,4","17,4"
"Valoración de oferta formativa (Énfasis en la enseñanza práctica)",2,384,"24,0","24,0","41,4"
"Valoración de oferta formativa (Énfasis en la enseñanza práctica)",3,440,"27,5","27,5","69,0"
"Valoración de oferta formativa (Énfasis en la enseñanza práctica)",4,312,"19,5","19,5","88,5"
"Valoración de oferta formativa (Énfasis en la enseñanza práctica)",5,184,"11,5","11,5","100,0"
"Valoración de oferta formativa (Calidad de la docencia)",1,93,"5,8","5,8","5,8"
"Valoración de oferta formativa (Calidad de la docencia)",2,198,"12,4","12,4","18,2"
"Valoración de oferta formativa (Calidad de la docencia)",3,423,"26,5","26,5","44,7"
"Valoración de oferta formativa (Calidad de la docencia)",4,541,"33,9","33,9","78,5"
"Valoración de oferta formativa (Calidad de la docencia)",5,343,"21,5","21,5","100,0"
"Valoración de oferta formativa (Oferta de trabajo en prácticas y otras experiencias laborales)",1,544,"34,0","34,0","34,0"
"Valoración de oferta formativa (Oferta de trabajo en prácticas y otras experiencias laborales)",2,406,"25,4","25,4","59,4"
"Valoración de oferta formativa (Oferta de trabajo en prácticas y otras experiencias laborales)",3,349,"21,8","21,8","81,3"
"Valoración de oferta formativa (Oferta de trabajo en prácticas y otras experiencias laborales)",4,213,"13,3","13,3","94,6"
"Valoración de oferta formativa (Oferta de trabajo en prácticas y otras experiencias laborales)",5,86,"5,4","5,4","100,0"
"Valoración de oferta formativa (Equipamiento y fondos bibliográficos en las bibliotecas)",1,102,"6,4","6,4","6,4"
"Valoración de oferta formativa (Equipamiento y fondos bibliográficos en las bibliotecas)",2,187,"11,7","11,7","18,1"
"Valoración de oferta formativa (Equipamiento y fondos bibliográficos en las bibliotecas)",3,389,"24,3","24,3","42,4"
"Valoración de oferta formativa (Equipamiento y fondos bibliográficos en las bibliotecas)",4,509,"31,9","31,9","74,3"
