"Tipo","2010-11","2011-12","2012-13","2013-14","2014-15"
"Número de profesores evaluados y resultados","1317 (5.00-1.18)","2452 (5.00-1.23)","3281 (5.00-1.00)","3688 (5.00-1.00)","1639 (5-1,28)"
"Número de titulaciones y resultados","69 (4.59-3.23)","77 (4.18-3.33)","126 (4.87-3.33)","78 (4.27-3.55)","82 (4,88-3,45)"
"Profesores con puntuación igual /menor a 2,99","177/1317
(13,43%)","279/2452 (11,37%)","361/3281 (11,00%)","346/3688 (9,38%)","140/1639
(8,54%)"
"Ítem criterio: media","3,77","3,8","3,8","3,83","3,88"
"Ítem criterio: DT","1,15","1,13","1,12","1,12","1,16"
"Dimensión 1. Planificación de la docencia y cumplimiento del Plan Docente: media","3,75","3,79","3,81","3,86","3,96"
"Dimensión 1. Planificación de la docencia y cumplimiento del Plan Docente: DT","1,15","1,13","1,12","1,11","1,11"
"Dimensión 2. Competencias docentes: media","3,71","3,74","3,75","3,79","3,81"
"Dimensión 2. Competencias docentes: DT","1,2","1,19","1,18","1,18","1,2"
"Dimensión 3. Evaluación de los aprendizajes: media","3,72","3,77","3,77","3,82","3,93"
"Dimensión 3. Evaluación de los aprendizajes: DT","1,11","1,1","1,1","1,1","1,09"
"Dimensión 4. Ambiente de clase y relación profesor/a con alumno/a: media","3,8","3,83","3,84","3,87","3,88"
"Dimensión 4. Ambiente de clase y relación profesor/a con alumno/a: DT","1,13","1,22","1,22","1,21","1,24"
