World Rank,University,Total Score,11 Years Articles,Current Articles,11 Years Citations,Current Citations,Ave. Citations,H-Index,HiCi Papers,Hi-Impact Journal Articles
1,Nanyang Technological University,92.8,99.1,98.2,97.1,100.0,52.8,83.4,100.0,100.0
2,Tsinghua University,89.6,100.0,100.0,82.7,100.0,46.1,86.8,92.4,100.0
3,National University of Singapore,83.5,92.6,84.5,87.0,89.5,51.5,80.0,84.2,91.9
4,Massachusetts Institute of Technology,83.1,85.6,78.9,100.0,73.3,66.0,59.9,98.8,86.5
5,Stanford University,82.6,81.2,71.9,100.0,73.6,63.9,66.7,99.8,88.8
6,City University of Hong Kong,81.9,83.1,83.1,82.0,91.6,52.7,80.1,84.2,91.9
7,Huazhong University of Science & Technology,81.2,74.2,96.6,59.3,100.0,45.7,90.1,87.8,90.8
8,Harvard University,79.5,66.8,59.3,97.4,78.7,70.7,69.9,82.3,100.0
9,Harbin Institute of Technology,78.7,70.4,81.3,64.5,94.6,49.5,83.2,99.8,80.8
10,Shanghai Jiao Tong University,78.4,88.6,89.4,66.6,98.0,45.7,83.3,79.6,76.6
11,"University of California, Berkeley",77.7,78.9,64.9,100.0,60.2,65.1,62.6,100.0,75.0
12,Zhejiang University,77.2,92.1,100.0,64.3,85.6,44.4,73.4,65.8,87.7
13,Southeast University,73.7,63.8,73.0,62.2,84.2,51.2,82.8,98.8,69.3
13,"University of Illinois, Urbana-Champaign",73.7,79.8,70.8,90.5,69.3,57.4,66.5,80.5,67.4
15,Carnegie Mellon University,73.3,85.3,73.8,84.2,69.1,52.7,63.1,73.2,77.3
16,Hong Kong Polytechnic University,72.8,75.8,71.2,76.7,82.1,53.3,70.0,82.3,67.4
17,Swiss Federal Institute of Technology - Zurich,72.7,75.7,68.2,83.4,73.8,56.4,63.3,79.6,74.3
18,Swiss Federal Institute of Technology - Lausanne,71.2,68.1,66.2,82.7,64.2,60.8,59.4,71.3,86.2
19,Xidian University,70.2,70.3,92.3,55.9,74.4,45.0,72.9,65.8,78.9
20,University of Granada,69.5,62.7,60.5,64.8,81.4,53.6,76.7,86.0,68.9
21,University of Cambridge,68.7,64.3,64.2,70.6,68.3,56.4,72.7,73.2,75.4
22,Georgia Institute of Technology,68.4,78.6,70.0,80.6,62.3,53.8,62.7,65.8,68.1
23,"University of California, Los Angeles",68.2,66.4,57.2,90.4,57.6,66.9,59.0,74.1,66.6
23,"University of Michigan, Ann Arbor",68.2,66.8,63.3,80.7,63.2,60.7,69.2,70.4,67.0
25,The Chinese University of Hong Kong,68.1,69.8,68.2,66.4,68.5,50.8,66.4,67.7,81.2
26,"University of California, San Diego",66.8,69.6,58.7,82.1,58.1,59.4,59.0,74.1,66.2
27,Columbia University,66.4,63.6,61.3,68.2,58.1,55.4,59.0,68.6,86.9
28,Imperial College London,65.8,68.6,68.3,67.7,67.2,52.1,66.3,60.3,72.7
29,"University of Texas, Austin",65.7,68.7,57.9,72.4,64.7,54.6,66.2,75.0,63.2
30,University of Science and Technology of China,65.5,62.8,75.5,55.0,72.4,46.8,72.8,62.2,73.9
31,Peking University,65.4,67.7,69.7,59.0,73.0,47.5,76.4,65.8,65.1
32,Dalian University of Technology,65.0,64.1,70.8,55.1,74.0,46.4,76.4,64.0,69.3
33,Beihang University,64.9,65.1,86.2,52.0,72.9,44.0,69.6,59.4,67.4
34,University of Technology Sydney,64.7,52.9,69.9,49.6,75.6,47.1,73.0,66.7,79.3
