Posicion,Nombre,Rama,Disciplina,Especialidad,Citas,Indice h,Citas (ultimos 5 años),Indice h (ultimos 5 años),Perfil
1,Sergio Navas Concha,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Teorica y del Cosmos,72567,67,30009,40,https://scholar.google.com/citations?user=MLCUktcAAAAJ&hl=es
2,Juan Antonio Aguilar Saavedra,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Teorica y del Cosmos,45182,100,41102,96,https://scholar.google.com/citations?user=J3KkU5EAAAAJ&hl=es
3,Francisco Herrera Triguero,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,43378,107,26436,81,https://scholar.google.com/citations?user=HULIk-QAAAAJ&hl=es
4,Enrique Herrera Viedma,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,18016,65,11137,54,https://scholar.google.com/citations?user=g8ZXTuYAAAAJ&hl=es
5,Eduardo Battaner Lopez,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Teorica y del Cosmos,15477,42,14188,38,https://scholar.google.com/citations?user=jCT0G40AAAAJ&hl=es
6,Roberto Pittau,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Teorica y del Cosmos,12628,43,6450,33,https://scholar.google.com/citations?user=cQp1BYYAAAAJ&hl=es
7,Nicolas Olea Serrano,Ciencias de la Salud,Medicina,Radiologi­a y Medicina Fi­sica,12625,49,5797,36,https://scholar.google.com/citations?user=qnspPMAAAAAJ&hl=es
8,Giuseppe Cultrone,Ciencias Exactas y Naturales,Ciencias de la Tierra,Mineralogi­a y Petrologi­a,11872,23,1294,18,https://scholar.google.com/citations?user=JJqu47cAAAAJ&hl=es
9,Antonio Bolivar Botia,Ciencias Sociales y Juri­dicas,Ciencias de la Educacion,Didactica y Organizacion Escolar,11515,53,5970,38,https://scholar.google.com/citations?user=cRwURsQAAAAJ&hl=es
10,Francisco B Ortega Porcel,Ciencias de la Salud,Ciencias del Deporte,Educacion Fi­sica y Deportiva,10978,55,8931,50,https://scholar.google.com/citations?user=jZ1oU8cAAAAJ&hl=es
11,Carlos Moreno Castilla,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Inorganica,10576,50,5312,34,https://scholar.google.com/citations?user=ynEpCS4AAAAJ&hl=es
12,Jose Luis Verdegay Galdeano,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,10515,45,3944,30,https://scholar.google.com/citations?user=7AjYKlcAAAAJ&hl=es
13,Andrew Stephen Kowalski,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Aplicada,10115,31,4378,22,https://scholar.google.com/citations?user=UfSFNCsAAAAJ&hl=es
14,Oscar Cordon Garcia,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,9944,48,4320,34,https://scholar.google.com/citations?user=oUmv8xgAAAAJ&hl=es
15,Jonatan Ruiz Ruiz,Ciencias de la Salud,Ciencias del Deporte,Educacion Fi­sica y Deportiva,9807,59,7708,52,https://scholar.google.com/citations?user=G224m6YAAAAJ&hl=es
16,Dario Acuña Castroviejo,Ciencias de la Salud,Medicina,Fisiologi­a,8573,53,4214,38,https://scholar.google.com/citations?user=eXIMfZ0AAAAJ&hl=es
17,Jose Rivera Utrilla,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Inorganica,8492,47,4739,36,https://scholar.google.com/citations?user=TPyqlgYAAAAJ&hl=es
18,Carmen Batanero Bernabeu,Ciencias Sociales y Juri­dicas,Ciencias de la Educacion,Didactica de la Matematica,8270,46,4875,35,https://scholar.google.com/citations?user=CbJazy4AAAAJ&hl=es
19,Regino Zamora Rodriguez,Ciencias Biologicas,Biologi­a,Ecologi­a,7859,46,4400,38,https://scholar.google.com/citations?user=zsEqa94AAAAJ&hl=es
20,Alberto Fernandez Gutierrez,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Anali­tica,7659,43,5263,37,https://scholar.google.com/citations?user=6cm8HLEAAAAJ&hl=es
21,Antonio Segura Carretero,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Anali­tica,7578,44,5452,38,https://scholar.google.com/citations?user=gip_sxsAAAAJ&hl=es
22,Manuel Joaquin Castillo Garzon,Ciencias de la Salud,Medicina,Fisiologi­a,7307,44,5137,38,https://scholar.google.com/citations?user=xXxNCMEAAAAJ&hl=es
23,Juan De Dios Luna Del Castillo,Ciencias Exactas y Naturales,Matematicas,Estadi­stica e Investigacion Operativa,7161,44,3194,27,https://scholar.google.com/citations?user=AxUQXXcAAAAJ&hl=es
24,Juan Diaz Godino,Ciencias Sociales y Juri­dicas,Ciencias de la Educacion,Didactica de la Matematica,7100,45,4070,33,https://scholar.google.com/citations?user=3v9N8IUAAAAJ&hl=es
25,Francisco Del Aguila Gimenez,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Teorica y del Cosmos,6751,48,2192,25,https://scholar.google.com/citations?user=JRT0TsMAAAAJ&hl=es
26,Maria Amparo Vila Miranda,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,6648,41,2251,22,https://scholar.google.com/citations?user=y52L6KMAAAAJ&hl=es
27,Fatima Olea Serrano,Ciencias de la Salud,Farmacia,Nutricion y Bromatologi­a,6527,30,2154,22,https://scholar.google.com/citations?user=ZMC1eooAAAAJ&hl=es
28,Salvador Garcia Lopez,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,6217,30,5709,30,https://scholar.google.com/citations?user=vIC06a0AAAAJ&hl=es
29,Germaine Escames Rosa,Ciencias de la Salud,Medicina,Fisiologi­a,6025,47,3126,34,https://scholar.google.com/citations?user=BvIAVW8AAAAJ&hl=es
30,Jose Manuel Sanchez Ruiz,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Fi­sica,5841,41,2187,26,https://scholar.google.com/citations?user=L9m2zcMAAAAJ&hl=es
31,Roque Hidalgo Alvarez,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Aplicada,5660,38,2320,22,https://scholar.google.com/citations?user=xf9mSAEAAAAJ&hl=es
32,Mariana Fatima Fernandez Cabrera,Ciencias de la Salud,Medicina,Radiologi­a y Medicina Fi­sica,5493,34,2986,29,https://scholar.google.com/citations?user=LT2YqhMAAAAJ&hl=es
33,Manuel Lozano Marquez,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,5415,26,2801,24,https://scholar.google.com/citations?user=9jzFa4gAAAAJ&hl=es
34,Jose Luis Vilchez Quero,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Anali­tica,5406,43,3038,29,https://scholar.google.com/citations?user=9Q_GfdMAAAAJ&hl=es
35,Angel Vicente Delgado Mora,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Aplicada,5390,36,2701,24,https://scholar.google.com/citations?user=8BlXpUcAAAAJ&hl=es
36,Jorge Castro Gutierrez,Ciencias Biologicas,Biologi­a,Ecologi­a,5347,29,3749,25,https://scholar.google.com/citations?user=d5SEfi0AAAAJ&hl=es
37,Juan Manuel Duarte Perez,Ciencias de la Salud,Farmacia,Farmacologi­a,5277,40,2968,32,https://scholar.google.com/citations?user=rDCMdVwAAAAJ&hl=es
38,Manuel Soler Cruz,Ciencias Biologicas,Biologi­a,Zoologi­a,5154,38,2203,24,https://scholar.google.com/citations?user=_3xrhMAAAAAJ&hl=es
39,Enrique Ruiz Arriola,Ciencias Exactas y Naturales,Fi­sica,"Fi­sica Atomica, Molecular y Nuclear",5146,38,2163,25,https://scholar.google.com/citations?user=Yxfx7A8AAAAJ&hl=es
40,Alejandro Fernandez Barrero,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Organica,5127,36,1791,19,https://scholar.google.com/citations?user=glboVXoAAAAJ&hl=es
41,Juan Julian Merelo Guervos,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Arquitectura y Tecnologi­a de Computadores,5072,27,2179,20,https://scholar.google.com/citations?user=gFxqc64AAAAJ&hl=es
42,Juan Lupiañez Castillo,Ciencias de la Salud,Psicologi­a - Salud,Psicologi­a Experimental,4943,37,3217,32,https://scholar.google.com/citations?user=cBUtlc8AAAAJ&hl=es
43,Juan Carlos Braga Alarcon,Ciencias Exactas y Naturales,Ciencias de la Tierra,Estratigrafi­a y Paleontologi­a,4862,41,2158,25,https://scholar.google.com/citations?user=CE43mqQAAAAJ&hl=es
44,Jose Luis Quiles Morales,Ciencias de la Salud,Farmacia,Fisiologi­a,4790,39,2989,27,https://scholar.google.com/citations?user=NqMDoTUAAAAJ&hl=es
45,Miguel Carlos Moya Morales,Ciencias Sociales y Juri­dicas,Psicologi­a - Sociales,Psicologi­a Social,4782,32,2993,25,https://scholar.google.com/citations?user=b-mfUzEAAAAJ&hl=es
46,Julio Juan Galvez Peralta,Ciencias de la Salud,Farmacia,Farmacologi­a,4705,39,2663,32,https://scholar.google.com/citations?user=u076kysAAAAJ&hl=es
47,Vicente Enrique Caballo Manrique,Ciencias de la Salud,Psicologi­a - Salud,"Personalidad, Evaluacion y Tratamiento Psicologico",4692,34,2400,23,https://scholar.google.com/citations?user=etLNEbcAAAAJ&hl=es
48,Miguel Angel Muñoz Martinez,Ciencias Exactas y Naturales,Fi­sica,Electromagnetismo y Fi­sica de la Materia,4677,35,1901,21,https://scholar.google.com/citations?user=IwZEKqoAAAAJ&hl=es
49,Josefa Leon Lopez,Ciencias de la Salud,Medicina,Fisiologi­a,4657,35,2193,26,https://scholar.google.com/citations?user=Pk0vUowAAAAJ&hl=es
50,Francisco Carrasco Marin,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Inorganica,4639,33,2454,25,https://scholar.google.com/citations?user=Xg6POw4AAAAJ&hl=es
51,Francisco Gonzalez Lodeiro,Ciencias Exactas y Naturales,Ciencias de la Tierra,Geodinamica,4571,36,1656,25,https://scholar.google.com/citations?user=oszweAYAAAAJ&hl=es
52,Fernando Bea Barredo,Ciencias Exactas y Naturales,Ciencias de la Tierra,Mineralogi­a y Petrologi­a,4566,36,2165,24,https://scholar.google.com/citations?user=xipVmwYAAAAJ&hl=es
53,Lucas Alados Arboledas,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Aplicada,4520,37,2948,30,https://scholar.google.com/citations?user=CMmEjJYAAAAJ&hl=es
54,Juan Luis Castro Peña,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,4470,32,1736,23,https://scholar.google.com/citations?user=TXaOLpsAAAAJ&hl=es
55,Jose L Oliver Jimenez,Ciencias Biologicas,Biologi­a,Geni©tica,4440,29,1366,17,https://scholar.google.com/citations?user=b-W6XPMAAAAJ&hl=es
56,Joaquin Marro Borau,Ciencias Exactas y Naturales,Fi­sica,Electromagnetismo y Fi­sica de la Materia,4357,27,857,11,https://scholar.google.com/citations?user=3R5GejMAAAAJ&hl=es
57,Juan Alberto Aragon Correa,Ciencias Sociales y Juri­dicas,Ciencias Economicas y Empresariales,Organizacion de Empresas,4356,20,2979,19,https://scholar.google.com/citations?user=VGs5DPgAAAAJ&hl=es
58,Serafin Moral Callejon,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,4347,37,1515,19,https://scholar.google.com/citations?user=d1Tz-gcAAAAJ&hl=es
59,Luis Fermin Capitan Vallvey,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Anali­tica,4341,32,2118,22,https://scholar.google.com/citations?user=hNeZ940AAAAJ&hl=es
60,Alberto Prieto Espinosa,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Arquitectura y Tecnologi­a de Computadores,4130,32,1524,20,https://scholar.google.com/citations?user=qgV-u4sAAAAJ&hl=es
61,Ana Maria Garcia Campaña,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Anali­tica,4109,38,2302,28,https://scholar.google.com/citations?user=uI1JFLUAAAAJ&hl=es
62,Manuel Perez-Victoria Moreno De Barreda,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Teorica y del Cosmos,4102,28,2254,20,https://scholar.google.com/citations?user=M8I-oUY3DiMC&hl=es
63,Luis Miguel De Campos Ibañez,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,4091,36,1560,20,https://scholar.google.com/citations?user=YkBiiO4AAAAJ&hl=es
64,Jose Antonio Hodar Correa,Ciencias Biologicas,Biologi­a,Ecologi­a,4080,33,2071,25,https://scholar.google.com/citations?user=yRmV3mwAAAAJ&hl=es
