Universidad,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Autónoma de Barcelona , 401-500 , 404-502 , 401-500 , 401-500 , 305-402 , 303-401 , 303-401 , 301-400 , 301-400 ,301-400,201-300,201-300,201-300,301-400
Autónoma de Madrid , 201-300 , 153-201 , 153-202 , 201-300 , 203-304 , 201-302 , 201-302 , 201-300 , 201-300 ,201-300,201-300,201-300,201-300,201-300
Barcelona , 152-200 , 202-301 , 153-202 , 151-200 , 151-202 , 152-200 , 152-200 , 201-300 , 201-300 ,201-300,201-300,151-200,151-200,151-200
Complutense de Madrid , 201-300 , 302-403 , 203-300 , 201-300 , 203-304 , 201-302 , 201-302 , 201-300 , 201-300 ,201-300,201-300,301-400,201-300,301-400
Granada , 401-500 , 404-502 , 401-500 , 401-500 , 403-510 , 402-503 , 402-501 , 401-500 , 401-500 ,401-200,301-400,301-400,301-400,201-300
Málaga , 401-500 , / , / , / , / , / , / , / , / ,/,/,/,/,/
Oviedo , 401-500 , / , / , / , / , / , / , / , / ,/,/,/,/,/
Politécnica de Valencia , 401-500 , / , 401-500 , 301-400 , 305-402 , 303-401 , 303-401 , 301-400 , 301-400 ,301-400,301-400,301-400,301-400,301-400
Pompeu Fabra , / , / , / , / , / , / , 402-501 , 301-400 , 401-500 ,401-500,301-400,301-400,201-300,301-400
Salamanca , 401-500 , / , / , / , / , / , / , / , / ,/,/,/,/,/
Santiago de Compostela , / , 404-502 , / , / , / , / , 402-501 , 401-500 , 401-500 ,/,/,401-500,401-500,301-400
Sevilla , 401-500 , 404-502 , 401-500 , 401-500 , 403-510 , 402-503 , 402-501 , / , / ,/,/,/,401-500,/
Valencia , 301-400 , 302-403 , 301-400 , 301-400 , 203-304 , 303-401 , 201-302 , 201-300 , 201-300 ,301-400,301-400,201-300,301-400,401-500
Valladolid , 401-500 , / , / , / , / , / , / , / , / ,/,/,/,/,/
Vigo , / , / , / , / , / , / , / , / , 401-500 ,401-500,/,/,/,/
Zaragoza , 401-500 , 404-502 , 401-500 , 401-500 , 403-510 , 402-503 , 402-501 , 401-500 , 401-500 ,401-500,401-500,401-500,401-500,/
