World Rank,University,Total Score,11 Years Articles,Current Articles,11 Years Citations,Current Citations,Ave. Citations,H-Index,HiCi Papers,Hi-Impact Journal Articles
1,Nanyang Technological University,89.5,95.5,100.0,79.1,100.0,49.3,89.0,98.5,96.7
2,Massachusetts Institute of Technology,87.6,89.9,81.3,100.0,78.5,65.5,73.9,100.0,97.6
3,University of California- Berkeley,85.8,83.2,72.8,100.0,79.5,67.5,78.9,100.0,93.4
3,Stanford University,85.8,83.1,79.0,100.0,83.0,63.0,69.7,100.0,93.9
5,Tsinghua University,81.2,100.0,100.0,70.5,98.4,45.6,74.7,64.7,93.9
6,National University of Singapore,79.0,95.3,88.7,84.0,84.2,50.7,74.1,73.2,78.0
7,Harvard University,78.8,67.3,63.6,91.2,75.7,64.7,73.7,82.6,100.0
8,University of California- San Diego,78.1,71.9,64.1,94.5,73.6,62.9,73.6,85.4,88.7
9,City University of Hong Kong,77.6,81.8,79.4,75.8,88.7,51.3,70.0,83.5,84.0
10,University of Illinois- Urbana-Champaign,77.2,82.3,72.7,91.1,72.6,56.3,69.1,94.8,69.5
11,Carnegie Mellon University,76.7,88.6,72.4,89.3,76.5,53.7,65.3,78.8,81.7
12,Swiss Federal Institute of Technology - Zurich,74.5,74.8,70.0,79.1,75.0,54.8,69.3,77.9,86.9
13,Zhejiang University,74.4,84.1,94.5,56.8,91.8,44.5,79.5,63.8,80.8
14,Harbin Institute of Technology,73.2,65.4,76.2,56.0,99.1,47.5,88.5,82.6,72.8
15,Hong Kong Polytechnic University,73.0,75.9,76.8,69.7,92.5,50.7,74.5,72.2,72.3
16,Georgia Institute of Technology,72.2,80.7,76.8,80.5,68.7,53.2,60.5,67.5,81.2
17,Shanghai Jiao Tong University,72.1,85.7,85.2,59.6,79.8,45.2,73.9,68.5,77.5
18,University of Michigan- Ann Arbor,70.1,67.7,66.5,75.2,71.2,56.4,64.9,70.3,81.7
19,Swiss Federal Institute of Technology - Lausanne,69.8,67.5,68.2,78.0,74.0,58.0,69.2,75.0,65.3
20,University of Granada,69.7,62.3,65.4,59.7,85.9,50.7,84.2,76.9,74.2
21,The University of Texas- Austin,69.6,70.7,67.6,74.2,76.3,54.5,73.7,69.4,69.0
22,University of Southern California,69.5,68.9,69.2,73.4,65.6,54.9,68.7,77.9,70.9
23,University of Maryland- College Park,68.0,73.2,65.9,82.1,63.6,56.7,68.6,72.2,58.7
23,University of Oxford,68.0,62.4,66.2,66.9,69.8,55.0,64.8,76.9,75.1
25,Huazhong University of Science & Technology,67.4,67.1,84.0,51.9,85.4,44.9,79.2,58.1,70.9
25,University of Toronto,67.4,71.1,63.0,72.2,63.2,53.4,55.8,79.7,72.3
27,University of California- Los Angeles,67.3,68.6,61.2,84.7,62.6,60.5,55.7,73.2,64.4
28,The University of British Columbia,67.2,62.3,62.4,74.7,61.2,59.8,68.4,66.6,76.5
29,University of Washington- Seattle,66.6,64.0,59.5,70.8,58.7,56.3,59.6,76.9,77.5
30,University of Cambridge,66.3,64.5,63.6,67.4,66.3,54.1,64.6,70.3,74.7
31,University of Waterloo,66.2,78.5,75.4,66.5,70.3,48.8,69.0,61.0,60.6
32,Princeton University,66.1,61.6,56.8,68.0,66.4,56.2,73.2,82.6,62.0
32,Katholieke Universiteit Leuven,66.1,70.0,67.1,68.8,72.7,52.3,69.2,61.9,66.7
34,Columbia University,66.0,64.3,60.4,69.6,62.5,55.4,64.3,68.5,77.0
35,Southeast University,65.8,59.4,62.8,55.8,76.3,49.5,78.7,83.5,60.6
36,University of London - University College London,64.7,61.5,61.6,61.9,63.7,52.5,64.4,71.3,75.1
36,Imperial College London,64.7,69.2,64.3,64.0,71.9,50.3,64.9,59.1,73.3
38,The Chinese University of Hong Kong,63.5,70.7,67.8,64.5,67.0,50.1,64.6,61.9,60.6
38,Purdue University- West Lafayette,63.5,76.1,71.6,68.5,56.9,50.1,55.1,61.0,63.4
40,California Institute of Technology,63.1,53.3,49.0,74.0,59.4,70.7,68.3,77.9,52.2
41,University of Minnesota- Twin Cities,62.6,60.0,53.8,74.4,60.2,61.7,59.8,68.5,59.2
41,The University of Manchester,62.6,64.3,60.8,63.4,62.4,52.0,68.5,61.9,66.2
41,Technion - Israel Institute of Technology,62.6,71.9,58.4,70.6,54.3,52.4,54.8,73.2,59.7
44,Ghent University,62.1,64.2,62.8,58.9,70.9,49.5,64.9,61.0,64.8
45,Dalian University of Technology,61.9,60.5,73.5,50.8,75.1,45.8,73.7,61.0,57.3
46,Peking University,61.8,64.3,75.5,54.6,66.9,47.0,64.6,56.3,63.9
46,National Chiao Tung University,61.8,76.0,73.3,61.3,60.2,47.3,59.8,53.4,61.5
46,Polytechnic University of Catalonia,61.8,73.5,78.9,60.1,66.3,47.4,60.3,48.7,59.2
49,Xidian University,61.7,62.5,81.0,50.6,70.5,45.1,64.9,59.1,58.7
50,Tel Aviv University,60.5,68.6,57.3,66.8,53.2,51.9,54.6,61.9,65.3
50,Texas A&M University- College Station,60.5,63.9,67.1,59.1,64.9,49.7,60.2,53.4,64.4
52,Korea Advanced Institute of Science and Technology,60.4,72.6,66.5,59.9,61.5,47.5,59.9,56.3,59.2
52,The University of Hong Kong,60.4,62.5,59.0,58.2,61.4,49.8,59.9,66.6,62.9
54,Cornell University,60.3,58.2,52.8,65.0,52.7,56.8,59.0,64.7,68.6
55,The University of Tokyo,60.0,74.0,67.9,58.8,57.1,46.7,55.1,53.4,64.8
56,National Cheng Kung University,59.8,71.8,68.4,56.5,62.6,46.2,60.0,52.5,61.1
56,The Hong Kong University of Science and Technology,59.8,66.8,61.7,63.2,62.6,50.8,60.0,56.3,57.3
