Programa: Erasmus Mundus,,
Acción 1: Programas Conjuntos,,
Gemma  (Máster en Estudios de las Mujeres y de Género) ,,
Periodo 2009/11 (3ª edición) ,Nº de becas ,
Becas para docentes de terceros países gestionadas en la UGR ,1,
"Becas para estancias breves de docentes, residentes en la Unión Europea para realizar estancias breves en las instituciones asociadas de terceros países ",23,
Periodo 2010/12 (4ª edición) ,,
Becas para docentes de terceros países gestionadas en la UGR  ,2,
Mundusfor (Formación de Profesionales de la Formación) ,,
Período 2009/11 (3ª edición) ,,
Becas para docentes de terceros países gestionadas en la UGR  ,3,
Periodo 2010/12 (4ª edición) ,,
Becas para docentes de terceros países gestionadas en la UGR  ,2,
Cimet (Color in Informatics and Media Technology) ,,
Período 2009/11 (2ª edición),,
Becas para ciudadanos de terceros países gestionadas en la UGR  ,1,
Europubhealth  (Máster en Salud Pública) ,,
Período 2009/11 ,,
Becas para ciudadanos de terceros países  ,2,
Acción 2: Consorcios,,
,Enviados ,Recibidos 
Postdoctorales ,1,12
PDI-PAS ,6,16
Total ,7,28
