" Denominación "," Año 2009 "," Objetivo final año 5 "
" Nº de estudiantes en estudios de grado "," 59059 "," 60000 "
" Nº de estudiantes en estudios de máster "," 3475 "," 4000 "
" Nº de estudiantes de doctorado "," 3157 "," 3500 "
" Porcentaje de estudiantes extranjeros en estudios máster (media tres últimos años) "," 23,61 "," 28,00 "
" Porcentaje de estudiantes extranjeros de doctorado "," 34,21 "," 40,00 "
" Nº de titulaciones de grado acreditadas "," 58 "," 65 "
" Nº de titulaciones de máster acreditadas "," 78 "," 90 "
" Nº de profesores extranjeros "," 197 "," 230 "
" Porcentaje de titulaciones de máster impartidas en inglés "," 10 "," 20 "
" Nº promedio de tesis doctorales en los últimos 3 años "," 429 "," 475 "
" Nº de ofertas de prácticas de las entidades vinculadas a la universidad (media últimos 3 años) "," 1361 "," 1500 "
" Porcentaje de aulas adaptadas "," 50 "," 100 "
" Porcentaje de aulas con conexión a Internet "," 100 "," 100 "
" Porcentaje aulas con cañón de video "," 51,28 "," 100 "
" Porcentaje de espacios con cobertura wifi "," 100 "," 100 "
" Nº de salas de video conferencia, gestionadas por servicios centrales "," 8 "," Todos los centros "
" Nº de salas pequeñas para grupos reducidos (hasta 25 alumnos) "," 97 "," 175 "
" Nº de laboratorios con equipos informáticos y audiovisuales "," 169 "," Todos "
" Porcentaje del campus señalizado en inglés "," -- "," Todo el campus "
