"Denominación "," Año 2009 "," Objetivo final año 5 "
"Nº de estudiantes extranjeros de grado "," "4,141" "," "5,000" "
"Nº de estudiantes en estudios de máster "," "3,475" "," "4,000" "
"Nº de estudiantes de doctorado "," "3,157" ","3500,00"
"Porcentaje de estudiantes extranjeros en estudios máster (media últimos 3 años) "," 23,61 "," 25,00 "
"Porcentaje de estudiantes extranjeros de doctorado "," 34,21 "," 40,00 "
"Nº de profesores extranjeros ","197,00","230,00"
"Porcentaje de titulaciones de máster impartidas en inglés ","10,00","20,00"
"Porcentaje del campus señalizado en inglés "," -- ","100,00"
"Nº de proyectos europeos (investigación) concedidos ","7,00","15,00"
"Nº de proyectos europeos de relaciones internacionales concedidos (entre paréntesis los coordinados) "," 39 (8) "," 45 (12) "
"Nº de investigadores que realizan estancias en el extranjero ","251,00","331,00"
"Nº de investigadores procedentes de otras instituciones ","36,00","51,00"
"Plazas en residencias universitarias "," "2,221" "," "2,430" "
