Programa,Subprograma,Lotes,Países,Universidad coordinadora,Número,Enviados / recibidos
Erasmus Mundus,Acción 1: Programas conjuntos,Gemma  (Máster en Estudios de las Mujeres y de Género) ,No especificado,Becas para docentes de terceros países gestionadas en la UGR ,1,No especificado 
Erasmus Mundus,Acción 1: Programas conjuntos,Gemma  (Máster en Estudios de las Mujeres y de Género) ,No especificado,"Becas para estancias breves de docentes, residentes en la Unión Europea para realizar estancias breves en las instituciones asociadas de terceros países ",23,No especificado 
Erasmus Mundus,Acción 1: Programas conjuntos,Gemma  (Máster en Estudios de las Mujeres y de Género) ,No especificado,Becas para docentes de terceros países gestionadas en la UGR  ,2,No especificado 
Erasmus Mundus,Acción 1: Programas conjuntos,Mundusfor (Formación de Profesionales de la Formación) ,No especificado,Becas para docentes de terceros países gestionadas en la UGR  ,3,No especificado 
Erasmus Mundus,Acción 1: Programas conjuntos,Mundusfor (Formación de Profesionales de la Formación) ,No especificado,Becas para docentes de terceros países gestionadas en la UGR  ,2,No especificado 
Erasmus Mundus,Acción 1: Programas conjuntos,Cimet (Color in Informatics and Media Technology) ,No especificado,Becas para ciudadanos de terceros países gestionadas en la UGR  ,1,No especificado 
Erasmus Mundus,Acción 1: Programas conjuntos,Europubhealth  (Máster en Salud Pública) ,No especificado,Becas para ciudadanos de terceros países  ,2,No especificado 
Erasmus Mundus,Acción 2: Consorcios,No especificado,No especificado,Postdoctorales ,1,Recibidos: 12
Erasmus Mundus,Acción 2: Consorcios,No especificado,No especificado,PDI-PAS ,6,Recibidos: 16
Becas del Grupo Coimbra,No contempla,No contempla,Argentina ,No especificado,3,Recibidos
Becas del Grupo Coimbra,No contempla,No contempla,Ucrania ,No especificado,1,Recibidos
Becas del Grupo Coimbra,No contempla,No contempla,Georgia ,No especificado,1,Recibidos
Programa Propio,Profesores visitantes,No contempla,Estados Unidos ,No especificado,1,Recibidos
Programa Propio,Profesores visitantes,No contempla,Polonia ,No especificado,2,Recibidos
Programa Propio,Profesores visitantes,No contempla,Portugal ,No especificado,1,Recibidos
Programa Propio,Profesores visitantes,No contempla,República Checa ,No especificado,1,Recibidos
Programa Propio,Profesores visitantes,No contempla,Rusia ,No especificado,1,Recibidos
Programa Propio,Profesores visitantes,No contempla,Serbia ,No especificado,1,Recibidos
Programa Propio,Profesores visitantes,No contempla,Siria ,No especificado,1,Recibidos
Programa Propio,Profesores visitantes,No contempla,Ucrania ,No especificado,1,Recibidos
Programa Propio,Movilidad de profesorado,No contempla,Argentina ,No especificado,0,Recibidos
Programa Propio,Movilidad de profesorado,No contempla,China ,No especificado,1,Recibidos
Programa Propio,Movilidad de profesorado,No contempla,Colombia ,No especificado,0,Recibidos
Programa Propio,Movilidad de profesorado,No contempla,Marruecos ,No especificado,0,Recibidos
Programa Propio,Movilidad de profesorado,No contempla,México ,No especificado,0,Recibidos
Programa Propio,Movilidad de profesorado,No contempla,Rusia ,No especificado,5,Recibidos
Programa Propio,Profesores visitantes,No contempla,Estados Unidos ,No especificado,No especificado,Enviados
Programa Propio,Profesores visitantes,No contempla,Polonia ,No especificado,No especificado,Enviados
Programa Propio,Profesores visitantes,No contempla,Portugal ,No especificado,No especificado,Enviados
Programa Propio,Profesores visitantes,No contempla,República Checa ,No especificado,No especificado,Enviados
Programa Propio,Profesores visitantes,No contempla,Rusia ,No especificado,No especificado,Enviados
Programa Propio,Profesores visitantes,No contempla,Serbia ,No especificado,No especificado,Enviados
Programa Propio,Profesores visitantes,No contempla,Siria ,No especificado,No especificado,Enviados
Programa Propio,Profesores visitantes,No contempla,Ucrania ,No especificado,No especificado,Enviados
Programa Propio,Movilidad de profesorado,No contempla,Argentina ,No especificado,1,Enviados
Programa Propio,Movilidad de profesorado,No contempla,China ,No especificado,1,Enviados
Programa Propio,Movilidad de profesorado,No contempla,Colombia ,No especificado,1,Enviados
Programa Propio,Movilidad de profesorado,No contempla,Marruecos ,No especificado,3,Enviados
Programa Propio,Movilidad de profesorado,No contempla,México ,No especificado,1,Enviados
Programa Propio,Movilidad de profesorado,No contempla,Rusia ,No especificado,8,Enviados
Programa de Aprendizaje Permanente (PAP/Erasmus),Acuerdos que contemplan movilidad de profesorado ,No contempla,No especificado,No especificado,215,No especificado 
Programa de Aprendizaje Permanente (PAP/Erasmus),Movilidades previstas ,No contempla,No especificado,No especificado,200,No especificado 
