Programa,Subprograma,Lotes,Países,Universidad coordinadora,Número,Enviados / recibidos
Erasmus Mundus,Acción 1: Programas Conjuntos,Gemma (MSc in Women's and Gender Studies),Terceros países,No especificado,7,Becas para docentes de terceros países gestionadas por la universidad coordinadora
Erasmus Mundus,Acción 1: Programas Conjuntos,Cimet (MSc in Color in Informatics and Media Technology),Terceros países,No especificado,4,Becas para docentes de terceros países gestionadas por la universidad coordinadora
Erasmus Mundus,Acción 1: Programas Conjuntos,Europubhealth (MSc in Public Health),Terceros países,No especificado,9,Becas para docentes de terceros países gestionadas por la universidad coordinadora
Erasmus Mundus,Acción 1: Programas Conjuntos,Gemma (MSc in Women's and Gender Studies),Terceros países,No especificado,5,Becas ejecutadas en la UGR
Erasmus Mundus,Acción 1: Programas Conjuntos,Cimet (MSc in Color in Informatics and Media Technology),Terceros países,No especificado,1,Becas ejecutadas en la UGR
Erasmus Mundus,Acción 1: Programas Conjuntos,Europubhealth (MSc in Public Health),Terceros países,No especificado,2,Becas ejecutadas en la UGR
Erasmus Mundus,Acción 1: Programas Conjuntos,Gemma (MSc in Women's and Gender Studies),Terceros países,No especificado,17,Otros profesores invitados
Erasmus Mundus,Acción 1: Programas Conjuntos,Cimet (MSc in Color in Informatics and Media Technology),Terceros países,No especificado,9,Otros profesores invitados
Erasmus Mundus,Acción 1: Programas Conjuntos,Europubhealth (MSc in Public Health),Terceros países,No especificado,0,Otros profesores invitados
Erasmus Mundus,Acción 2: Asociaciones Erasmus Mundus,Lote 3 ‐ EDEN,Israel,Alexandru Ioan Cuza,1,Enviados
Erasmus Mundus,Acción 2: Asociaciones Erasmus Mundus,Lote 6 ‐ JOINEUSEE IV,Balcanes Occidentales,Graz,2,Enviados
Erasmus Mundus,Acción 2: Asociaciones Erasmus Mundus,Lote 2 ‐ DUNIA BEAM,"Jordania, Líbano, Territorios Palestinos y Siria",Pavía,1,Enviados
Erasmus Mundus,Acción 2: Asociaciones Erasmus Mundus,Lote 3 ‐ EMAIL,Israel,Alexandru Ioan Cuza,1,Recibidos
Erasmus Mundus,Acción 2: Asociaciones Erasmus Mundus,Lote 5 ‐ IANUS,"Armenia, Azerbaiyán, Bielorrusia, Georgia, Moldavia y Ucrania",Iasi,2,Recibidos
Erasmus Mundus,Acción 2: Asociaciones Erasmus Mundus,Lote 10 ‐ PANACEA,"Camboya, China, Filipinas,Indonesia, Laos, Malasia,Myanmar",Montpellier,2,Recibidos
Erasmus Mundus,Acción 2: Asociaciones Erasmus Mundus,Lote 12 ‐ PRECIOSA,No especificado,No especificado,2,Recibidos
Erasmus Mundus,Acción 2: Asociaciones Erasmus Mundus,Lote 6 ‐ JOINEUSEE IV,Balcanes Occidentales,Universidad de Graz,2,Recibidos
Becas del Grupo Coimbra,África,No contempla,Camerún,University of Yaounde,1,Recibidos
Becas del Grupo Coimbra,África,No contempla,Nigeria,University of Ibadan,1,Recibidos
Becas del Grupo Coimbra,Paises vecinos del Este,No contempla,Serbia,University of Novi Sad,1,Recibidos
Becas del Grupo Coimbra,Paises vecinos del Este,No contempla,Macedonia,"University For Information, Science and Technology‐Ohrid",1,Recibidos
Becas del Grupo Coimbra,América Latina,No contempla,Colombia,Universidad del Rosario‐Bogotá,1,Recibidos
Becas del Grupo Coimbra,América Latina,No contempla,Argentina,Consejo Nac. De Investigaciones Científicas y Técnicas‐CONICET,1,Recibidos
Becas del Grupo Coimbra,América Latina,No contempla,Cuba,Universidad de Cienfuegos,1,Recibidos
Becas del Grupo Coimbra,América Latina,No contempla,Brasil,Universidad Federal de Santa Catarina,1,Recibidos
Programa Propio,Movilidad profesorado,No contempla,Argentina,Universidad de la Matanza,2,Enviados
Programa Propio,Movilidad profesorado,No contempla,Argentina,Universidad de Buenos Aires,3,Enviados
Programa Propio,Movilidad profesorado,No contempla,Argentina,Universidad Nac. Tres de Febrero,2,Enviados
Programa Propio,Movilidad profesorado,No contempla,Argentina,Universidad Nacional de Salta,1,Enviados
Programa Propio,Movilidad profesorado,No contempla,Argentina,Universidad Nacional del  Litoral,1,Enviados
Programa Propio,Movilidad profesorado,No contempla,Australia,University of Technology Sidney,1,Enviados
Programa Propio,Movilidad profesorado,No contempla,Brasil,Universidade Federal do Ceara,2,Enviados
Programa Propio,Movilidad profesorado,No contempla,Brasil,Universidade Federal do Paraná‐Setor Litoral,1,Enviados
Programa Propio,Movilidad profesorado,No contempla,Brasil,Universidade Federal do Rio Grande do Sul,1,Enviados
Programa Propio,Movilidad profesorado,No contempla,Brasil,Universidad Federal de Santa María,1,Enviados
Programa Propio,Movilidad profesorado,No contempla,Chile,Universidad de Chile,1,Enviados
Programa Propio,Movilidad profesorado,No contempla,Chile,Pontificia Universidad Católica de Valparaíso,2,Enviados
Programa Propio,Movilidad profesorado,No contempla,Chile,Universidad de Talca,1,Enviados
Programa Propio,Movilidad profesorado,No contempla,Colombia,Fac. BB. Artes‐Univ. Nac. De Colombia,1,Enviados
Programa Propio,Movilidad profesorado,No contempla,Colombia,Universidad Tecnológico de Pereira,1,Enviados
Programa Propio,Movilidad profesorado,No contempla,Colombia,Universidad de los Andes,3,Enviados
Programa Propio,Movilidad profesorado,No contempla,Colombia,Universidad Externado de Colombia,1,Enviados
Programa Propio,Movilidad profesorado,No contempla,Colombia,Universidad del Norte,1,Enviados
Programa Propio,Movilidad profesorado,No contempla,Costa Rica,Universidad Nacional de Costa Rica,1,Enviados
Programa Propio,Movilidad profesorado,No contempla,Estados Unidos,Montclair State University,1,Enviados
Programa Propio,Movilidad profesorado,No contempla,Marruecos,Universidad Cadi Ayyad,1,Enviados
Programa Propio,Movilidad profesorado,No contempla,Marruecos,Universidad Abdelmalek Essaadi de Tetuán,1,Enviados
Programa Propio,Movilidad profesorado,No contempla,México,Universidad de Aguascalientes,1,Enviados
Programa Propio,Movilidad profesorado,No contempla,México,Universidad del Caribe,1,Enviados
Programa Propio,Movilidad profesorado,No contempla,México,Universidad Nacional de México,2,Enviados
Programa Propio,Movilidad profesorado,No contempla,México,Universidad Veracruzana,1,Enviados
Programa Propio,Movilidad profesorado,No contempla,Nicaragua,Universidad Nacional Autónoma de Nicaragua,3,Enviados
Programa Propio,Movilidad profesorado,No contempla,Panamá,Universidad  Tecnológica de Panamá,1,Enviados
Programa Propio,Movilidad profesorado,No contempla,Paraguay,Universidad Nacional de  Asunción,1,Enviados
Programa Propio,Movilidad profesorado,No contempla,Perú,Universidad Ricardo Palma,2,Enviados
Programa Propio,Movilidad profesorado,No contempla,Perú,Pontificia Católica Universidad del Perú,3,Enviados
Programa Propio,Movilidad profesorado,No contempla,Perú,Comisión Nacional DEVIDA,1,Enviados
Programa Propio,Movilidad profesorado,No contempla,Perú,Universidad Nacional de San Antonio Abad del Cusco,1,Enviados
Programa Propio,Movilidad profesorado,No contempla,Venezuela,Universidad Centroccidental Lisandro Alvarado (UCLA),2,Enviados
Programa Propio,Movilidad profesorado,No contempla,Rusia,Universidad Estatal Lingüística de Moscú,2,Enviados
Programa Propio,Movilidad profesorado,No contempla,Rusia,Universidad Estatal Lomonosov de Moscú,1,Enviados
Programa Propio,Profesores visitantes,No contempla,China,Universidad de Pekín,1,Recibidos
Programa Propio,Profesores visitantes,No contempla,China,Universidad de Guangong,1,Recibidos
Programa Propio,Profesores visitantes,No contempla,China,Sichuan University  ,1,Recibidos
Programa Propio,Profesores visitantes,No contempla,Marruecos,Universidad Hassan I de Settat,1,Recibidos
Programa Propio,Profesores visitantes,No contempla,Polonia,Universidad de Varsovia,1,Recibidos
Programa Propio,Profesores visitantes,No contempla,Polonia,Universidad Marie Curie en Lublin,1,Recibidos
Programa Propio,Profesores visitantes,No contempla,República Checa,Universidad de Palaky de Olomouc,1,Recibidos
Programa Propio,Profesores visitantes,No contempla,Rusia,Universidad Estatal de Udmurtia,1,Recibidos
Programa Propio,Profesores visitantes,No contempla,Suecia,Högskolan Dalarna,1,Recibidos
Programa Propio,Profesores visitantes,No contempla,Ucrania,Universidad Taras Shevchenko de Kiev,1,Recibidos
Programa Propio,Profesores visitantes,No contempla,Portugal,Instituto Camoes,1,Recibidos
Programa Propio,Profesores visitantes,No contempla,Rumanía,Instituto de Lengua Rumana,1,Recibidos
