"Tipo","Categoría","Hombre","Mujer","Total"
"Funcionariado de los cuerpos docentes universitarios","Catedráticos/as de Universidad","0","1","1"
"Funcionariado de los cuerpos docentes universitarios","Titulares de Universidad","12","10","22"
"Personal docente e investigador contratado y otros","Profesor Ayudante Doctor","2","3","5"
"Personal docente e investigador contratado y otros","Profesor Asociado Laboral","2","0","2"
"Personal docente e investigador contratado y otros","Profesor Colaborador","1","3","4"
"Personal docente e investigador contratado y otros","Profesor Contratado Doctor ","8","8","16"
"Personal docente e investigador contratado y otros","Profesor Contratado Doctor Interino","1","0","1"
"Personal docente e investigador contratado y otros","Profesor Sustituto Interino","3","3","6"
"Personal docente e investigador contratado y otros","Profesor Visitante Laboral","7","10","17"
"Personal docente e investigador contratado y otros","Otras Categorías","1","0","1"
