Tipo,País ,Recibidos ,Enviados
Profesores visitantes,Estados Unidos ,1,
Profesores visitantes,Polonia ,2,
Profesores visitantes,Portugal ,1,
Profesores visitantes,República Checa ,1,
Profesores visitantes,Rusia ,1,
Profesores visitantes,Serbia ,1,
Profesores visitantes,Siria ,1,
Profesores visitantes,Ucrania ,1,
Profesores visitantes,Totales ,9,
Movilidad de profesorado,Argentina ,- ,1
Movilidad de profesorado,China ,1,1
Movilidad de profesorado,Colombia ,- ,1
Movilidad de profesorado,Marruecos ,- ,3
Movilidad de profesorado,México ,- ,1
Movilidad de profesorado,Rusia ,5,8
Movilidad de profesorado,Totales ,6,15
