index,fecha,de,cod_capitulo,capitulo,cod_concepto,concepto,cod_programa,programa,cantidad
1,2013,Universidad de Granada,1, Gastos De Personal,110,Personal eventual,422D,Enseñanzas Universitarias,360000
2,2013,Universidad de Granada,1, Gastos De Personal,120,Funcionarios. Retribuciones básicas,422D,Enseñanzas Universitarias,55624330
3,2013,Universidad de Granada,1, Gastos De Personal,120,Funcionarios. Retribuciones básicas,321B,Estructura y Gestión Universitaria,19732
4,2013,Universidad de Granada,1, Gastos De Personal,121,Funcionarios. Retribuciones complementarias,422D,Enseñanzas Universitarias,84273857
5,2013,Universidad de Granada,1, Gastos De Personal,121,Funcionarios. Retribuciones complementarias,321B,Estructura y Gestión Universitaria,28328
6,2013,Universidad de Granada,1, Gastos De Personal,130,Personal laboral. Retribuciones básicas,422D,Enseñanzas Universitarias,15265774
7,2013,Universidad de Granada,1, Gastos De Personal,131,Personal laboral. Otras remuneraciones,422D,Enseñanzas Universitarias,44065247
8,2013,Universidad de Granada,1, Gastos De Personal,134.0,Personal laboral de sustituciones,422D,Enseñanzas Universitarias,4140000
9,2013,Universidad de Granada,1, Gastos De Personal,143,Personal colaboración social,422D,Enseñanzas Universitarias,300000
10,2013,Universidad de Granada,1, Gastos De Personal,145,Retribuciones Asociados (LRU),422D,Enseñanzas Universitarias,25444
11,2013,Universidad de Granada,1, Gastos De Personal,146,Retribuciones Asociados Ciencias de la Salud (LRU),422D,Enseñanzas Universitarias,697687
12,2013,Universidad de Granada,1, Gastos De Personal,150,Productividad,422D,Enseñanzas Universitarias,13148402
13,2013,Universidad de Granada,1, Gastos De Personal,150,Productividad,321B,Estructura y Gestión Universitaria,6599
14,2013,Universidad de Granada,1, Gastos De Personal,151,Gratificaciones,422D,Enseñanzas Universitarias,3000
15,2013,Universidad de Granada,1, Gastos De Personal,160,Cuotas sociales,422D,Enseñanzas Universitarias,29115825
16,2013,Universidad de Granada,1, Gastos De Personal,162.0,Prestaciones. Indemnización por jubilación,422D,Enseñanzas Universitarias,3000000
17,2013,Universidad de Granada,1, Gastos De Personal,"162,01",Formación y Perfeccionamiento del PAS,422D,Enseñanzas Universitarias,200000
18,2013,Universidad de Granada,1, Gastos De Personal,162.05,Plan de acción social,422D,Enseñanzas Universitarias,869331
19,2013,Universidad de Granada,1, Gastos De Personal,162.05,Plan de Acción Social. Beneficios en precios publicos,422D,Enseñanzas Universitarias,840000
20,2013,Universidad de Granada,1, Gastos De Personal,162.07,Prestaciones. Complemento a la prestación por I.T.,422D,Enseñanzas Universitarias,800000
21,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,202,Arrendamiento de edificios y otros,422D,Enseñanzas Universitarias,20000
22,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,202,Arrendamiento de edificios y otros,541A,Investigación Científica,2000
23,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,202,Arrendamiento de edificios y otros,321B,Estructura y Gestión Universitaria,250000
24,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,203,"Arrendamiento de maquinaria, instalac.y utillaje",422D,Enseñanzas Universitarias,20000
25,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,203,"Arrendamiento de maquinaria, instalac.y utillaje",541A,Investigación Científica,2000
26,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,203,"Arrendamiento de maquinaria, instalac.y utillaje",321B,Estructura y Gestión Universitaria,50000
27,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,204,Arrendamiento de material de transporte,422D,Enseñanzas Universitarias,2000
28,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,204,Arrendamiento de material de transporte,541A,Investigación Científica,2000
29,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,204,Arrendamiento de material de transporte,321B,Estructura y Gestión Universitaria,5000
30,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,205,Arrendamiento de mobiliario y enseres,422D,Enseñanzas Universitarias,20000
31,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,205,Arrendamiento de mobiliario y enseres,541A,Investigación Científica,2000
32,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,205,Arrendamiento de mobiliario y enseres,321B,Estructura y Gestión Universitaria,60000
33,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,206,Arrendamiento de equipos informáticos,422D,Enseñanzas Universitarias,2000
34,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,206,Arrendamiento de equipos informáticos,541A,Investigación Científica,2000
35,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,206,Arrendamiento de equipos informáticos,321B,Estructura y Gestión Universitaria,2000
36,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,208,Arrendamiento de otro inmovilizado material,422D,Enseñanzas Universitarias,2000
37,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,208,Arrendamiento de otro inmovilizado material,541A,Investigación Científica,2000
38,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,208,Arrendamiento de otro inmovilizado material,321B,Estructura y Gestión Universitaria,2000
39,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,212,"Reparación, Mantenimiento y conservación de edificios y otros",422D,Enseñanzas Universitarias,400000
40,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,212,"Reparación, Mantenimiento y conservación de edificios y otros",541A,Investigación Científica,100000
41,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,212,"Reparación, Mantenimiento y conservación de edificios y otros",321B,Estructura y Gestión Universitaria,1326464
42,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,213,"Reparación, Mantenimiento y conserv.maquinaria, instalaciones y utillaje",422D,Enseñanzas Universitarias,400000
43,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,213,"Reparación, Mantenimiento y conserv.maquinaria, instalaciones y utillaje",541A,Investigación Científica,75000
44,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,213,"Reparación, Mantenimiento y conserv.maquinaria, instalaciones y utillaje",321B,Estructura y Gestión Universitaria,775000
45,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,214,"Reparación, Mantenimiento y  conserv.material de transporte",422D,Enseñanzas Universitarias,2000
46,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,214,"Reparación, Mantenimiento y  conserv.material de transporte",541A,Investigación Científica,2000
47,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,214,"Reparación, Mantenimiento y  conserv.material de transporte",321B,Estructura y Gestión Universitaria,20000
48,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,215,"Reparación, Mantenimiento y conserv. mobiliario y enseres",422D,Enseñanzas Universitarias,150000
49,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,215,"Reparación, Mantenimiento y conserv. mobiliario y enseres",541A,Investigación Científica,15000
50,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,215,"Reparación, Mantenimiento y conserv. mobiliario y enseres",321B,Estructura y Gestión Universitaria,200000
51,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,216,"Reparación, Mantenimiento y conserv. Equipos de información",422D,Enseñanzas Universitarias,150000
52,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,216,"Reparación, Mantenimiento y conserv. Equipos de información",541A,Investigación Científica,75000
53,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,216,"Reparación, Mantenimiento y conserv. Equipos de información",321B,Estructura y Gestión Universitaria,600000
54,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,217,Mantenimiento general y optimización energética,321B,Estructura y Gestión Universitaria,1200000
55,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,220,Material de oficina,422D,Enseñanzas Universitarias,1600000
56,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,220,Material de oficina,541A,Investigación Científica,110000
57,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,220,Material de oficina,321B,Estructura y Gestión Universitaria,2220185
58,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,221,Suministros,422D,Enseñanzas Universitarias,2550000
59,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,221,Suministros,541A,Investigación Científica,125000
60,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,221,Suministros,321B,Estructura y Gestión Universitaria,6000000
61,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,222,Comunicaciones,422D,Enseñanzas Universitarias,100000
62,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,222,Comunicaciones,541A,Investigación Científica,15000
63,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,222,Comunicaciones,321B,Estructura y Gestión Universitaria,1100000
64,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,223,Transportes,422D,Enseñanzas Universitarias,250000
65,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,223,Transportes,541A,Investigación Científica,2000
66,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,223,Transportes,321B,Estructura y Gestión Universitaria,300000
67,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,224,Primas de seguros,422D,Enseñanzas Universitarias,60000
68,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,224,Primas de seguros,541A,Investigación Científica,5000
69,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,224,Primas de seguros,321B,Estructura y Gestión Universitaria,200000
70,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,225,Tributos,422D,Enseñanzas Universitarias,200000
71,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,225,Tributos,541A,Investigación Científica,5000
72,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,225,Tributos,321B,Estructura y Gestión Universitaria,100000
73,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,226,"Gastos diversos(excepto subconcepto 226,01)",422D,Enseñanzas Universitarias,2926596
74,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,226,"Gastos diversos(excepto subconcepto 226,01)",541A,Investigación Científica,74940
75,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,226,"Gastos diversos(excepto subconcepto 226,01)",321B,Estructura y Gestión Universitaria,4269850
76,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,226.01,Atenciones protocolarias y de representación,422D,Enseñanzas Universitarias,300000
77,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,226.01,Atenciones protocolarias y de representación,541A,Investigación Científica,10000
78,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,226.01,Atenciones protocolarias y de representación,321B,Estructura y Gestión Universitaria,250000
79,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,227,Trabajos realizados por otras empresas,422D,Enseñanzas Universitarias,900000
80,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,227,Trabajos realizados por otras empresas,541A,Investigación Científica,80000
81,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,227,Trabajos realizados por otras empresas,321B,Estructura y Gestión Universitaria,5300000
82,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,230,Dietas,422D,Enseñanzas Universitarias,900000
83,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,230,Dietas,541A,Investigación Científica,50000
84,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,230,Dietas,321B,Estructura y Gestión Universitaria,608750
85,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,231, Locomoción,422D,Enseñanzas Universitarias,800000
86,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,231, Locomoción,541A,Investigación Científica,50000
87,2013,Universidad de Granada,2, Gastos En Bienes Corrientes Y Servicios,231, Locomoción,321B,Estructura y Gestión Universitaria,600000
88,2013,Universidad de Granada,3, Gastos Financieros,310,Intereses operaciones a corto plazo,321B,Estructura y Gestión Universitaria,175000
89,2013,Universidad de Granada,3, Gastos Financieros,311,"Gastos de emisión, modificación y cancelación",321B,Estructura y Gestión Universitaria,25000
90,2013,Universidad de Granada,4, Transferencias Corrientes,"480,00", Becas  y ayudas propias a estudiantes,422D,Enseñanzas Universitarias,1207500
91,2013,Universidad de Granada,4, Transferencias Corrientes,480.03,A Asociaciones estudiantiles,422D,Enseñanzas Universitarias,150000
92,2013,Universidad de Granada,4, Transferencias Corrientes,"480,04",Plan Propio de Prácticas en Empresas y Entidades sin fines lucro,422D,Enseñanzas Universitarias,1075000
93,2013,Universidad de Granada,4, Transferencias Corrientes,"480,08",Plan Propio de Ayudas Sociales a Estudiantes,422D,Enseñanzas Universitarias,180000
94,2013,Universidad de Granada,4, Transferencias Corrientes,483,Becas Programas Europeos,422D,Enseñanzas Universitarias,10250000
95,2013,Universidad de Granada,4, Transferencias Corrientes,484,Convenio con otras instituciones,321B,Estructura y Gestión Universitaria,35000
96,2013,Universidad de Granada,4, Transferencias Corrientes,485,"A Fundaciones y otras instituciones(Excepto 485,03)",321B,Estructura y Gestión Universitaria,500000
