TIPO,SUBTIPO,CONCEPTO,IMPORTES
Personal docente e investigador,Funcionario,Retribuciones Básicas y Complementarias,109045724
Personal docente e investigador,Funcionario,Trienios,10021817
Personal docente e investigador,Funcionario,Indemnización por Residencia,801317
Personal docente e investigador,Funcionario,Cuota Patronal de la Seguridad Social,1496226
Personal docente e investigador,Funcionario,Complemento por Acción Social a prestación I.T.,-250000
Personal docente e investigador,Contratado,Retribuciones Básicas y Complementarias,25100038
Personal docente e investigador,Contratado,Trienios,1823641
Personal docente e investigador,Contratado,Indemnización por Residencia,1064565
Personal docente e investigador,Contratado,Cuota Patronal de la Seguridad Social,7452131
Personal docente e investigador,Contratado,Complemento por Acción Social a prestación I.T.,-40000
Personal de administración y servicios,Funcionario,Retribuciones Básicas y Complementarias,30124511
Personal de administración y servicios,Funcionario,Trienios,2102118
Personal de administración y servicios,Funcionario,Indemnización por Residencia,178672
Personal de administración y servicios,Funcionario,Cuota Patronal de la Seguridad Social,8228301
Personal de administración y servicios,Funcionario,Complemento por Acción Social a prestación I.T.,-100000
Personal de administración y servicios,Laboral,"Sueldo, Trienios y Complementos",37910462
Personal de administración y servicios,Laboral,Indemnización por Residencia,249043
Personal de administración y servicios,Laboral,Cuota Patronal de la Seguridad Social,12837127
Personal de administración y servicios,Laboral,Complemento por Acción Social a prestación I.T.,-410000
Personal de administración y servicios,Laboral,Cargos Académicos,2991204
Personal de administración y servicios,Laboral,Consejo Social,55195
Personal de administración y servicios,Laboral,Tribunales Pruebas de Acceso,300000
Personal de administración y servicios,Laboral,Coordinación Pruebas de Acceso,15000
Personal de administración y servicios,Laboral,Productividad y Artículo 32 Estatutos,3000
Personal de administración y servicios,Laboral,Personal de Colaboración Social INEM,300000
Personal de administración y servicios,Laboral,Plan de Formación del PAS,200000
Personal de administración y servicios,Laboral,Plan de Acción Social,869331
Personal de administración y servicios,Laboral,Indemnización e incentivos por Jubilación,4300000
Personal de administración y servicios,Laboral,Beneficios en Precios Públicos Personal Universidad,840000
Personal de administración y servicios,Laboral,Complemento a la Prestación por I.T.,800000
Personal de administración y servicios,Laboral,Estimación Reducción Ley 3/2012 Junta Andalucía ,-11000000
