Subprogramas,Concepto,Crédito,Financiación Específica (externa),Financiación específica (rec. Propios)
Subprograma 541A.1: Política Científica y Bibliotecas,Gestión Vicerrectorado de Política Científica e Investigación,20000,0,0
Subprograma 541A.1: Política Científica y Bibliotecas,Plan Propio de Investigación ,3360000,0,0
Subprograma 541A.1: Política Científica y Bibliotecas,Plan Propio de Fomento de la Productividad Investigadora,1000000,0,0
Subprograma 541A.1: Política Científica y Bibliotecas,"Proyectos, Grupos y otras actuaciones de Investigación",27811159,27811159,0
Subprograma 541A.1: Política Científica y Bibliotecas,Biblioteca Universitaria,3600000,0,0
Subprograma 541A.1: Política Científica y Bibliotecas,Oficina de Proyectos Internacionales,25000,0,0
Subprograma 541A.1: Política Científica y Bibliotecas,Oficina de Transferencia de Resultados de Investigación,2290000,0,2250000
Subprograma 541A.1: Política Científica y Bibliotecas,Infraestructura Científica  FEDER,7000000,7000000,0
Subprograma 541A.1: Política Científica y Bibliotecas,Centro de Instrumentación Científica,412000,0,250000
Subprograma 541A.2: Institutos y Centros de Investigación ,Gestión Vicerrectorado del P.T. de Ciencias de la Salud,20000,0,0
Subprograma 541A.2: Institutos y Centros de Investigación ,Institutos de Investigación,183540,0,0
Subprograma 541A.2: Institutos y Centros de Investigación ,Centro de Investigación Biomédica,30000,0,0
Subprograma 541A.2: Institutos y Centros de Investigación ,Otros Centros de Investigación,65400,0,0
Subprograma 541A.2: Institutos y Centros de Investigación ,Desarrollo Campus CC Salud,10000,0,0
