Tipo de máster,Políticas,Ciencias,Medicina,Letras,BB.AA,CC.Educ,Derecho,Enferm.,ETS.Inform,Psicolog.,Empres.,Hum.Melilla,Caminos,Trab.Social,Edific.,Docum.,FCCAFD,Odontol.,Farmac.,CC.Trabajo,Traduct.,ETS.Arquit.
Másteres Oficiales,75,17,70,15,40,30,36,32,24,23,38,22,30,28,50,22,57,24,40,29,40,31
Másteres Oficiales,37,26,35,16,34,19,28,0,24,31,27,0,0,0,0,0,60,0,112,0,0,0
Másteres Oficiales,29,17,39,27,0,0,31,0,38,30,20,0,0,0,0,0,0,0,0,0,0,0
Másteres Oficiales,0,23,20,9,0,0,26,0,13,23,0,0,0,0,0,0,0,0,0,0,0,0
Másteres Oficiales,0,16,24,28,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
Másteres Oficiales,0,35,34,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Másteres Oficiales,0,30,32,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Másteres Oficiales,0,13,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Másteres Oficiales,0,21,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Másteres Oficiales,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Másteres Oficiales,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Másteres Oficiales,141,276,254,320,74,49,121,32,99,146,85,22,30,28,50,22,117,24,152,29,40,31
Másteres Propios,25,40,60,25,22,0,90,90,0,15,0,0,35,0,16,0,39,6,40,25,0,0
Másteres Propios,30,0,25,0,43,0,46,0,0,15,0,0,0,0,31,0,0,8,0,0,0,0
Másteres Propios,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
Másteres Propios,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Másteres Propios,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Másteres Propios,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Másteres Propios,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Másteres Propios,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Másteres Propios,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Másteres Propios,55,40,85,25,65,0,404,90,0,30,0,0,35,0,47,0,39,24,40,25,0,0
Aula Permanente,0,75,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
