Código,Departamento,Sección departamento,Cr. Teo. ,Cr. Prac. ,Coef. Exp. ,Cr. Pra. CEx. ,Cred. Tot. ,Matrículas ,Cred. Pon.
305001,ÁLGEBRA,ÁLGEBRA ,169,11,"1,2","13,2","182,2",1918,"11561,4"
305002,ANÁLISIS MATEMÁTICO,ANÁLISIS MATEMÁTICO ,"224,5",20,"1,2",24,"248,5",3331,19959
305003,ANATOMÍA PATOLÓGICA E HISTORIA DE LA CIENCIA,ANATOMÍA PATOLÓGICA ,"26,5",4,2,8,"34,5",711,5119
305003,ANATOMÍA PATOLÓGICA E HISTORIA DE LA CIENCIA,HISTORIA DE LA CIENCIA ,36,"4,5",1,"4,5","40,5",601,"3574,5"
305005,BIOLOGÍA CELULAR,BIOLOGÍA CELULAR ,89,"14,5","1,8","26,1","115,1",2095,"15514,7"
305008,ANATOMÍA Y EMBRIOLOGÍA HUMANA,ANATOMÍA Y EMBRIOLOGÍA HUMANA ,98,"1,5",2,3,101,2469,16148
305009,CIRUGÍA Y SUS ESPECIALIDADES,CIRUGÍA ,"92,5",24,2,48,"140,5",2361,"29212,5"
305009,CIRUGÍA Y SUS ESPECIALIDADES,OFTALMOLOGÍA ,18,0,2,0,18,403,2418
305009,CIRUGÍA Y SUS ESPECIALIDADES,OTORRINOLARINGOLOGÍA ,"27,5",6,2,12,"39,5",754,"7573,5"
305009,CIRUGÍA Y SUS ESPECIALIDADES,UROLOGÍA ,14,0,2,0,14,306,2326
305009,CIRUGÍA Y SUS ESPECIALIDADES,TRAUMATOLOGÍA Y ORTOPEDIA ,18,0,2,0,18,189,1134
305010,CONSTRUCCIONES ARQUITECTÓNICAS,COMPOSICIÓN ARQUITECTÓNICA ,45,6,"1,6","9,6","54,6",1428,"8029,8"
305010,CONSTRUCCIONES ARQUITECTÓNICAS,CONSTRUCCIONES ARQUITECTÓNICAS ,211,23,"1,6","36,8","247,8",10113,"60696,6"
305011,DERECHO ADMINISTRATIVO,DERECHO ADMINISTRATIVO ,250,8,1,8,258,5905,34812
305012,DERECHO CIVIL,DERECHO CIVIL ,"204,5","15,5",1,"15,5",220,5808,34354
305013,DERECHO CONSTITUCIONAL,DERECHO CONSTITUCIONAL ,168,4,1,4,172,5850,34378
305014,DERECHO PROCESAL Y ECLESIÁSTICO,DERECHO ECLESIÁSTICO DEL ESTADO ,32,4,1,4,36,1750,9234
305014,DERECHO PROCESAL Y ECLESIÁSTICO,DERECHO PROCESAL ,95,4,1,4,99,2952,"19235,5"
305015,DERECHO FINANCIERO Y TRIBUTARIO,DERECHO FINANCIERO Y TRIBUTARIO ,180,13,1,13,193,4223,29701
305016,DERECHO INTERNACIONAL PRIVADO E HISTORIA DEL DERECHO,DERECHO INTERNACIONAL PRIVADO ,"47,5",7,1,7,"54,5",1667,"12354,5"
305016,DERECHO INTERNACIONAL PRIVADO E HISTORIA DEL DERECHO,HISTORIA DEL DERECHO Y DE LAS INSTITUCIONES ,34,2,1,2,36,1191,7146
305017,DERECHO MERCANTIL Y DERECHO ROMANO,DERECHO MERCANTIL ,140,5,1,5,145,4308,27170
305017,DERECHO MERCANTIL Y DERECHO ROMANO,DERECHO ROMANO ,23,1,1,1,24,951,5706
305018,DIBUJO,DIBUJO ,147,0,"1,4",0,147,3214,19446
305019,DIDÁCTICA DE LAS CIENCIAS EXPERIMENTALES,DIDÁCTICA DE LAS CIENCIAS EXPERIMENTALES ,261,0,"1,4",0,261,3960,48872
305020,DIDÁCTICA DE LAS CIENCIAS SOCIALES,DIDÁCTICA DE LAS CIENCIAS SOCIALES ,281,0,"1,2",0,281,4104,49664
305021,"DIDÁCTICA DE LA EXPRESIÓN MUSICAL, PLÁSTICA Y CORPORAL",DIDÁCTICA DE LA EXPRESIÓN CORPORAL ,321,"1,5","1,4","2,1","323,1",3784,"39375,9"
305021,"DIDÁCTICA DE LA EXPRESIÓN MUSICAL, PLÁSTICA Y CORPORAL",DIDÁCTICA DE LA EXPRESIÓN MUSICAL ,371,"1,5","1,4","2,1","373,1",3096,"34627,8"
305021,"DIDÁCTICA DE LA EXPRESIÓN MUSICAL, PLÁSTICA Y CORPORAL",DIDÁCTICA DE LA EXPRESIÓN PLÁSTICA ,227,"1,5","1,4","2,1","229,1",3189,"43680,8"
305022,DIDÁCTICA DE LA LENGUA Y LA LITERATURA,DIDÁCTICA DE LA LENGUA Y LA LITERATURA ,736,4,1,4,740,7613,73228
305023,DIDÁCTICA DE LA MATEMÁTICA,DIDÁCTICA DE LA MATEMÁTICA ,336,0,"1,2",0,336,4743,56087
305024,DIDÁCTICA Y ORGANIZACIÓN ESCOLAR,DIDÁCTICA Y ORGANIZACIÓN ESCOLAR ,"821,5","19,5","1,2","23,4","844,9",12076,"104801,5"
305025,ECONOMÍA APLICADA,ECONOMÍA APLICADA ,340,"3,5",1,"3,5","343,5",7669,"46669,5"
305026,ECONOMÍA FINANCIERA Y CONTABILIDAD,ECONOMÍA FINANCIERA Y CONTABILIDAD ,643,"18,5",1,"18,5","661,5",11407,"68254,5"
305027,EDAFOLOGÍA Y QUÍMICA AGRÍCOLA,EDAFOLOGÍA Y QUÍMICA AGRÍCOLA ,73,"3,5","1,8","6,3","79,3",1211,"7381,2"
305030,ESTADÍSTICA E INVESTIGACIÓN OPERATIVA,ESTADÍSTICA E INVESTIGACIÓN OPERATIVA ,683,"38,5","1,2","46,2","729,2",8062,"48566,7"
305031,ESTRATÍGRAFÍA Y PALEONTOLOGÍA,ESTRATIGRAFÍA ,"99,5","16,5","1,8","29,7","129,2",921,"6156,8"
305031,ESTRATÍGRAFÍA Y PALEONTOLOGÍA,PALEONTOLOGÍA ,101,"22,5","1,4","31,5","132,5",1139,"7517,7"
305032,ESTUDIOS SEMÍTICOS,ESTUDIOS ÁRABES E ISLÁMICOS ,598,72,1,72,670,1428,9142
305032,ESTUDIOS SEMÍTICOS,ESTUDIOS HEBREOS Y ARAMEOS ,212,4,1,4,216,126,756
305033,EXPRESION GRÁFICA ARQUITECTÓNICA Y EN LA INGENIERÍA,EXPRESIÓN GRÁFICA ARQUITECTÓNICA ,"135,5",13,"1,6","20,8","156,3",5801,34371
305033,EXPRESION GRÁFICA ARQUITECTÓNICA Y EN LA INGENIERÍA,EXPRESIÓN GRÁFICA EN LA INGENIERÍA ,42,0,"1,6",0,42,1060,6360
305033,EXPRESION GRÁFICA ARQUITECTÓNICA Y EN LA INGENIERÍA,"INGENIERÍA CARTOGRÁFICA, GEODÉSICA Y FOTOGRAMETRÍA ",15,3,"1,6","4,8","19,8",418,"2610,6"
305033,EXPRESION GRÁFICA ARQUITECTÓNICA Y EN LA INGENIERÍA,PROYECTOS ARQUITECTÓNICOS ,58,28,"1,6","44,8","102,8",2028,16116
305034,FARMACIA Y TECNOLOGÍA FARMACÉUTICA,FARMACIA Y TECNOLOGÍA FARMACÉUTICA ,"52,5",8,"1,8","14,4","66,9",1934,"12318,6"
305034,FARMACIA Y TECNOLOGÍA FARMACÉUTICA,"HISTORIA DE LA FARMACIA, LEGISLACIÓN Y GESTIÓN FARMAC ",12,18,"1,2","21,6","33,6",1290,10368
305035,FARMACOLOGÍA,FARMACOLOGÍA ,"115,5",26,"1,8","46,8","162,3",3572,"28924,7"
305036,LENGUA ESPAÑOLA,LENGUA ESPAÑOLA ,246,12,1,12,258,3207,19242
305037,FILOLOGÍA FRANCESA,FILOLOGÍA FRANCESA ,620,28,1,28,648,2784,17829
305038,FILOLOGÍA GRIEGA,FILOLOGÍA ESLAVA ,642,24,1,24,666,722,4626
305038,FILOLOGÍA GRIEGA,FILOLOGÍA GRIEGA ,"383,5",14,1,14,"397,5",984,"6088,5"
305039,FILOLOGÍA INGLESA,FILOLOGÍA ALEMANA,282,0,1,0,282,1188,7872
305039,FILOLOGÍA INGLESA,FILOLOGÍA INGLESA ,774,43,1,43,817,8258,"53221,5"
305040,FILOLOGÍA LATINA,FILOLOGÍA LATINA ,242,31,1,31,273,1074,6636
305041,"FILOLOGÍAS ROMÁNICA, ITALIANA, GALLEGO-PORTUGUESA Y CATALANA",FILOLOGÍA CATALANA ,150,0,1,0,150,64,384
305041,"FILOLOGÍAS ROMÁNICA, ITALIANA, GALLEGO-PORTUGUESA Y CATALANA",FILOLOGÍA ITALIANA ,390,0,1,0,390,864,5364
305041,"FILOLOGÍAS ROMÁNICA, ITALIANA, GALLEGO-PORTUGUESA Y CATALANA",FILOLOGÍA ROMÁNICA ,64,2,1,2,66,127,762
305041,"FILOLOGÍAS ROMÁNICA, ITALIANA, GALLEGO-PORTUGUESA Y CATALANA",FILOLOGÍAS GALLEGA Y PORTUGUESA ,246,0,1,0,246,266,1806
305042,FILOSOFÍA I,ESTÉTICA Y TEORÍA DE LAS ARTES ,51,3,"1,2","3,6","54,6",734,"4413,6"
305042,FILOSOFÍA I,FILOSOFÍA MORAL ,74,4,1,4,78,586,3516
305042,FILOSOFÍA I,LÓGICA Y FILOSOFÍA DE LA CIENCIA ,114,12,1,12,126,1122,6732
305043,"FILOSOFÍA DEL DERECHO, MORAL Y POLÍTICA",FILOSOFÍA DEL DERECHO ,"71,5",5,1,5,"76,5",3287,"17920,5"
305044,FÍSICA APLICADA,FÍSICA APLICADA ,253,14,"1,6","22,4","275,4",4213,"26799,6"
305045,"FÍSICA ATÓMICA, MOLECULAR Y NUCLEAR","FÍSICA ATÓMICA, MOLECULAR Y NUCLEAR ",114,"13,5","1,6","21,6","135,6",1017,"6664,8"
305046,FISIOLOGÍA,FISIOLOGÍA ,168,15,"1,8",27,195,4626,"29977,8"
305047,GEODINÁMICA,GEODINÁMICA EXTERNA ,"103,5",10,"1,8",18,"121,5",1492,"10280,9"
305047,GEODINÁMICA,GEODINÁMICA INTERNA ,"106,5","5,5","1,8","9,9","116,4",1074,"8000,6"
305048,ANÁLISIS GEOGRÁFICO REGIONAL Y GEOGRAFÍA FÍSICA,ANÁLISIS GEOGRÁFICO REGIONAL ,192,18,"1,2","21,6","213,6",1863,"11811,2"
305048,ANÁLISIS GEOGRÁFICO REGIONAL Y GEOGRAFÍA FÍSICA,GEOGRAFÍA FÍSICA ,190,5,"1,2",6,196,2038,"12161,2"
305049,GEOGRAFÍA HUMANA,GEOGRAFÍA HUMANA ,231,15,"1,2",18,249,2063,"12491,4"
305050,GEOMETRÍA Y TOPOLOGÍA,GEOMETRÍA Y TOPOLOGÍA ,"158,5","15,5","1,2","18,6","177,1",1960,"12659,3"
305051,HISTORIA DEL ARTE,HISTORIA DEL ARTE ,447,33,"1,2","39,6","486,6",5395,"33356,2"
305052,HISTORIA CONTEMPORÁNEA,HISTORIA CONTEMPORÁNEA ,165,9,1,9,174,2259,13554
