CAPÍTULO,PROGRAMA,422 D,541 A,321 B,TOTALES 
CAPITULO 1º. GASTOS DE PERSONAL,110 Personal eventual,360000,0,0,360000
CAPITULO 1º. GASTOS DE PERSONAL,120 Funcionarios. Retribuciones básicas,54455928,0,22551,54478479
CAPITULO 1º. GASTOS DE PERSONAL,121 Funcionarios. Retribuciones complementarias,82124308,0,27511,82151820
CAPITULO 1º. GASTOS DE PERSONAL,130 Personal laboral. Retribuciones básicas,16129615,0,0,16129615
CAPITULO 1º. GASTOS DE PERSONAL,131 Personal laboral. Otras remuneraciones,40176980,0,0,40176980
CAPITULO 1º. GASTOS DE PERSONAL,134. Personal laboral de sustituciones,4140000,0,0,4140000
CAPITULO 1º. GASTOS DE PERSONAL,143 Personal colaboración social,300000,0,0,300000
CAPITULO 1º. GASTOS DE PERSONAL,145 Retribuciones Asociados (LRU),25220,0,0,25220
CAPITULO 1º. GASTOS DE PERSONAL,146 Retribuciones Asociados Ciencias de la Salud (LRU),563270,0,0,563270
CAPITULO 1º. GASTOS DE PERSONAL,150 Productividad ,24486407,0,8038,24494444
CAPITULO 1º. GASTOS DE PERSONAL,151 Gratificaciones,3000,0,0,3000
CAPITULO 1º. GASTOS DE PERSONAL,160 Cuotas sociales,30484222,0,0,30484222
CAPITULO 1º. GASTOS DE PERSONAL,162.00 Prestaciones. Indemnización por jubilación,3655000,0,0,3655000
CAPITULO 1º. GASTOS DE PERSONAL,"162,01 Formación y Perfeccionamiento del PAS",200000,0,0,200000
CAPITULO 1º. GASTOS DE PERSONAL,162.05 Plan de acción social,869331,0,0,869331
CAPITULO 1º. GASTOS DE PERSONAL,162.05 Plan de Acción Social. Beneficios en precios publicos ,840000,0,0,840000
CAPITULO 1º. GASTOS DE PERSONAL,162.07 Prestaciones. Complemento a la prestación por I.T.,800000,0,0,800000
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,202 Arrendamiento de edificios y otros,20000,2000,250000,272000
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"203 Arrendamiento de maquinaria, instalac.y utillaje",20000,2000,50000,72000
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,204 Arrendamiento de material de transporte,2000,2000,5000,9000
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,205 Arrendamiento de mobiliario y enseres,20000,2000,60000,82000
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,206 Arrendamiento de equipos informáticos,2000,2000,2000,6000
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,208 Arrendamiento de otro inmovilizado material,2000,2000,2000,6000
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"212 Reparación, Mantenimiento y conservación de edificios y otros",400000,100000,1326464,1826464
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"213 Reparación, Mantenimiento y conserv.maquinaria, instalaciones y utillaje",400000,75000,775000,1250000
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"214 Reparación, Mantenimiento y  conserv.material de transporte",2000,2000,20000,24000
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"215 Reparación, Mantenimiento y conserv. mobiliario y enseres",150000,15000,200000,365000
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"216 Reparación, Mantenimiento y conserv. Equipos de información",150000,75000,599490,824490
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,217 Mantenimiento general y optimización energética,0,0,1200000,1200000
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,220 Material de oficina,1600000,110000,2222003,3932003
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,221 Suministros,2565000,125000,6400000,9090000
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,222 Comunicaciones,100000,15000,1100000,1215000
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,223 Transportes,250000,2000,300000,552000
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,224 Primas de seguros,60000,5000,235000,300000
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,225 Tributos,200000,5000,100000,305000
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"226 Gastos diversos(excepto subconcepto 226,01)",2878257,74940,4626829,7580026
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,226.01 Atenciones protocolarias y de representación,300000,10000,250000,560000
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,227 Trabajos realizados por otras empresas,900000,80000,5300000,6280000
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,230 Dietas ,900000,50000,608750,1558750
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,231  Locomoción,800000,50000,600000,1450000
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,234 Asistencias a órganos colegiados ,0,0,0,0
CAPITULO 3º. GASTOS FINANCIEROS,310 Intereses operaciones a corto y largo plazo,0,0,175000,175000
CAPITULO 3º. GASTOS FINANCIEROS,"311 Gastos de emisión, modificación y cancelación",0,0,0,0
CAPITULO 4º. TRANSFERENCIAS CORRIENTES,"480,00  Becas  y ayudas propias a estudiantes",1540000,0,,1540000
CAPITULO 4º. TRANSFERENCIAS CORRIENTES,480.03 A Asociaciones estudiantiles,150000,0,,150000
CAPITULO 4º. TRANSFERENCIAS CORRIENTES,"480,04 Plan Propio de Prácticas en Empresas y Entidades sin fines lucro",1150000,0,,1150000
CAPITULO 4º. TRANSFERENCIAS CORRIENTES,"480,08 Plan Propio de Ayudas Sociales a Estudiantes",190000,0,,190000
