CAPÍTULO,ARTÍCULO,DENOMINACIÓN,IMPORTE
CAPÍTULO 1º .GASTOS DE PERSONAL,Artículo12. Funcionarios,120 Funcionarios. Retribuciones básicas,22551
CAPÍTULO 1º .GASTOS DE PERSONAL,Artículo12. Funcionarios,121 Funcionarios. Retribuciones complementarias,27511
CAPÍTULO 1º .GASTOS DE PERSONAL,Artículo 13. Laborales,130 Personal laboral. Retribuciones básicas,0
CAPÍTULO 1º .GASTOS DE PERSONAL,Artículo 15. Incentivos al rendimiento,150 Productividad ,8038
CAPÍTULO 1º .GASTOS DE PERSONAL,"Artículo 16.Cuotas, prestaciones y gastos sociales empresa",160 Cuotas sociales,0
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 20. Arrendamientos y cánones,202 Arrendtº edificios y otros,250000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 20. Arrendamientos y cánones,"203 Arrendtº maquinaria,instalaciones y utillaje",50000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 20. Arrendamientos y cánones,204 Arrendtº material de transporte,5000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 20. Arrendamientos y cánones,205 Arrendtº mobiliario y enseres,60000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 20. Arrendamientos y cánones,206 Arrendtº equipo de informática,2000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 20. Arrendamientos y cánones,208 Arrendtº otro inmovilizado material,2000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 21. Reparaciones, mantenimiento y conservación",212 Edificios y otras construcciones,1326464
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 21. Reparaciones, mantenimiento y conservación","213 Maquinarias, instalaciones y utillaje",775000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 21. Reparaciones, mantenimiento y conservación",214 Elementosl de transporte,20000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 21. Reparaciones, mantenimiento y conservación",215 Mobiliario y enseres,200000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 21. Reparaciones, mantenimiento y conservación",216 Sistemas para procesos de información,599490
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 21. Reparaciones, mantenimiento y conservación",217 Mantenimiento General y Optimización Energética,1200000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",220 Material de orficina,2222003
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",221 Suministros,6400000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",222 Comunicaciones,1100000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",223 Transportes,300000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",224 Primas de seguros,235000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",225 Tributos,100000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",226 Gastos diversos,4626829
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",226.01 Atenciones protocolarias y de representación,250000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",227 Trabajos realizados por otras empresas,5300000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 23. Indemnizaciones por razón del servicio,230 Dietas,608750
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 23. Indemnizaciones por razón del servicio,231 Locomoción,600000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 23. Indemnizaciones por razón del servicio,234 Asistencias a órganos colegiados,0
CAPÍTULO 3º. GASTOS FINANCIEROS,Artículo 31. De préstamos en moneda nacional,310 Intereses operaciones a corto plazo,175000
CAPÍTULO 3º. GASTOS FINANCIEROS,Artículo 31. De préstamos en moneda nacional,"311 Gastos de emisión, modificación y cancelación",0
CAPÍTULO 4º. TRANSFERENCIAS CORRIENTES,Artículo 48. A Familias e instituciones sin fines de lucro,484 Convenios con otras instituciones,35000
CAPÍTULO 4º. TRANSFERENCIAS CORRIENTES,Artículo 48. A Familias e instituciones sin fines de lucro,"485 A Fundac, y otras instituciones sin fines de lucro",845239
CAPÍTULO 4º. TRANSFERENCIAS CORRIENTES,Artículo 48. A Familias e instituciones sin fines de lucro,485.03 Al Centro mediterráneo ,38495
CAPÍTULO 4º. TRANSFERENCIAS CORRIENTES,Artículo 48. A Familias e instituciones sin fines de lucro,485xx A Universiada 2015,2725000
CAPÍTULO 6º. INVERSIONES REALES,Artículo 60. Inversiones de carácter material,602 Construcciones propias,3450000
CAPÍTULO 6º. INVERSIONES REALES,Artículo 60. Inversiones de carácter material,603 Maquinaria en general,500000
CAPÍTULO 6º. INVERSIONES REALES,Artículo 60. Inversiones de carácter material,603.03 Maquinaria (equipamiento gral.docente),300000
CAPÍTULO 6º. INVERSIONES REALES,Artículo 60. Inversiones de carácter material,603.04 Maquinaria (equipamiento de gestión),100000
CAPÍTULO 6º. INVERSIONES REALES,Artículo 60. Inversiones de carácter material,605 Mobiliario y enseres en general,1476840
CAPÍTULO 6º. INVERSIONES REALES,Artículo 60. Inversiones de carácter material,605.03 Mobiliario y enseres (equip. gral.docente),300000
CAPÍTULO 6º. INVERSIONES REALES,Artículo 60. Inversiones de carácter material,605.04 Mobiliario y enseres (equip.gestión),75000
CAPÍTULO 6º. INVERSIONES REALES,Artículo 60. Inversiones de carácter material,606 Sistemas procesos información. en general,1000000
CAPÍTULO 6º. INVERSIONES REALES,Artículo 60. Inversiones de carácter material,606.01 Sistemas procesos información. CSIRC,240000
CAPÍTULO 6º. INVERSIONES REALES,Artículo 60. Inversiones de carácter material,606.02 Sistemas procesos información. Enseñ. Virtuales,330000
CAPÍTULO 6º. INVERSIONES REALES,Artículo 60. Inversiones de carácter material,606.05 Sistemas procesos información de Gestión,150000
CAPÍTULO 6º. INVERSIONES REALES,Artículo 60. Inversiones de carácter material,"608,00 Inversiones bibliográficas",25000
CAPÍTULO 6º. INVERSIONES REALES,Artículo 62. Plan plurianual inversiones 2006/2010,622 Inversiones Infraestructura y Equip. J Andalucía,7200000
CAPÍTULO 6º. INVERSIONES REALES,Artículo 63. Programas FEDER y Campus de Excelencia,635.01 Actuaciones CEI Fortalecimiento 2011,10249341
CAPÍTULO 6º. INVERSIONES REALES,Artículo 63. Programas FEDER y Campus de Excelencia,635.03 Actuaciones INNPLANTA 2011,0
CAPÍTULO 6º. INVERSIONES REALES,Artículo 66. Inversiones de Reposición,662 Inversiones propias de reposición,8574000
CAPÍTULO 7º TRANSFERENCIAS DE CAPITAL,Artículo 78. A Familias e Instituciones sin fines de lucro,"784,40 Ayudas diversas del Consejo Social",12000
CAPÍTULO 7º TRANSFERENCIAS DE CAPITAL,Artículo 78. A Familias e Instituciones sin fines de lucro,785.09 A otras Instituciones. Parque de las Ciencias,106213
