Capítulo,Concepto,Ceuta,Melilla
Capítulo 1,Docentes Funcionarios,1264515,1824813
Capítulo 1,Docentes Contratados,1840038,2171972
Capítulo 1,P.A.S. Funcionario,255254,681256
Capítulo 1,P.A.S. Laboral,491158,438664
Capítulo 1,Cargos Académicos,54296,82416
Capítulo 1,Cuota Patronal Seguridad Social,680332,938061
Capítulo 1,Estimación Reducción Ley 3/2012 Junta Andalucía ,0,0
Capítulo 2,Campus edif. Teniente Ruiz Ceuta (Estructurales),136458,0
Capítulo 2,Facultad de Educación y Humanidades de Melilla( Estructurales),0,186893
Capítulo 2,Fac. Ciencias Sociales Melilla) (Estructurales),0,184820
Capítulo 2,Facultad de Ciencias de la Salud Melilla) (Estructurales),0,7250
Capítulo 2,Facultad de Educación y Humanidades (Créd. Distribuibles),55719,29940
Capítulo 2,Fac. Ciencias Sociales (Créditos distribuibles),0,23071
Capítulo 2,Facultad de Ciencias de la Salud (Créditos distribuibles),28026,18156
Capítulo 2,Dietas Reuniones Departamentales,109062,153738
Capítulo 6,Actuaciones Campus,0,0
