Capítulo,Denominación,Artículo,Importes
3,"Tasas, precios públicos y otros ingresos",30 Tasas,2000000
3,"Tasas, precios públicos y otros ingresos",31 Precios públicos,44840000
3,"Tasas, precios públicos y otros ingresos",32 Ingresos por prestación de servicios,8225000
3,"Tasas, precios públicos y otros ingresos",33 Venta de bienes,250000
3,"Tasas, precios públicos y otros ingresos",39 Ingresos diversos,175000
4,Transferencias corrientes,40 De la Administración General del Estado,10817000
4,Transferencias corrientes,41 De Organismos autónomos administrativos,110000
4,Transferencias corrientes,42 De la Seguridad Social,2000000
4,Transferencias corrientes,45 De Comunidades Autónomas,168503092
4,Transferencias corrientes,46 De Corporaciones Locales,90000
4,Transferencias corrientes,47 De empresas privadas,1575000
4,Transferencias corrientes,49 Del exterior,4000000
5,Ingresos patrimoniales,52 Intereses de depósitos,500000
5,Ingresos patrimoniales,54 Rentas de bienes inmuebles,600000
5,Ingresos patrimoniales,55 Producto de concesiones y aprov.especiales,400000
5,Ingresos patrimoniales,59 Otros ingresos patrimoniales ,6000
7,Transferencias de capital,70 De la Administración General del Estado,17095000
7,Transferencias de capital,71 De Organismos autónomos administrativos,693000
7,Transferencias de capital,74 De empresas públicas y otros entes públicos,400000
7,Transferencias de capital,75 De Comunidades Autónomas,132152602
7,Transferencias de capital,76 De Corporaciones Locales,30000
7,Transferencias de capital,77 De empresas privadas,950000
7,Transferencias de capital,78 De familias e instituciones sin fines de lucro,200000
7,Transferencias de capital,79 Del exterior,4000000
8,Activos financieros,82 Reintegro de préstamos concedidos,650000
