DescripciÛn,Nombre,Importe (euros) 
AL EXTERIOR PROGRAMAS EUROPEOS A LA FOUNDATION FOR SOCIAL,TERCEROS COMUNITARIOS,6726
APORTACION ANUAL COMO SOCIO INSTITUCIONAL EN EL  CENTRO UNESCO DE ANDALUCIA,CENTRO UNESCO DE ANDALUCIA,600
ASOCIACION INTELLECT FOUNDATION CUYOS DATOS SE ADJUN,TERCEROS COMUNITARIOS,"11789,48"
"ASOCIACION STUDI PROFECTUS LTD, BULGARIA PROGRAMA EU",TERCEROS COMUNITARIOS,15070
"COORDINACI”N DEL PROYECTO ""CREACI”N DE UN CENTRO DE APOYO A LA COOPERACI”N INTER-UNIVERSITARIA (CACI) EN LOM…-TOGO.",MONEDA EXTRANJERA,1200
CUOTA ANUAL A LA UNIMED POR PARTE DE LA UNIVERSIDAD DE GRANAD,UNIONE DELLE UNIVERSITA DEL MEDITERRANEO,3000
CUOTA ANUAL AL GRUPO TORDESILLAS. ASOCIACION INTERNACIONAL DE,GRUPO TORDESILLAS,1000
CUOTA ANUAL ASSOCIATION OF INTERNATIONAL EDUCATION ADMINISTRATORS,MONEDA EXTRANJERA,"298,86"
CUOTA ANUAL CORRESPONDIENTE A ESTA ASOCIACION D,ASOCIACION UNIVERSITARIA IBEROAMERICANA DE POSTGRADO,1500
"CUOTA ASOCIACION ""ACADEMIC COOPERATION ASSOCIATION""",ACADEMIC COOPERATION ASSOCIATION,120
"CUOTA ASOCIACION EUROPEA DE FACULTADES DE FARMACIA, A—O 2013",TERCEROS COMUNITARIOS,1000
CUOTA ASOCIACION HISPANICA DE COLEGIOS Y UNIVERSIDADES (HACU).,MONEDA EXTRANJERA,"1606,2"
CUOTA ASOCIACI”N INTERNACIONAL DE EDUCADORES (NAFSA). USA.,MONEDA EXTRANJERA,"736,86"
CUOTA ASSOCIATION FOR DENTAL EDUCATION IN EUROPE,ASSOCIATION FOR DENTAL EDUCATION IN EUROPE,575
CUOTA ASSOCIATION TALASSEMTANE POUR L' ENVIRONNEMENT E LE DEVELOPPEMENT (ATED),MONEDA EXTRANJERA,4000
CUOTA CORRESPONDIENTE AL A—O 2014 AL COIMBRA GROUP. DEL QUE L,COIMBRA GROUP,9703
CUOTA MIEMBRO ELIA (EUROPEAN LEAGUE OF INSTITUTES OF THE ARTS),TERCEROS COMUNITARIOS,1655
"ENTIDAD ACROSSLIMITS LIMITED, SOCIA DE LA UNIVERSIDA",ACROSSLIMITS LIMITED,16962
"Envio al Lab. de Parasitologia y Micologia de la Univ. Hassan II,",MONEDA EXTRANJERA,5625
FACTURA EMITIDA POR LA ASOCIACION COMUNIDAD DE UNIVERSIDADES,COMMUNITY OF MEDITERRANEAN UNIVERSITIES,"446,43"
FCE Cuota socio institucional 2014 HERMES,TERCEROS COMUNITARIOS,500
FCE Cuota socio institucional EMBS,TERCEROS COMUNITARIOS,500
GASTOS ORIGINADOS POR LA CELEBRACION DE LA REUNION DEL COMITE CONSULTIVO DE SELECCION DE,UNIVERSITE DE POITIERS,"2787,31"
INSCRIPCION ANUAL A LA ASOCIACION EAIE. ,EUROPEAN ASSOCIATION FOR INTERNATIONAL EDUCATION,820
"INSTITUTO FENIX DE BRASIL PARA EL PROYECTO ""POTENCIACION DEL CENTRO INTERCULTURAL DE FORMACION INDIGENA PARA EL DESARROLLO AMBIENTAL Y CULTURAL SOSTENIBLE""",MONEDA EXTRANJERA,"4258,05"
LFK Associates LTD (Reino Unido) miembro del consorcio del proyecto,TERCEROS COMUNITARIOS,"12374,16"
MATERIAL PROGRAMA EUROPEO TEMPUS EVARECH PARA LA UNIVERSIDAD IBN ZOHR DE AGADIR.,MONEDA EXTRANJERA,"3736,56"
MATERIAL TECNICO-CIENT√çFICO PARA LA UNIVERSIDAD DE OUJDA (MARRUECOS). CONVENIO ESPEC√çFICO ENTRE LA UGR- Y LA CONSEJERIA DE PRESIDENCIA DE LA JUNTA.,"PRODEL, S.A.",8100
MEMBERSHIP FEES DUE DE LA ASOCIACION EUROPEA DE UNIVERSIDADES. FACTU,TERCEROS COMUNITARIOS,4210
MEMBERSHIP FEES DUE FOR 2014-2015 PARA LA INTERNATIONAL UNIVERSITIES,TERCEROS COMUNITARIOS,2600
PAGO A LA UNIVERSIDAD TECNOLOGICA DEL SALVADOR. PROYECTO DE JESUS LOPEZ MEGIAS-CICODE,MONEDA EXTRANJERA,"3296,89"
PROYECTO EUROPEO ADOLL,MARATHON GROUP KNOWLEDGE SOLUTIONS LTD,27990
"SE SOLICITA TRANSFERENCIA A LA UNIVERSIDAD DE LJUBLJANA, PROYECTO EUROPEO LEONARDO STREN",UNIVERSITY OF LJUBLJANA,"15972,48"
"SOFIA UNIVERSITY  ST. KLIMENT, CANTIDAD CORRESPONDIE",SOFIA UNIVERSITY,"9945,58"
SUSCRIPCI”N PARA EL A—O 2014 A EUCEN (European University Continuing,EUROPEAN UNIVERSITIES CONTINUING EDUCATION NETWORK,600
"TRABAJOS DE COORDINACI”N DEL PROYECTO CACI, EN LOM…-TOGO",MONEDA EXTRANJERA,"1999,99"
TRANSFERENCIA A LA UNIVERSIDAD ALEXANDRU IOAN CUZA. MIEMBRO DEL CONSORC,UNIVERSITATEA ALI CUZA,3565
"TRANSFERENCIA A LA UNIVERSIDAD DE BOLONIA, MIEMBRO DEL CONSORCIO DE LA",UNIVERSIDAD DE BOLONIA,3685
"TRANSFERENCIA A LA UNIVERSIDAD DE COIMBRA, MIEMBRO DEL CONSORCIO DE LA",UNIVERSIDADE DE COIMBRA,3780
"TRANSFERENCIA A LA UNIVERSIDAD DE GRAZ, MIEMBRO DEL CONSORCIO DE LA UNI",UNIVERSIDAD DE GRAZ,6910
"TRANSFERENCIA A LA UNIVERSIDAD DE POITIERS, FRANCIA. MIEMBRO DEL CONSOR",UNIVERSITE DE POITIERS,3715
"UNIVERSAL LEARNING SYSTEMS, SOCIA DE LA UNI",UNIVERSAL LEARNING SYSTEMS LTD,18784
"UNIVERSIDAD HASSAN 1¬∫ EN SETTAT, PROYECTO AL-IDRISI II. ",MONEDA EXTRANJERA,8370
Universidad Hassan Mohammedia Casablanca UH2M - marco del proyecto Tempus Evarech ,MONEDA EXTRANJERA,"3569,8"
"UNIVERSIDAD MAYOR DE SAN SIM”N (BOLIVIA) PROYECTO ""PROMOCI”N DE SALUD DE CONSUMIDORES DE AGUA DE MESA Y HIELO EN COCHABAMBA-BOLIVIA MEDIANTE UN PROGRAMA DE CONTROL DE CALIDAD F√çSICO-QU√çMICA",MONEDA EXTRANJERA,6333
"UNIVERSIDAD NACIONAL DE ASUNCION, PROGRAMA EUROPEO ERASMUS MUNDUS MONESIA.",MONEDA EXTRANJERA,3000
