Subprogramas,Nombre,Actuaciones,Crédito,Financiación Específica: Externa,Financiación Específica: Rec.Propios
321B.1,Consejo Social,Consejo Social ,107193,107193,0
321B.2,"Cultura, Cooperación y Extensión Universitaria",Gestión Vicerrect.Extensión Univ.y Cooperac. Desarrollo,20000,0,0
321B.2,"Cultura, Cooperación y Extensión Universitaria",Extensión Universitaria,480000,0,75000
321B.2,"Cultura, Cooperación y Extensión Universitaria",Centro de Iniciativas de Cooperación al Desarrollo,281000,0,0
321B.2,"Cultura, Cooperación y Extensión Universitaria",Editorial Universidad de Granada,362500,0,250000
321B.2,"Cultura, Cooperación y Extensión Universitaria",Centro de Actividades Deportivas,1161500,0,860000
321B.2,"Cultura, Cooperación y Extensión Universitaria",Patrimonio Cultural Mueble,20000,0,0
321B.2,"Cultura, Cooperación y Extensión Universitaria",Orquesta de Cámara,60000,0,0
321B.2,"Cultura, Cooperación y Extensión Universitaria",Comisión Mixta Universidad-MADOC,35000,0,0
321B.2,"Cultura, Cooperación y Extensión Universitaria",A Fundaciones y otras Instituciones,948452,0,0
321B.2,"Cultura, Cooperación y Extensión Universitaria",A Universiada 2015,2725000,1300000,1425000
321B.2,"Cultura, Cooperación y Extensión Universitaria",Centro Mediterráneo,168495,0,130000
321B.3,Infraestructuras y Equipamiento,Gestión Vicerrectorado de Infraestructuras y Campus,20000,0,0
321B.3,Infraestructuras y Equipamiento,Plan Director de Infraestructuras,12024000,0,0
321B.3,Infraestructuras y Equipamiento,Mantenimiento General y Optimización Energética,1200000,0,0
321B.3,Infraestructuras y Equipamiento,Equipamiento General Docente,600000,0,0
321B.3,Infraestructuras y Equipamiento,Equipamiento de Gestión,325000,0,0
321B.3,Infraestructuras y Equipamiento,Inversiones Infraestructura y Equipamiento Junta Andalucía,7200000,7200000,0
321B.3,Infraestructuras y Equipamiento,Actuaciones Campus Excelencia,10249341.1250,10249341.1250,0
321B.3,Infraestructuras y Equipamiento,Actuaciones INNPLANTA 2011,0,0,0
321B.3,Infraestructuras y Equipamiento,Mantenimiento Centros,2415450,0,0
321B.4,"Calidad Ambiental, Bienestar y Prevención",Gestión Delegación Calidad Ambiental y Bienestar,20000,0,0
321B.4,"Calidad Ambiental, Bienestar y Prevención",Prevención de Riesgos y Calidad Ambiental,40000,0,0
321B.4,"Calidad Ambiental, Bienestar y Prevención",Actuaciones de Cooperación al Desarrollo Local,10000,0,0
321B.4,"Calidad Ambiental, Bienestar y Prevención",Comedores Universitarios,1500000,0,1500000
321B.4,"Calidad Ambiental, Bienestar y Prevención",C.M. Isabel la Católica y Residencias Universitarias,371000,0,200000
321B.4,"Calidad Ambiental, Bienestar y Prevención",Gabinete Acción Social,12000,0,0
321B.4,"Calidad Ambiental, Bienestar y Prevención",Actuaciones en prevención de riesgos laborales,320000,0,0
321B.4,"Calidad Ambiental, Bienestar y Prevención",Calidad de Vida y Envejecimiento,12000,0,0
321B.6,Secretaría General y de Coordinación,Secretaría General y de Coordinación,20000,0,0
321B.6,Secretaría General y de Coordinación,"Documentación, Difusión y Comunicaciones",15000,0,0
321B.6,Secretaría General y de Coordinación,Defensor Universitario,5000,0,0
321B.6,Secretaría General y de Coordinación,Inspección de Servicios,5000,0,0
321B.6,Secretaría General y de Coordinación,Unidad de Igualdad,17000,0,0
321B.6,Secretaría General y de Coordinación,Oficina de Control Interno,5000,0,0
321B.7,Recursos Informáticos,Gestión Delegación para las TIC,20000,0,0
321B.7,Recursos Informáticos,Centro de Servicios Informáticos y R.C.,364000,0,0
321B.7,Recursos Informáticos,Mantenimiento Hardware,400000,0,0
321B.7,Recursos Informáticos,Mantenimiento Software,240000,0,0
321B.7,Recursos Informáticos,Actuaciones Tarjeta Universitaria,100000,0,100000
321B.7,Recursos Informáticos,Ofic.Software Libre Udigital,25000,0,0
321B.7,Recursos Informáticos,OfiWeb Udigital,30000,0,0
321B.7,Recursos Informáticos,CEVug Udigital,125000,0,0
321B.7,Recursos Informáticos,Canal Tv UGR,150000,0,0
321B.8,Gastos Generales y de Gestión,Gastos Estructurales,16000000,0,0
321B.8,Gastos Generales y de Gestión,Seguros de Patrimonio y Responsabilidad Civil,300000,0,0
321B.8,Gastos Generales y de Gestión,Amortización de préstamos,2255000,0,0
321B.8,Gastos Generales y de Gestión,Gastos Finacieros,175000,0,0
321B.8,Gastos Generales y de Gestión,Dietas y locomoción,650000,0,0
321B.8,Gastos Generales y de Gestión,"Suministros, equipos de oficina y otros gastos",2808832.8,0,775000
321B.9,Coordinación Ceuta y Melilla,Delegación para el Campus de Melilla,20000,0,0
321B.9,Coordinación Ceuta y Melilla,Coordinación Melilla,20000,0,0
321B.9,Coordinación Ceuta y Melilla,Coordinación Ceuta,15000,0,0
