Subprogramas,Nombre,Actuaciones,Crédito,Financiación Específica: Externa,Financiación Específica: Rec.Propios
422D.1,Personal Docente e Investigador,Retribuciones básicas y complementarias,99267412.68888,0,0
422D.1,Personal Docente e Investigador,Tramos Docentes,17092237.82,0,0
422D.1,Personal Docente e Investigador,Tramos Investigación,7801843.32,0,0
422D.1,Personal Docente e Investigador,Tramos Autonómicos,10216620.48,0,0
422D.1,Personal Docente e Investigador,Cargos Académicos,2874761.68,0,0
422D.1,Personal Docente e Investigador,Plazas vinculadas,2000000,2000000,0
422D.1,Personal Docente e Investigador,Otras retrib.complementarias,11861997.3484,0,0
422D.1,Personal Docente e Investigador,Previsión Actuaciones,1500000,0,0
422D.1,Personal Docente e Investigador,Cuota Patronal Seguridad Social,9526792.0180988,0,0
422D.2,Personal de Administración y Servicios,Retribuciones básicas y complementarias,57558019.72,50062.22,0
422D.2,Personal de Administración y Servicios,Complemento de Productividad,6152942.74,8037.6,0
422D.2,Personal de Administración y Servicios,Otras retrib.complementarias,380307.1680,0,0
422D.2,Personal de Administración y Servicios,Cargos Académicos,93585.1,0,0
422D.2,Personal de Administración y Servicios,Formación y movilidad,200000,0,0
422D.2,Personal de Administración y Servicios,Vestuario PAS Laboral,503115.48036,0,0
422D.2,Personal de Administración y Servicios,Previsión actuaciones,850000,0,0
422D.2,Personal de Administración y Servicios,Cuota Patronal Seguridad Social,20957430.109408,0,0
422D.2,Personal de Administración y Servicios,Personal Colaboración Social y Sustituciones,4800000,0,0
422D.3,Acción Social,Plan de Acción Social,869331,0,0
422D.3,Acción Social,Compensac. precios matrícula,840000,0,840000
422D.3,Acción Social,Premio Jubilación,3655000,0,0
422D.3,Acción Social,Prestación I.T.,800000,0,0
422D.3,Acción Social,Préstamos al Personal,650000,0,0
422D.4,Docencia de Grado,Gestión Vicerrect. Ordenación Académica y Profesorado,20000,0,0
422D.4,Docencia de Grado,Actividad Académica Centros ,502068,0,0
422D.4,Docencia de Grado,Departamentos,3852762,0,0
422D.4,Docencia de Grado,Contratos Programa (Centros y Deptos.),1124061.93,0,0
422D.4,Docencia de Grado,Enseñanzas Prácticas,2130000,0,0
422D.4,Docencia de Grado,Innovación Docente,200000,51952.25,0
422D.4,Docencia de Grado,Adaptación EEES,60000,32157,0
422D.5,Docencia de Posgrado,Gestión Vicerrect. de Enseñanzas de Grado y Posgrado,20000,0,0
422D.5,Docencia de Posgrado,Másteres Universitarios,1080000,0,0
422D.5,Docencia de Posgrado,Escuelas de Doctorado,90000,0,0
422D.5,Docencia de Posgrado,Escuela Internacional de Posgrado,1840250,480250,1275000
422D.5,Docencia de Posgrado,Aula Permanente de Formación Abierta,155000,0,125000
422D.5,Docencia de Posgrado,Otros cursos,250000,0,250000
422D.6,Estudiantes,Gestión Vicerrectorado de Estudiantes,20000,0,0
422D.6,Estudiantes,Actuaciones Vicerrectorado,380000,0,0
422D.6,Estudiantes,Plan Propio Becas y Ayudas,1540000,0,0
422D.6,Estudiantes,Plan Propio de Ayudas Sociales a Estudiantes,190000,0,0
422D.6,Estudiantes,Plan Propio para Promoción del Autoempleo,250000,200000,0
422D.6,Estudiantes,Plan Propio de Prácticas en Empresas e Instituciones,1150000,900000,250000
422D.6,Estudiantes,Actuaciones Fomento de Empleo,400000,200000,0
422D.6,Estudiantes,Acceso a Universidad,325000,0,0
422D.6,Estudiantes,Asociaciones y Delegación General de Estudiantes,150000,0,0
422D.6,Estudiantes,Otros Planes de Apoyo Junta de Andalucía,1511856,1511856,0
422D.7,Relaciones Internacionales,Gestión Vicerrectorado de Relaciones Internacionales,20000,0,0
422D.7,Relaciones Internacionales,Plan Propio de Internacionalización,715000,0,0
422D.7,Relaciones Internacionales,Oficina de Relaciones Internacionales,104000,0,0
422D.7,Relaciones Internacionales,Programas Europeos de movilidad,10900000,10800000,0
422D.7,Relaciones Internacionales,Programas de Proyección Internac. y Promoción Lingüística,70000,0,0
422D.7,Relaciones Internacionales,Cuotas a Organismos Internacionales,30000,0,0
422D.8,Evaluación de la Calidad,Gestión Vicerrectorado para la Garantía de la Calidad,20000,0,0
422D.8,Evaluación de la Calidad,Evaluación de la Calidad y Formación,320000,34638.7916,0
