A DEDUCIR (Conceptos autofinanciados),2015
Venta e intercambio de Publicaciones. Editorial,250000
Comedor Universitario,1500000
Alojamiento Residencias Universitarias,200000
Concesiones administrativas,400000
Cesión de espacios,100000
Ingresos diversos,275000
Cursos de Extensión Universitaria,75000
Cursos propios Escuela de Posgrado,1755250
Centro de Actividades Deportivas,860000
Precios públicos Centro Instrumentación Científica,250000
Precios públicos Centro Mediterráneo,100000
Otros precios públicos,250000
Centro Mediterráneo,30000
Aula Permanente de Formación Abierta,125000
