Código,Departamento,Área,Cr. ECTS,Coef. Exp.,Cred. Tot.,Matrículas,Cred. Pon.
305001,ÁLGEBRA,ÁLGEBRA,"156,00 ","1,20 ","187,20 ","2.094,00 ","15.076,80"
305002,ANÁLISIS MATEMÁTICO,ANÁLISIS MATEMÁTICO,"192,00 ","1,20 ","230,40 ","3.243,00 ","23.349,60"
305003,ANATOMÍA PATOLÓGICA E HISTORIA DE LA CIENCIA,ANATOMÍA PATOLÓGICA ,"35,50 ","2,00 ","71,00 ","1.017,00 ","15.346,00"
,ANATOMÍA PATOLÓGICA E HISTORIA DE LA CIENCIA,HISTORIA DE LA CIENCIA ,"30,00 ","1,00 ","30,00 ","533,00 ","3.198,00"
305005,BIOLOGÍA CELULAR ,BIOLOGÍA CELULAR ,"78,00 ","1,80 ","140,40 ","1.846,00 ","19.936,80"
305008,ANATOMÍA Y EMBRIOLOGÍA HUMANA,ANATOMÍA Y EMBRIOLOGÍA HUMANA,"101,00 ","2,00 ","202,00 ","2.548,00 ","33.076,00"
305009,CIRUGÍA Y SUS ESPECIALIDADES,CIRUGÍA ,"107,00 ","2,00 ","214,00 ","2.427,00 ","39.422,00"
,CIRUGÍA Y SUS ESPECIALIDADES,OFTALMOLOGÍA ,"18,00 ","2,00 ","36,00 ","442,00 ","5.304,00"
,CIRUGÍA Y SUS ESPECIALIDADES,OTORRINOLARINGOLOGÍA ,"24,00 ","2,00 ","48,00 ","473,00 ","5.676,00"
,CIRUGÍA Y SUS ESPECIALIDADES,UROLOGÍA ,"14,00 ","2,00 ","28,00 ","337,00 ","5.184,00"
,CIRUGÍA Y SUS ESPECIALIDADES,TRAUMATOLOGÍA Y ORTOPEDIA ,"25,00 ","2,00 ","50,00 ","438,00 ","5.786,00"
305010,CONSTRUCCIONES ARQUITECTÓNICAS,COMPOSICIÓN ARQUITECTÓNICA,"42,00 ","1,60 ","67,20 ","948,00 ","9.100,80"
,CONSTRUCCIONES ARQUITECTÓNICAS,CONSTRUCCIONES ARQUITECTÓNICAS,"222,00 ","1,60 ","355,20 ","7.064,00 ","69.614,40"
305011,DERECHO ADMINISTRATIVO,DERECHO ADMINISTRATIVO ,"250,00 ","1,00 ","250,00 ","5.767,00 ","34.570,50"
305012,DERECHO CIVIL,DERECHO CIVIL ,"161,00 ","1,00 ","161,00 ","5.549,00 ","34.017,50"
305013,DERECHO CONSTITUCIONAL,DERECHO CONSTITUCIONAL ,"174,00 ","1,00 ","174,00 ","6.344,00 ","37.043,00"
305014,DERECHO PROCESAL Y ECLESIÁSTICO,DERECHO ECLESIÁSTICO DEL ESTADO ,"27,00 ","1,00 ","27,00 ","1.069,00 ","6.177,00"
,DERECHO PROCESAL Y ECLESIÁSTICO,DERECHO PROCESAL ,"88,00 ","1,00 ","88,00 ","3.118,00 ","18.754,00"
305015,DERECHO FINANCIERO Y TRIBUTARIO,DERECHO FINANCIERO Y TRIBUTARIO ,"189,00 ","1,00 ","189,00 ","3.696,00 ","24.396,50"
305016,DERECHO INTERNACIONAL PRIVADO E HISTORIA DEL DERECHO,DERECHO INTERNACIONAL PRIVADO ,"58,00 ","1,00 ","58,00 ","1.274,00 ","9.302,00"
,DERECHO INTERNACIONAL PRIVADO E HISTORIA DEL DERECHO,HISTORIA DEL DERECHO Y DE LAS INSTITUCIONES ,"34,00 ","1,00 ","34,00 ","1.112,00 ","6.666,00"
305017,DERECHO MERCANTIL Y DERECHO ROMANO,DERECHO MERCANTIL ,"131,00 ","1,00 ","131,00 ","4.023,00 ","25.859,00"
,DERECHO MERCANTIL Y DERECHO ROMANO,DERECHO ROMANO ,"24,00 ","1,00 ","24,00 ","943,00 ","5.658,00"
305018,DIBUJO,DIBUJO ,"198,00 ","1,40 ","277,20 ","3.244,00 ","27.749,40"
305019,DIDÁCTICA DE LAS CIENCIAS EXPERIMENTALES,DIDÁCTICA DE LAS CIENCIAS EXPERIMENTALES ,"274,00 ","1,40 ","383,60 ","4.047,00 ","69.013,00"
305020,DIDÁCTICA DE LAS CIENCIAS SOCIALES,DIDÁCTICA DE LAS CIENCIAS SOCIALES ,"398,00 ","1,20 ","477,60 ","4.358,00 ","63.386,40"
305021,"DIDÁCTICA DE LA EXPRESIÓN MUSICAL, PLÁSTICA Y CORPORAL",DIDÁCTICA DE LA EXPRESIÓN CORPORAL ,"408,00 ","1,40 ","571,20 ","3.921,00 ","58.539,60"
,"DIDÁCTICA DE LA EXPRESIÓN MUSICAL, PLÁSTICA Y CORPORAL",DIDÁCTICA DE LA EXPRESIÓN MUSICAL ,"420,00 ","1,40 ","588,00 ","3.139,00 ","51.466,80"
,"DIDÁCTICA DE LA EXPRESIÓN MUSICAL, PLÁSTICA Y CORPORAL",DIDÁCTICA DE LA EXPRESIÓN PLÁSTICA ,"233,00 ","1,40 ","326,20 ","3.361,00 ","62.531,00"
305022,DIDÁCTICA DE LA LENGUA Y LA LITERATURA,DIDÁCTICA DE LA LENGUA Y LA LITERATURA ,"824,00 ","1,00 ","824,00 ","7.984,00 ","77.822,00"
305023,DIDÁCTICA DE LA MATEMÁTICA,DIDÁCTICA DE LA MATEMÁTICA ,"355,00 ","1,20 ","426,00 ","4.965,00 ","70.947,60"
305024,DIDÁCTICA Y ORGANIZACIÓN ESCOLAR,DIDÁCTICA Y ORGANIZACIÓN ESCOLAR ,"944,00 ","1,20 ","1.132,80 ","12.536,00 ","132.369,60"
305025,ECONOMÍA APLICADA,ECONOMÍA APLICADA ,"339,00 ","1,00 ","339,00 ","7.519,00 ","45.927,00"
305026,ECONOMÍA FINANCIERA Y CONTABILIDAD,ECONOMÍA FINANCIERA Y CONTABILIDAD ,"690,00 ","1,00 ","690,00 ","11.578,00 ","70.032,00"
305027,EDAFOLOGÍA Y QUÍMICA AGRÍCOLA,EDAFOLOGÍA Y QUÍMICA AGRÍCOLA ,"72,00 ","1,80 ","129,60 ","1.397,00 ","15.087,60"
305030,ESTADÍSTICA E INVESTIGACIÓN OPERATIVA,ESTADÍSTICA E INVESTIGACIÓN OPERATIVA ,"669,00 ","1,20 ","802,80 ","8.468,00 ","61.257,60"
305031,ESTRATÍGRAFÍA Y PALEONTOLOGÍA,ESTRATIGRAFÍA ,"78,00 ","1,80 ","140,40 ","905,00 ","10.465,20"
,ESTRATÍGRAFÍA Y PALEONTOLOGÍA,PALEONTOLOGÍA ,"81,00 ","1,40 ","113,40 ","1.213,00 ","11.054,40"
305032,ESTUDIOS SEMÍTICOS,ESTUDIOS ÁRABES E ISLÁMICOS ,"522,00 ","1,00 ","522,00 ","1.484,00 ","9.300,00"
,ESTUDIOS SEMÍTICOS,ESTUDIOS HEBREOS Y ARAMEOS ,"240,00 ","1,00 ","240,00 ","152,00 ","912,00"
305033,EXPRESION GRÁFICA ARQUITECTÓNICA Y EN LA INGENIERÍA,EXPRESIÓN GRÁFICA ARQUITECTÓNICA ,"138,00 ","1,60 ","220,80 ","4.076,00 ","41.865,60"
,EXPRESION GRÁFICA ARQUITECTÓNICA Y EN LA INGENIERÍA,EXPRESIÓN GRÁFICA EN LA INGENIERÍA ,"42,00 ","1,60 ","67,20 ","972,00 ","9.331,20"
,EXPRESION GRÁFICA ARQUITECTÓNICA Y EN LA INGENIERÍA,"INGENIERÍA CARTOGRÁFICA, GEODÉSICA Y FOTOGRAMETRÍ ","12,00 ","1,60 ","19,20 ","308,00 ","2.956,80"
,EXPRESION GRÁFICA ARQUITECTÓNICA Y EN LA INGENIERÍA,PROYECTOS ARQUITECTÓNICOS ,"84,00 ","1,60 ","134,40 ","1.546,00 ","16.958,40"
305034,FARMACIA Y TECNOLOGÍA FARMACÉUTICA,FARMACIA Y TECNOLOGÍA FARMACÉUTICA ,"48,00 ","1,80 ","86,40 ","2.400,00 ","25.920,00"
,FARMACIA Y TECNOLOGÍA FARMACÉUTICA,"HISTORIA DE LA FARMACIA, LEGISLACIÓN Y GESTIÓN FARM ","36,00 ","1,20 ","43,20 ","605,00 ","6.213,60"
305035,FARMACOLOGÍA,FARMACOLOGÍA ,"121,50 ","1,80 ","218,70 ","3.953,00 ","41.142,60"
305036,LENGUA ESPAÑOLA,LENGUA ESPAÑOLA,"222,00 ","1,00 ","222,00 ","3.359,00 ","20.154,00"
305037,FILOLOGÍA FRANCESA,FILOLOGÍA FRANCESA,"570,00 ","1,00 ","570,00 ","2.731,00 ","17.274,00"
305038,FILOLOGÍA GRIEGA,FILOLOGÍA ESLAVA,"612,00 ","1,00 ","612,00 ","881,00 ","5.514,00"
,FILOLOGÍA GRIEGA,FILOLOGÍA GRIEGA,"372,00 ","1,00 ","372,00 ","975,00 ","5.976,00"
305039,FILOLOGÍA INGLESA,FILOLOGÍA ALEMANA,"336,00 ","1,00 ","336,00 ","1.391,00 ","9.048,00"
,FILOLOGÍA INGLESA,FILOLOGÍA INGLESA,"714,00 ","1,00 ","714,00 ","8.098,00 ","49.944,00"
305040,FILOLOGÍA LATINA,FILOLOGÍA LATINA,"180,00 ","1,00 ","180,00 ","964,00 ","5.784,00"
305041,"FILOLOGÍAS ROMÁNICA, ITALIANA, GALLEGO-PORTUGUESA Y CATALANA",FILOLOGÍA CATALANA,"156,00 ","1,00 ","156,00 ","115,00 ","690,00"
,"FILOLOGÍAS ROMÁNICA, ITALIANA, GALLEGO-PORTUGUESA Y CATALANA",FILOLOGÍA ITALIANA,"384,00 ","1,00 ","384,00 ","1.042,00 ","6.522,00"
,"FILOLOGÍAS ROMÁNICA, ITALIANA, GALLEGO-PORTUGUESA Y CATALANA",FILOLOGÍA ROMÁNICA,"60,00 ","1,00 ","60,00 ","147,00 ","882,00"
,"FILOLOGÍAS ROMÁNICA, ITALIANA, GALLEGO-PORTUGUESA Y CATALANA",FILOLOGÍAS GALLEGA Y PORTUGUESA,"252,00 ","1,00 ","252,00 ","312,00 ","2.124,00"
305042,FILOSOFÍA I,ESTÉTICA Y TEORÍA DE LAS ARTES ,"48,00 ","1,20 ","57,60 ","714,00 ","5.140,80"
,FILOSOFÍA I,FILOSOFÍA MORAL ,"66,00 ","1,00 ","66,00 ","543,00 ","3.258,00"
,FILOSOFÍA I,LÓGICA Y FILOSOFÍA DE LA CIENCIA ,"96,00 ","1,00 ","96,00 ","1.099,00 ","6.594,00"
305043,"FILOSOFÍA DEL DERECHO, MORAL Y POLÍTICA",FILOSOFÍA DEL DERECHO ,"78,00 ","1,00 ","78,00 ","2.734,00 ","15.309,00"
305044,FÍSICA APLICADA,FÍSICA APLICADA ,"246,00 ","1,60 ","393,60 ","4.118,00 ","41.337,60"
305045,"FÍSICA ATÓMICA, MOLECULAR Y NUCLEAR","FÍSICA ATÓMICA, MOLECULAR Y NUCLEAR ","90,00 ","1,60 ","144,00 ","988,00 ","10.224,00"
305046,FISIOLOGÍA,FISIOLOGÍA ,"159,00 ","1,80 ","286,20 ","4.320,00 ","46.386,00"
305047,GEODINÁMICA,GEODINÁMICA EXTERNA ,"99,00 ","1,80 ","178,20 ","1.575,00 ","19.110,60"
,GEODINÁMICA,GEODINÁMICA INTERNA ,"96,00 ","1,80 ","172,80 ","971,00 ","12.997,80"
