Código,Departamento ,Val. Puntos Profesorado ,Val. Cred. Matrícula,Asignación Ej. 2015,Asignación Ej. 2014,% 15-14 ,% Adap. ,Adaptac. ,Distribución Baremo ,Dietas Asist. ,Distribución 2015
305001,ÁLGEBRA ,"7.254,00 ","6.633,79 ","18.237,79 ","19.549,72 ","-6,71 ","-5,00 ","-977,49 ","18.572,23 ","2.628,00 ","21.200,23"
305002,ANÁLISIS MATEMÁTICO ,"10.788,00 ","10.273,82 ","25.411,82 ","23.740,78 ","7,04 ","7,04 ","0,00 ","25.411,82 ","0,00 ","25.411,82"
305003,ANATOMÍA PATOLÓGICA E HISTORIA DE LA CIENCIA ,"6.789,00 ","8.159,36 ","19.298,36 ","15.194,31 ","27,01 ","10,00 ","1.519,43 ","16.713,74 ","0,00 ","16.713,74"
305005,BIOLOGÍA CELULAR ,"5.208,00 ","8.772,19 ","18.330,19 ","16.012,47 ","14,47 ","10,00 ","1.601,25 ","17.613,72 ","0,00 ","17.613,72"
305008,ANATOMÍA Y EMBRIOLOGÍA HUMANA ,"6.510,00 ","14.553,44 ","25.413,44 ","21.798,88 ","16,58 ","10,00 ","2.179,89 ","23.978,77 ","0,00 ","23.978,77"
305009,CIRUGÍA Y SUS ESPECIALIDADES ,"14.554,50 ","27.003,68 ","45.908,18 ","39.000,64 ","17,71 ","10,00 ","3.900,06 ","42.900,70 ","0,00 ","42.900,70"
305010,CONSTRUCCIONES ARQUITECTÓNICAS ,"17.995,50 ","34.634,69 ","56.980,19 ","69.470,49 ","-17,98 ","-5,00 ","-3.473,52 ","65.996,97 ","0,00 ","65.996,97"
305011,DERECHO ADMINISTRATIVO ,"10.555,50 ","15.211,02 ","30.116,52 ","34.826,99 ","-13,53 ","-5,00 ","-1.741,35 ","33.085,64 ","0,00 ","33.085,64"
305012,DERECHO CIVIL ,"12.183,00 ","14.967,70 ","31.500,70 ","40.395,16 ","-22,02 ","-5,00 ","-2.019,76 ","38.375,40 ","1.314,00 ","39.689,40"
305013,DERECHO CONSTITUCIONAL ,"7.719,00 ","16.298,92 ","28.367,92 ","27.276,36 ","4,00 ","4,00 ","0,00 ","28.367,92 ","1.314,00 ","29.681,92"
305014,DERECHO PROCESAL Y ECLESIÁSTICO ,"6.510,00 ","10.969,64 ","21.829,64 ","25.873,10 ","-15,63 ","-5,00 ","-1.293,66 ","24.579,45 ","0,00 ","24.579,45"
305015,DERECHO FINANCIERO Y TRIBUTARIO ,"9.579,00 ","10.734,46 ","24.663,46 ","26.253,44 ","-6,06 ","-5,00 ","-1.312,67 ","24.940,77 ","2.628,00 ","27.568,77"
305016,DERECHO INTERNACIONAL PRIVADO E HISTORIA DEL DERECHO ,"5.487,00 ","7.025,92 ","16.862,92 ","19.556,70 ","-13,77 ","-5,00 ","-977,84 ","18.578,87 ","0,00 ","18.578,87"
305017,DERECHO MERCANTIL Y DERECHO ROMANO ,"8.695,50 ","13.867,48 ","26.912,98 ","28.075,75 ","-4,14 ","-4,14 ","0,00 ","26.912,98 ","1.314,00 ","28.226,98"
305018,DIBUJO ,"10.881,00 ","12.209,74 ","27.440,74 ","27.138,91 ","1,11 ","1,11 ","0,00 ","27.440,74 ","1.314,00 ","28.754,74"
305019,DIDÁCTICA DE LAS CIENCIAS EXPERIMENTALES ,"5.859,00 ","30.365,72 ","40.574,72 ","24.852,25 ","63,26 ","10,00 ","2.485,23 ","27.337,48 ","5.256,00 ","32.593,48"
305020,DIDÁCTICA DE LAS CIENCIAS SOCIALES ,"6.510,00 ","27.890,02 ","38.750,02 ","28.522,13 ","35,86 ","10,00 ","2.852,21 ","31.374,34 ","6.570,00 ","37.944,34"
305021,"DIDÁCTICA DE LA EXPRESIÓN MUSICAL, PLÁSTICA Y CORPORAL ","17.716,50 ","75.916,46 ","97.982,96 ","72.045,03 ","36,00 ","10,00 ","7.204,50 ","79.249,53 ","27.594,00 ","106.843,53"
305022,DIDÁCTICA DE LA LENGUA Y LA LITERATURA ,"15.066,00 ","34.241,68 ","53.657,68 ","42.882,55 ","25,13 ","10,00 ","4.288,26 ","47.170,81 ","19.710,00 ","66.880,81"
305023,DIDÁCTICA DE LA MATEMÁTICA ,"8.928,00 ","31.216,94 ","44.494,94 ","27.742,12 ","60,39 ","10,00 ","2.774,21 ","30.516,33 ","3.942,00 ","34.458,33"
305024,DIDÁCTICA Y ORGANIZACIÓN ESCOLAR ,"21.157,50 ","58.242,62 ","83.750,12 ","67.199,81 ","24,63 ","10,00 ","6.719,98 ","73.919,79 ","14.454,00 ","88.373,79"
305025,ECONOMÍA APLICADA ,"13.485,00 ","20.207,88 ","38.042,88 ","52.574,25 ","-27,64 ","-5,00 ","-2.628,71 ","49.945,54 ","15.768,00 ","65.713,54"
305026,ECONOMÍA FINANCIERA Y CONTABILIDAD ,"19.251,00 ","30.814,08 ","54.415,08 ","53.632,98 ","1,46 ","1,46 ","0,00 ","54.415,08 ","23.652,00 ","78.067,08"
305027,EDAFOLOGÍA Y QUÍMICA AGRÍCOLA ,"4.092,00 ","6.638,54 ","15.080,54 ","14.587,60 ","3,38 ","3,38 ","0,00 ","15.080,54 ","0,00 ","15.080,54"
