Código,Departamento,T.C. (P.D.I.),T.P. (P.D.I.),Total (P.D.I.),ETC (P.D.I.),Tr. Doc. (P.D.I.),Tr. Inv. (P.D.I.),Tr. Aut. (P.D.I.),Fun. (P.A.S.),Lab. (P.A.S.),Total (P.A.S.)
305001,ÁLGEBRA,19,1,20,19500,89,45,64,1,0,1
305002,ANÁLISIS MATEMÁTICO,29,0,29,29000,127,74,84,1,0,1
305003,ANATOMÍA PATOLÓGICA E HISTORIA DE LA CIENCIA,16,3,19,18250,93,59,67,2,1,3
305005,BIOLOGÍA CELULAR ,14,0,14,14000,51,33,42,1,1,2
305008,ANATOMÍA Y EMBRIOLOGÍA HUMANA,17,1,18,17500,71,35,47,1,5,6
305009,CIRUGÍA Y SUS ESPECIALIDADES,20,49,69,39125,107,19,55,1,2,3
305010,CONSTRUCCIONES ARQUITECTÓNICAS,32,23,55,48375,93,10,57,1,2,3
305011,DERECHO ADMINISTRATIVO,25,5,30,28375,62,26,46,1,1,2
305012,DERECHO CIVIL,30,5,35,32750,116,47,75,1,0,1
305013,DERECHO CONSTITUCIONAL,20,1,21,20750,73,33,55,1,0,1
305014,DERECHO PROCESAL Y ECLESIÁSTICO,16,2,18,17500,51,11,38,1,0,1
305015,DERECHO FINANCIERO Y TRIBUTARIO,25,1,26,25750,74,34,56,1,0,1
305016,DERECHO INTERNACIONAL PRIVADO E HISTORIA DEL DERECHO,14,1,15,14750,39,21,35,2,0,2
305017,DERECHO MERCANTIL Y DERECHO ROMANO,20,5,25,23375,56,18,44,1,0,1
305018,DIBUJO,28,2,30,29250,79,18,51,1,2,3
305019,DIDÁCTICA DE LAS CIENCIAS EXPERIMENTALES,15,1,16,15750,44,12,31,1,1,2
305020,DIDÁCTICA DE LAS CIENCIAS SOCIALES,14,5,19,17500,26,6,18,1,0,1
305021,"DIDÁCTICA DE LA EXPRESIÓN MUSICAL, PLÁSTICA Y CORPORAL",38,14,52,47625,108,17,70,1,0,1
305022,DIDÁCTICA DE LA LENGUA Y LA LITERATURA,36,6,42,40500,64,12,48,1,1,2
305023,DIDÁCTICA DE LA MATEMÁTICA,24,0,24,24000,73,30,48,1,0,1
305024,DIDÁCTICA Y ORGANIZACIÓN ESCOLAR,52,7,59,56875,110,50,105,1,0,1
305025,ECONOMÍA APLICADA,35,2,37,36250,92,14,60,1,0,1
305026,ECONOMÍA FINANCIERA Y CONTABILIDAD,39,18,57,51750,93,10,67,1,0,1
305027,EDAFOLOGÍA Y QUÍMICA AGRÍCOLA,11,0,11,11000,48,27,31,1,3,4
305030,ESTADÍSTICA E INVESTIGACIÓN OPERATIVA,60,3,63,62125,203,93,157,1,0,1
305031,ESTRATÍGRAFÍA Y PALEONTOLOGÍA,16,0,16,16000,81,63,64,1,0,1
305032,ESTUDIOS SEMÍTICOS,27,2,29,28500,77,37,58,1,0,1
305033,EXPRESION GRÁFICA ARQUITECTÓNICA Y EN LA INGENIERÍA,44,36,80,68500,79,9,46,1,0,1
305034,FARMACIA Y TECNOLOGÍA FARMACÉUTICA,21,0,21,21000,79,12,40,1,3,4
305035,FARMACOLOGÍA,21,3,24,22125,100,45,66,1,3,4
305036,LENGUA ESPAÑOLA,16,0,16,16000,57,29,32,1,0,1
305037,FILOLOGÍA FRANCESA,20,0,20,20000,56,15,39,1,0,1
305038,FILOLOGÍA GRIEGA,26,0,26,26000,64,30,58,2,0,2
305039,FILOLOGÍA INGLESA,56,3,59,57750,158,50,111,1,0,1
305040,FILOLOGÍA LATINA,12,0,12,12000,58,37,45,1,0,1
305041,"FILOLOGÍAS ROMÁNICA, ITALIANA, GALLEGO-PORTUGUESA Y CATALANA",19,1,20,19250,52,29,40,1,0,1
305042,FILOSOFÍA I,16,1,17,16500,56,29,38,1,1,2
305043,"FILOSOFÍA DEL DERECHO, MORAL Y POLÍTICA",10,0,10,10000,45,26,33,1,0,1
