Orgánica,Centro,Número de alumnos,Importe
3010010000,Facultad de Filosofía y Letras,4776,45133
3010020000,Facultad de Derecho,5070.7,47918
3010030000,Facultad de Ciencias,5637.7,53276
3010040000,Facultad de Medicina,1960.3,18525
3010050000,Facultad de Farmacia,3082.4,29129
3010060000,Facultad de Bellas Artes,1308.3,12363
3010070000,Facultad de Odontología,446.8,4222
3010080000,Facultad de Ciencias de la Educación,5083.3,48037
3010090000,Facultad de Ciencias Políticas y Sociología,2095.2,19800
3010100000,"E.T.S. de Ingenieros de Caminos, Canales y Puertos",1445.5,13660
3010110000,Facultad de Ciencias del Deporte ,1069.4,10106
3010190000,Facultad de Tradución e Interpretación,1447,13674
3010230000,"Facultad de Educación, Economía y Tecnología de Ceuta",892,8429
3010240000,Facultad de Educación y Humanidades de Melilla,595,5623
3010250000,Facultad de Psicología,1941.2,18344
3010260000,Facultad de Ciencias Económicas y Empresariales,5909.5,55845
3010280000,Facultad de Ciencias Sociales de Melilla,333,3147
3010290000,Facultad de Comunicación  y Documentación,638,6029
3010300000,E.T.S. de Ingeniería de Edificación,1443,13636
3010330000,Facultad de Ciencias de la Salud de Granada,1241,11727
3010350000,Facultad de Trabajo Social,745,7040
3010400000,Facultad de Ciencias del Trabajo,1630,15404
3010410000,E.T.S. de Arquitectura,1546.7,14616
3010440000,E.T.S. de Ingenierías de Informática y Telecomunicación,1950,18428
3010810000,Facultad de Ciencias de la Salud de Melilla,334,3156
3010900000,Facultad de Ciencias de la Salud de Ceuta,508,4801
3019990000,Contrato Programa a Centros,No aplica,75310.2
3019990000,Incentivos al Cumplimiento Ley de Morosidad,No aplica,10041.36
3019990000,Incentivos a Recaudación Derechos de Matrícula,No aplica,50000
