Orgánica,Centro,Actividad Académica,Mantenimiento
3010010000,Facultad de Filosofía y Letras,45133,169206
3010020000,Facultad de Derecho,47918,111995
3010030000,Facultad de Ciencias,53276,426648
3010040000,Facultad de Medicina,18525,177301
3010050000,Facultad de Farmacia,29129,156952
3010060000,Facultad de Bellas Artes,12363,106046
3010070000,Facultad de Odontología,4222,70331
3010080000,Facultad de Ciencias de la Educación,48037,108837
3010090000,Facultad de Ciencias Políticas y Sociología,19800,69634
3010100000,"E.T.S. de Ingenieros Caminos, Canales y Puertos",13660,121795
3010110000,Facultad de Ciencias del  Deporte,10106,87135
3010190000,Facultad de Tradución e Interpretación,13674,41514
3010230000,Facultad de Educación y Humanidades de Ceuta,8429,47290
3010240000,Facultad de Educación y Humanidades de Melilla,5623,24317
3010250000,Facultad de Psicología,18344,77244
3010260000,Facultad de Ciencias Económicas y Empresariales,55845,141435
3010280000,Facultad de Ciencias Sociales de Melilla,3147,19924
3010290000,Facultad de Comunicación y Documentación,6029,57907
3010300000,Escuela Técnica Superior de Ingeniería de Edificación,13636,92759
3010330000,Facultad de Ciencias de la Salud,11727,70070
3010350000,Facultad de Trabajo Social,7040,15126
3010400000,Facultad de Ciencias del Trabajo,15404,32147
3010410000,E.T.S. de Arquitectura,14616,25031
3010440000,E.T.S. de Ingenierías de Informática y Telecomunicación,18428,80881
3010810000,Facultad de Ciencias de la Salud de Melilla,3156,15000
3010900000,Facultad de Ciencias de la Salud de Ceuta,4801,23225
3019990000,Contratos Programa e Incentivos a Centros,135351.56,393510.37
