Capítulo,Concepto / Programa,Programa 442D,Programa 541A,Programa 321B,Totales
Capitulo 1º. Gastos de Personal,110 Personal eventual,360000,0,0,360000
Capitulo 1º. Gastos de Personal,120 Funcionarios (Retribuciones básicas),55394152,0,22933,55417084
Capitulo 1º. Gastos de Personal,121 Funcionarios (Retribuciones complementarias),82164825,0,27762,82192586
Capitulo 1º. Gastos de Personal,130 Personal laboral (Retribuciones básicas),17386596,0,0,17386596
Capitulo 1º. Gastos de Personal,131 Personal laboral (Otras remuneraciones),40840692,0,0,40840692
Capitulo 1º. Gastos de Personal,134. Personal laboral de sustituciones,2140000,0,0,2140000
Capitulo 1º. Gastos de Personal,143 Personal colaboración social,300000,0,0,300000
Capitulo 1º. Gastos de Personal,145 Retribuciones Asociados (LRU),25481,0,0,25481
Capitulo 1º. Gastos de Personal,146 Retribuciones Asociados Ciencias de la Salud (LRU),484861,0,0,484861
Capitulo 1º. Gastos de Personal,150 Productividad ,24789216,0,8118,24797334
Capitulo 1º. Gastos de Personal,151 Gratificaciones,3000,0,0,3000
Capitulo 1º. Gastos de Personal,160 Cuotas sociales,30574498,0,0,30574498
Capitulo 1º. Gastos de Personal,162.00 Prestaciones (Indemnización por jubilación),3500000,0,0,3500000
Capitulo 1º. Gastos de Personal,162.01 Formación y Perfeccionamiento del PAS,160000,0,0,160000
Capitulo 1º. Gastos de Personal,162.05 Plan de acción social,869331,0,0,869331
Capitulo 1º. Gastos de Personal,162.05 Plan de Acción Social (Beneficios en precios publicos),840000,0,0,840000
Capitulo 1º. Gastos de Personal,162.07 Prestaciones (Complemento a la prestación por I.T.),730000,0,0,730000
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,202 Arrendamiento de edificios y otros,17068,2281,249038,268387
Capitulo 2º. Gastos en Bienes Corrientes y Servicios,"203 Arrendamiento de maquinaria, instalación y utillaje",17068,2281,49808,69157
