"CAPÍTULO","ARTÍCULO","PROGRAMA 422D","PROGRAMA 541A","PROGRAMA 321B"
"CAPITULO 1º. GASTOS DE PERSONAL","11 Personal eventual",360000,"0","0"
"CAPITULO 1º. GASTOS DE PERSONAL","12 Personal Funcionario",137558976,"0",50694
"CAPITULO 1º. GASTOS DE PERSONAL","13 Personal laboral",60367288,"0","0"
"CAPITULO 1º. GASTOS DE PERSONAL","14 Otro Personal",810341,"0","0"
"CAPITULO 1º. GASTOS DE PERSONAL","15 Incentivos al rendimiento",24792216,"0",8118
"CAPITULO 1º. GASTOS DE PERSONAL","16 Cuotas, prestaciones y gastos sociales",36673829,"0","0"
"CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS","20 Arrendamientos y cánones ",56325,13686,367580
"CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS","21 Reparaciones, mantenimiento y conservación",940451,304487,4109714
"CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS","22 Material, suministros y otros de oficina",7555401,486881,20452290
"CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS","23 Indemnizaciones por razón del servicio",1450787,114040,1204099
"CAPITULO 3º. GASTOS FINANCIEROS","31 De préstamos en moneda nacional",0,0,175000
"CAPITULO 4º. TRANSFERENCIAS CORRIENTES","48 A Familias e Instituciones sin fines de lucro",16470883,0,920755
"CAPITULO 4º. TRANSFERENCIAS CORRIENTES","49  Al exterior",25000,0,0
"CAPITULO 6º. INVERSIONES REALES","60  Inversiones de carácter material",125000,2470000,2821728
"CAPITULO 6º. INVERSIONES REALES","62 Inversiones Infraestructura y Equipamiento Junta Andalucía","0","0",4416000
"CAPITULO 6º. INVERSIONES REALES","63 Actuaciones Campus de Excelencia y Programa Fortalecimiento",0,0,0
"CAPITULO 6º. INVERSIONES REALES","64  Inversiones de carácter inmaterial",1054572,46648706,"0"
"CAPITULO 6º. INVERSIONES REALES","66  Inversiones de Reposición","0","0",6382433
"CAPITULO 7º. TRANSFERENCIAS DE CAPITAL","78 A Familias e Instituciones sin fines de lucro",200000,0,118213
"CAPITULO 8º. ACTIVOS FINANCIEROS","83 Concesión préstamos en sector público",650000,0,0
"CAPITULO 9º. PASIVOS FINANCIEROS","91 Amortización de préstamos en moneda nacional",0,0,2514122
