Capítulo,Artículo,Concepto,Denominación,Importe
Capitulo 1º. Gastos de personal,Artículo12. Funcionarios,120,Funcionarios. Retribuciones básicas,22933
Capitulo 1º. Gastos de personal,Artículo12. Funcionarios,121,Funcionarios. Retribuciones complementarias,27762
Capitulo 1º. Gastos de personal,Artículo 13. Laborales,130,Personal laboral. Retribuciones básicas,0
Capitulo 1º. Gastos de personal,Artículo 15. Incentivos al rendimiento,150,Productividad ,8118
Capitulo 1º. Gastos de personal,"Artículo 16. Cuotas, prestaciones y gastos sociales empresa",160,Cuotas sociales,0
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,202,Arrendt. edificios y otros,249038
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,203,"Arrendt. maquinaria,instalaciones y utillaje",49808
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,204,Arrendt. material de transporte,4981
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,205,Arrendt. mobiliario y enseres,59769
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,206,Arrendt. equipo de informática,1992
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,208,Arrendt. otro inmovilizado material,1992
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",212,Edificios y otras construcciones,1321360
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",213,"Maquinarias, instalaciones y utillaje",772018
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",214,Elementosl de transporte,19923
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",215,Mobiliario y enseres,199230
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",216,Sistemas para procesos de información,597183
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",217,Mantenimiento General y Optimización Energética,1200000
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",220,Material de orficina,2215540
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",221,Suministros,6370756
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",222,Comunicaciones,1095767
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",223,Transportes,298846
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",224,Primas de seguros,234096
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",225,Tributos,99615
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",226,Gastos diversos,4609026
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros","226,01",Atenciones protocolarias y de representación,249038
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",227,Trabajos realizados por otras empresas,5279606
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 23. Indemnizaciones por razón del servicio,230,Dietas,606408
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 23. Indemnizaciones por razón del servicio,231,Locomoción,597691
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 23. Indemnizaciones por razón del servicio,234,Asistencias a órganos colegiados,0
Capítulo 3º. Gastos financieros,Artículo 31. De préstamos en moneda nacional,310,Intereses operaciones a corto plazo,175000
Capítulo 3º. Gastos financieros,Artículo 31. De préstamos en moneda nacional,311,"Gastos de emisión, modificación y cancelación",0
Capítulo 4º. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,484,Convenios con otras instituciones,0
Capítulo 4º. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,485,"A Fundac, y otras instituciones sin fines de lucro",920755
Capítulo 4º. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,"485,03",Al Centro mediterráneo ,0
Capítulo 4º. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,485,A Universiada 2015,0
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,602,Construcciones propias,749274
