Tipo,Concepto,Variación interanual
Capítulos,1. Gastos de personal,"0,37%"
Capítulos,2. Gastos corrientes en bienes y servicios,"-4,40%"
Capítulos,3. Gastos financieros,"0,00%"
Capítulos,4. Transferencias corrientes,"-8,89%"
Capítulos,6. Inversiones reales,"-19,36%"
Capítulos,7. Transferencias de capital,"-13,58%"
Capítulos,8. Activos financieros,"0,00%"
Capítulos,9. Pasivos financieros,"11,49%"
Capítulos,Variación a nivel global,"-4,40%"
Programas,Programa 422D. Enseñanzas universitarias,"-0,28%"
Programas,Programa 541A. Investigación,"13,88%"
Programas,Programa 321B. Estructura y gestión universitaria,"-34,42%"
