"Subprograma","Denominación","Actuaciones","Crédito","Financiación específica: externa","Financiación específica: Rec. Propios"
"321B.1","Consejo Social","Consejo Social",110000,110000,0
"321B.2","Extensión Universitaria","Gestión Vicerrect.Extensión Universitaria",39138,"0","0"
"321B.2","Extensión Universitaria","Recursos Extensión Universitaria",63000,"0",14000
"321B.2","Extensión Universitaria","Cultura Contemporánea",251000,"0","0"
"321B.2","Extensión Universitaria","Unidad de Cultura Científica",14500,"0","0"
"321B.2","Extensión Universitaria","Jardín Botánico",11800,"0","0"
"321B.2","Extensión Universitaria","Patrimonio Cultural Mueble",39200,"0","0"
"321B.2","Extensión Universitaria","Orquesta de Cámara",45000,"0","0"
"321B.2","Extensión Universitaria","Herbario Universitario",9000,"0","0"
"321B.2","Extensión Universitaria","A Fundaciones y otras Instituciones",1023968,"0","0"
"321B.2","Extensión Universitaria","Centro Mediterráneo",124000,"0",100000
"321B.3","Infraestructuras y Equipamiento","Gestión Vicerrectorado de Infraestructuras y Campus",0,"0","0"
"321B.3","Infraestructuras y Equipamiento","Plan Director de Infraestructuras",7131707,"0","0"
"321B.3","Infraestructuras y Equipamiento","Mantenimiento General y Optimización Energética",1200000,"0","0"
"321B.3","Infraestructuras y Equipamiento","Equipamiento General Docente",67000,"0","0"
"321B.3","Infraestructuras y Equipamiento","Equipamiento de Gestión",0,"0","0"
"321B.3","Infraestructuras y Equipamiento","Inversiones Infraestructura y Equipamiento Junta Andalucía",4416000,4416000,"0"
"321B.3","Infraestructuras y Equipamiento","Actuaciones Campus Excelencia",0,0,"0"
"321B.3","Infraestructuras y Equipamiento","Actuaciones INNPLANTA 2011",0,0,"0"
"321B.3","Infraestructuras y Equipamiento","Mantenimiento Centros",1978658,"0","0"
"321B.4","Responsabilidad Social, Igualdad e Inclusión","Vicerrectorado de Responsabilidad Socia, Igualdad e Inclusión",15000,"0","0"
"321B.4","Responsabilidad Social, Igualdad e Inclusión","Servicio de Salud, Prevención de Riesgos Laborales y Protección Radiológica",525489,"0","0"
"321B.4","Responsabilidad Social, Igualdad e Inclusión","Área de Inclusión, Igualdad y Campus Saludable",55000,"0","0"
"321B.4","Responsabilidad Social, Igualdad e Inclusión","Calidad de Vida y Envejecimiento",4500,"0","0"
"321B.4","Responsabilidad Social, Igualdad e Inclusión","Actuaciones de Cooperación al Desarrollo Local",6000,"0","0"
"321B.4","Responsabilidad Social, Igualdad e Inclusión","Comedores Universitarios",1400000,"0",1400000
"321B.4","Responsabilidad Social, Igualdad e Inclusión","C.M. Isabel la Católica y Residencias Universitarias",305000,"0",200000
"321B.4","Responsabilidad Social, Igualdad e Inclusión","Gabinete Acción Social",7200,"0","0"
"321B.4","Responsabilidad Social, Igualdad e Inclusión","Centro de Actividades Deportivas",776125,"0",550000
"321B.6","Secretaría General y de Coordinación","Secretaría General y de Coordinación",20000,"0","0"
"321B.6","Secretaría General y de Coordinación","Documentación, Difusión y Comunicaciones",14000,"0","0"
"321B.6","Secretaría General y de Coordinación","Archivo Universitario",7200,"0","0"
"321B.6","Secretaría General y de Coordinación","Defensor Universitario",4000,"0","0"
"321B.6","Secretaría General y de Coordinación","Inspección de Servicios",4000,"0","0"
"321B.6","Secretaría General y de Coordinación","Oficina de Control Interno",4000,"0","0"
"321B.7","Universidad Digital","Gestión Delegación para la Universidad Digital",12000,"0","0"
"321B.7","Universidad Digital","Centro de Servicios Informáticos y R.C.",259000,"0","0"
"321B.7","Universidad Digital","Mantenimiento Hardware",540000,"0","0"
"321B.7","Universidad Digital","Mantenimiento Software",216000,"0","0"
"321B.7","Universidad Digital","Actuaciones Tarjeta Universitaria",99462,"0",99462
"321B.7","Universidad Digital","Actuaciones Udigital",482070,"0","0"
"321B.8","Gastos Generales y de Gestión","Gastos Estructurales",16045608,"0","0"
"321B.8","Gastos Generales y de Gestión","Servicios Centrales",1800000,"0","0"
"321B.8","Gastos Generales y de Gestión","Primas de seguros",300000,"0","0"
"321B.8","Gastos Generales y de Gestión","Amortización de préstamos",2514122,"0","0"
"321B.8","Gastos Generales y de Gestión","Gastos Finacieros",175000,"0","0"
"321B.8","Gastos Generales y de Gestión","Dietas y locomoción",555000,"0","0"
"321B.8","Gastos Generales y de Gestión","Suministros, equipos de oficina y otros gastos",850000,"0",850000
"321B.9","Coordinación Ceuta y Melilla","Coordinación Melilla",12000,"0","0"
"321B.9","Coordinación Ceuta y Melilla","Coordinación Ceuta",9000,"0","0"
