"Subprograma","Denominación","Actuaciones","Crédito","Financiación específica: externa","Financiación específica: Rec. Propios"
"541A.1","Investigación, Transferencia y Bibliotecas","Gestión Vicerrectorado de Política Científica e Investigación",12000,"0","0"
"541A.1","Investigación, Transferencia y Bibliotecas","Plan Propio de Investigación",1836000,"0","0"
"541A.1","Investigación, Transferencia y Bibliotecas","Plan Propio de Fomento de la Productividad Investigadora",600000,"0","0"
"541A.1","Investigación, Transferencia y Bibliotecas","Proyectos, Grupos y otras actuaciones de Investigación",39761000,39761000,"0"
"541A.1","Investigación, Transferencia y Bibliotecas","Biblioteca Universitaria",2470000,"0","0"
"541A.1","Investigación, Transferencia y Bibliotecas","Oficina de Proyectos Internacionales",12000,"0","0"
"541A.1","Investigación, Transferencia y Bibliotecas","Oficina de Transferencia de Resultados de Investigación",4068000,"0",4050000
"541A.1","Investigación, Transferencia y Bibliotecas","Comisión Mixta Universidad+MADOC",35000,"0","0"
"541A.1","Investigación, Transferencia y Bibliotecas","Inscripciones de Congresos, Jornadas y difusión de I+D+I",350000,350000,"0"
"541A.1","Investigación, Transferencia y Bibliotecas","Editorial Universitaria",267500,"0",200000
"541A.1","Investigación, Transferencia y Bibliotecas","Centro de Instrumentación Científica",390000,"0",300000
"541A.2","Institutos y Centros de Investigación","Institutos de Investigación",110124,"0","0"
"541A.2","Institutos y Centros de Investigación","Centro de Investigación Biomédica",41830,"0","0"
"541A.2","Institutos y Centros de Investigación","Otros Centros de Investigación",84346,0,"0"
"541A.2","Institutos y Centros de Investigación","Desarrollo Campus CC Salud",0,"0","0"
