"Subprograma","Denominación","Actuaciones","Crédito","Financiación específica: externa","Financiación específica: Rec. Propios"
"422D.1","Personal Docente e Investigador","Retribuciones básicas y complementarias",102534586,"0","0"
"422D.1","Personal Docente e Investigador","Tramos Docentes",17056910,"0","0"
"422D.1","Personal Docente e Investigador","Tramos Investigación",8284874,"0","0"
"422D.1","Personal Docente e Investigador","Tramos Autonómicos",10064795,"0","0"
"422D.1","Personal Docente e Investigador","Cargos Académicos",2690611,"0","0"
"422D.1","Personal Docente e Investigador","Plazas vinculadas",2000000,2000000,"0"
"422D.1","Personal Docente e Investigador","Otras retrib.complementarias",12156479,"0","0"
"422D.1","Personal Docente e Investigador","Previsión Actuaciones",800000,"0","0"
"422D.1","Personal Docente e Investigador","Cuota Patronal Seguridad Social",10206420,"0","0"
"422D.2","Personal de Administración y Servicios","Retribuciones básicas y complementarias",57808065,50694,"0"
"422D.2","Personal de Administración y Servicios","Complemento de Productividad",6199546,8118,"0"
"422D.2","Personal de Administración y Servicios","Otras retrib.complementarias",350593,"0","0"
"422D.2","Personal de Administración y Servicios","Cargos Académicos",102361,"0","0"
"422D.2","Personal de Administración y Servicios","Formación y movilidad",160000,"0","0"
"422D.2","Personal de Administración y Servicios","Vestuario PAS Laboral",501337,"0","0"
"422D.2","Personal de Administración y Servicios","Previsión actuaciones",800000,"0","0"
"422D.2","Personal de Administración y Servicios","Cuota Patronal Seguridad Social",20368078,"0","0"
"422D.2","Personal de Administración y Servicios","Personal Colaboración Social y Sustituciones",2800000,"0","0"
"422D.3","Acción Social","Plan de Acción Social",869331,"0","0"
"422D.3","Acción Social","Compensac. precios matrícula",840000,"0",840000
"422D.3","Acción Social","Premio Jubilación",3500000,"0","0"
"422D.3","Acción Social","Prestación I.T.",730000,"0","0"
"422D.3","Acción Social","Préstamos al Personal",650000,"0","0"
"422D.4","Docencia de Grado","Gestión Vicerrect. De Docencia",15000,"0","0"
"422D.4","Docencia de Grado","Actividad Académica Centros",386847,"0","0"
"422D.4","Docencia de Grado","Departamentos",3144988,"0","0"
"422D.4","Docencia de Grado","Contratos Programa (Centros y Deptos.)",832842,"0","0"
"422D.4","Docencia de Grado","Plan Propio de Docencia: Programa  de Apoyo a la Docencia Práctica",1400000,"0","0"
"422D.4","Docencia de Grado","Plan Propio de Docencia: Seguimiento y mejora de titulaciones",69000,"0","0"
"422D.4","Docencia de Grado","Plan Propio de Docencia: Otras actuaciones",0,"0","0"
"422D.4","Docencia de Grado","Plan Propio de Docencia: Prácticas de Odontología",108000,"0","0"
"422D.4","Docencia de Grado","Plan Propio de Docencia: Otras prácticas",36000,"0","0"
"422D.4","Docencia de Grado","Plan Propio de Docencia: Dietas Prácticas de Campo",0,"0","0"
"422D.5","Docencia de Posgrado","Másteres Universitarios",1108160,"0","0"
"422D.5","Docencia de Posgrado","Escuelas de Doctorado",167200,"0","0"
"422D.5","Docencia de Posgrado","Escuela Internacional de Posgrado",50000,"0","0"
"422D.5","Docencia de Posgrado","Cursos propios Escuela de Posgrado",1181500,267750,913750
"422D.5","Docencia de Posgrado","Aula Permanente de Formación Abierta",178089,"0",160089
"422D.5","Docencia de Posgrado","Otros cursos",250000,"0",250000
"422D.6","Estudiantes y Empleabilidad","Gestión y actuaciones Vicerrectorado de Estudiantes",220000,"0","0"
"422D.6","Estudiantes y Empleabilidad","Plan Propio Becas y Ayudas",1540000,"0","0"
"422D.6","Estudiantes y Empleabilidad","Plan Propio de Ayudas Sociales a Estudiantes",190000,"0","0"
"422D.6","Estudiantes y Empleabilidad","Centro de Empleo y Prácticas",6000,"0","0"
"422D.6","Estudiantes y Empleabilidad","Plan Propio para Promoción del Autoempleo",200000,200000,"0"
"422D.6","Estudiantes y Empleabilidad","Plan Propio de Prácticas en Empresas e Instituciones",883772,793772,90000
"422D.6","Estudiantes y Empleabilidad","Actuaciones Fomento de Empleo",94572,58572,36000
"422D.6","Estudiantes y Empleabilidad","Coordinación General de Emprendimiento",9000,"0","0"
"422D.6","Estudiantes y Empleabilidad","Acceso a Universidad",246000,"0","0"
"422D.6","Estudiantes y Empleabilidad","Asociaciones y Delegación General de Estudiantes",120000,"0","0"
"422D.6","Estudiantes y Empleabilidad","Otros Planes de Apoyo Junta de Andalucía",775971,775971,"0"
"422D.6","Estudiantes y Empleabilidad","Convenios con otras instituciones",3000,"0","0"
"422D.6","Estudiantes y Empleabilidad","Cursos de la Casa de Porras",66000,"0",66000
"422D.7","Internacionalización","Gestión Vicerrectorado de Internacionalización",13000,"0","0"
"422D.7","Internacionalización","Plan Propio de Internacionalización",620000,"0","0"
"422D.7","Internacionalización","Oficina de Relaciones Internacionales",70000,"0","0"
"422D.7","Internacionalización","Programas Europeos de movilidad",12958140,12958140,"0"
"422D.7","Internacionalización","Programas de Proyección Internac. y Promoción Lingüística",90000,"0","0"
"422D.7","Internacionalización","Cuotas a Organismos Internacionales",25000,"0","0"
"422D.7","Internacionalización","Plan Propio de Cooperación al Desarrollo",281000,"0","0"
"422D.8","Calidad, Innovación Docente y Prospectiva","Unidad de Calidad, Innovación y Prospectiva",262000,0,"0"
"422D.9","Gestión de Personal Docente e Investigador","Gestión Vicerrect. De Personal Docente e Investigador",16000,"0","0"
