"ACCIÓN","DENOMINACIÓN","IMPORTE"
"A deducir","Venta e intercambio de Publicaciones. Editorial",200000
"A deducir","Comedor Universitario",1000000
"A deducir","Alojamiento Residencias Universitarias",200000
"A deducir","Concesiones administrativas",400000
"A deducir","Cesión de espacios",100000
"A deducir","Ingresos diversos",350000
"A deducir","Cursos de Extensión Universitaria. ",14000
"A deducir","Cursos Casa de Porras",66000
"A deducir","Cursos propios Escuela de Posgrado",1181500
"A deducir","Centro de Actividades Deportivas",550000
"A deducir","Precios públicos Centro Instrumentación Científica",300000
"A deducir","Precios públicos Centro Mediterráneo",75000
"A deducir","Otros precios públicos",250000
"A deducir","Centro Mediterráneo",25000
"A deducir","Aula Permanente de Formación Abierta",160089
"A detraer","Comedores Universitarios",400000
"A detraer","Dietas pruebas de acceso y órganos colegiados",225000
"A detraer","Mantenimiento de equipos informáticos",540000
"A detraer","Actuaciones Tarjeta Universitaria",99462
"A detraer","Actuaciones en salud, prevención de riesgos laborales, protección radiológica y calidad ambiental",320000
"A detraer","Otras prácticas",36000
"A detraer","Prácticas de odontología",108000
"A detraer","Primas de seguros",300000
"A detraer","Apoyo a enseñanzas prácticas",1400000
"A detraer","Dietas prácticas de campo",0
"A detraer","Dietas tesis doctorales",300000
"A detraer","Tribunales oposiciones cuerpos docentes",30000
"A detraer","Seguimiento y mejora de las titulaciones",69000
"A detraer","Vestuario personal laboral fijo y sustituciones",501337
