Orgánica,Centro,Actividad Académ.,Mantenim.,Total,Actividad Académ.,Mantenim.,Total
3010010000,Facultad de Filosofía y Letras,44755,169206,213961,35804,135365,171169
3010020000,Facultad de Derecho,45272,127962,173234,36218,102370,138587
3010030000,Facultad de Ciencias,52917,426648,479565,42334,341318,383652
3010040000,Facultad de Medicina,18440,189926,208366,14752,151941,166693
3010050000,Facultad de Farmacia,28940,156952,185892,23152,125562,148714
3010060000,Facultad de Bellas Artes,12685,106046,118731,10148,84837,94985
3010070000,Facultad de Odontología,4326,70331,74657,3461,56265,59726
3010080000,Facultad de Ciencias de la Educación,47338,108837,156175,37870,87070,124940
3010090000,Facultad de Ciencias Políticas y Sociología,19648,69634,89282,15718,55707,71426
3010100000,"E.T.S. de Ingenieros Caminos, Canales y Puertos",11175,121795,132970,8940,97436,106376
3010110000,Facultad de Ciencias del  Deporte,9756,94838,104594,7805,75870,83675
3010190000,Facultad de Tradución e Interpretación,13532,41514,55046,10826,33211,44037
3010230000,Facultad de Educación y Humanidades de Ceuta,7758,47558,55316,6206,38046,44253
3010240000,Facultad de Educación y Humanidades de Melilla,5179,24317,29496,4143,19454,23597
3010250000,Facultad de Psicología,17796,77244,95040,14237,61795,76032
3010260000,Facultad de Ciencias Económicas y Empresariales,52273,141435,193708,41818,113148,154966
3010280000,Facultad de Ciencias Sociales de Melilla,3222,19924,23146,2578,15939,18517
3010290000,Facultad de Comunicación y Documentación,5651,57907,63558,4521,46326,50846
3010300000,Escuela Técnica Superior de Ingeniería de Edificación,10556,92759,103315,8445,74207,82652
3010330000,Facultad de Ciencias de la Salud,12361,70070,82431,9889,56056,65945
3010350000,Facultad de Trabajo Social,7390,15126,22516,5912,12101,18013
3010400000,Facultad de Ciencias del Trabajo,13419,32147,45566,10735,25718,36453
3010410000,E.T.S. de Arquitectura,13050,61343,74393,10440,49074,59514
3010440000,E.T.S. de Ingenierías de Informática y Telecomunicación,18040,78803,96843,14432,63042,77474
3010810000,Facultad de Ciencias de la Salud de Melilla,3468,15000,18468,2774,12000,14774
3010900000,Facultad de Ciencias de la Salud de Ceuta,4612,23225,27837,3690,18580,22270
3019990000,Contratos Programa e Incentivos a Centros,72534,356735,429269,58027,285388,343415
