Capítulo,Artículo,Concepto,Denominación,Importe
Capítulo 1º. Gastos de personal,Artículo 11. Personal eventual,110,Personal eventual,360000
Capítulo 1º. Gastos de personal,Artículo 12. Funcionarios,120,Funcionarios. Retribuciones básicas,55512660
Capítulo 1º. Gastos de personal,Artículo 12. Funcionarios,121,Funcionarios. Retribuciones complementarias,85931015
Capítulo 1º. Gastos de personal,Artículo 13. Laborales,130,Personal laboral,18517114
Capítulo 1º. Gastos de personal,Artículo 13. Laborales,131,Personal labora. Otras remuneraciones,43373885
Capítulo 1º. Gastos de personal,Artículo 13. Laborales,134,Personal laboral eventual,2140000
Capítulo 1º. Gastos de personal,Artículo 14. Otro Personal,143,Personal colaboración social,300000
Capítulo 1º. Gastos de personal,Artículo 14. Otro Personal,145,Retribuciones Asociados (LRU),25735
Capítulo 1º. Gastos de personal,Artículo 14. Otro Personal,146,Retribuciones Asociados Ciencias de la Salud (LRU),408096
Capítulo 1º. Gastos de personal,Artículo 15. Incentivos al rendimiento,150,Productividad ,25268939
Capítulo 1º. Gastos de personal,Artículo 15. Incentivos al rendimiento,151,Gratificaciones,3000
Capítulo 1º. Gastos de personal,"Artículo 16. Cuotas, prestaciones y gastos sociales",160,Cuotas Sociales,32376259
Capítulo 1º. Gastos de personal,"Artículo 16. Cuotas, prestaciones y gastos sociales",162,Prestaciones y gastos sociales del personal,5128040
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,202,Arrendtº edificios y otros,0
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,203,"Arrendamiento maquinaria, instalaciones y utillaje",0
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,204,Arrendamiento material de transporte,2037
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,205,Arrendamiento mobiliario y enseres,20369
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,206,Arrendamiento equipo de informática,2037
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,208,Arrendamiento otro inmovilizado material,2037
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",212,Edificios y otras construcciones,207381
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",213,"Maquinarias, instalaciones y utillaje",341062
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",214,Elementosl de transporte,2037
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",215,Mobiliario y enseres,152769
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",216,Sistemas para procesos de información,152769
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",220,Material de orficina,1628527
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",221,Suministros,2612335
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",222,Comunicaciones,101845
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",223,Transportes,254614
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",224,Primas de seguros,61107
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",225,Tributos,0
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",226,Gastos diversos,2731373
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros","226,01",Atenciones protocolarias y de representación,205536
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",227,Trabajos realizados por otras empresas,916609
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 23. Indemnizaciones por razón del servicio,230,Dietas,916609
