Capítulo,Artículo,Concepto,Denominación,Importe
Capitulo 1º. Gastos de personal,Artículo12. Funcionarios,120,Funcionarios. Retribuciones básicas,23567
Capitulo 1º. Gastos de personal,Artículo12. Funcionarios,121,Funcionarios. Retribuciones complementarias,28039
Capitulo 1º. Gastos de personal,Artículo 13. Laborales,130,Personal laboral. Retribuciones básicas,0
Capitulo 1º. Gastos de personal,Artículo 15. Incentivos al rendimiento,150,Productividad ,8199
Capitulo 1º. Gastos de personal,"Artículo 16. Cuotas, prestaciones y gastos sociales empresa",160,Cuotas sociales,0
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,202,Arrendt. edificios y otros,800000
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,203,"Arrendt. maquinaria,instalaciones y utillaje",62302
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,204,Arrendt. material de transporte,6230
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,205,Arrendt. mobiliario y enseres,74761
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,206,Arrendt. equipo de informática,2492
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,208,Arrendt. otro inmovilizado material,2492
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",212,Edificios y otras construcciones,1652806
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",213,"Maquinarias, instalaciones y utillaje",965670
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",214,Elementos del transporte,24920
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",215,Mobiliario y enseres,249205
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",216,Sistemas para procesos de información,746979
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",217,Mantenimiento General y Optimización Energética,1609700
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",220,Material de oficina,1971283
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",221,Suministros,6447837
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",222,Comunicaciones,1370628
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",223,Transportes,373808
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",224,Primas de seguros,292816
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",225,Tributos,124602
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",226,Gastos diversos,4768761
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros","226,01",Atenciones protocolarias y de representación,261506
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",227,Trabajos realizados por otras empresas,5652128
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 23. Indemnizaciones por razón del servicio,230,Dietas,758519
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 23. Indemnizaciones por razón del servicio,231,Locomoción,747615
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 23. Indemnizaciones por razón del servicio,234,Asistencias a órganos colegiados,0
Capítulo 3º. Gastos financieros,Artículo 31. De préstamos en moneda nacional,310,Intereses operaciones a corto plazo,400000
Capítulo 3º. Gastos financieros,Artículo 31. De préstamos en moneda nacional,311,"Gastos de emisión, modificación y cancelación",0
Capítulo 4º. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,484,Convenios con otras instituciones,0
Capítulo 4º. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,485,"A Fundac, y otras instituciones sin fines de lucro",935755
Capítulo 4º. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,"485,03",Al Centro mediterráneo ,0
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,602,Construcciones propias,0
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,603,Maquinaria en general,307144
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"603,03",Maquinaria (equipamiento gral.docente),184287
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"603,04",Maquinaria (equipamiento de gestión),61429
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,605,Mobiliario y enseres en general,907206
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"605,03",Mobiliario y enseres (equip. gral.docente),184287
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"605,04",Mobiliario y enseres (equip.gestión),46072
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,606,Sistemas procesos información. en general,614289
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"606,01",Sistemas procesos información. CSIRC,275000
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"606,02",Sistemas procesos información. Enseñ. Virtuales,202715
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"606,05",Sistemas procesos información de Gestión,92143
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,608,Inversiones bibliográficas,25000
Capítulo 6º. Inversiones reales,Artículo 62. Plan plurianual inversiones 2006/2010,622,Inversiones Infraestructura y Equip. J Andalucía,0
Capítulo 6º. Inversiones reales,Artículo 66. Inversiones de Reposición,662,Inversiones propias de reposición,3100000
Capítulo 7º transferencias de capital,Artículo 78. A Familias e Instituciones sin fines de lucro,"784,4",Ayudas diversas del Consejo Social,12000
Capítulo 7º transferencias de capital,Artículo 78. A Familias e Instituciones sin fines de lucro,"785,09",A otras Instituciones. Parque de las Ciencias,106213
Capítulo 9º pasivos financieros,Artículo 91. Amortización de deuda pública,911,Amortiz. Préstamos a largo plazo. Sector público,3314122
