Capítulo,Artículo,Concepto,Denominación,Importe
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,202,Arrendtº edificios y otros,2722
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,203,"Arrendtº maquinaria,instalaciones y utillaje",2722
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,204,Arrendtº material de transporte,2722
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,205,Arrendtº mobiliario y enseres,2722
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,206,Arrendtº equipo de informática,2722
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,208,Arrendtº otro inmovilizado material,2722
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",212,Edificios y otras construcciones,136096
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",213,"Maquinarias, instalaciones y utillaje",102072
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",214,Elementos de transporte,2722
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",215,Mobiliario y enseres,20414
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",216,Sistemas para procesos de información,102072
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",220,Material de oficina,149705
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",221,Suministros,216853
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",222,Comunicaciones,20412
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",223,Transportes,2722
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",224,Primas de seguros,6805
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",225,Tributos,6805
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",226,Gastos diversos,121991
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros","226,01",Atenciones protocolarias y de representación,13610
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",227,Trabajos realizados por otras empresas,158577
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 23. Indemnizaciones por razón del servicio,230,Dietas,88048
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 23. Indemnizaciones por razón del servicio,231,Locomoción,78048
Capítulo 4º. Transferencias corrientes,Artículo 48. A familias e instituciones sin fines de lucro,"480,04",Plan Propio de Prácticas en Empresas y Entidades sin f,42566
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,603,"Maquinaria Centros, Departamentos y Servicios",1000
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"603,03",Maquinaria (Equipamiento Gral.Docente),10000
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"603,04",Maquinaria (Equipamiento de gestión),0
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,605,"Mobiliario y enseres Centros, Depart. y Servicios",20000
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"605,03",Mobiliario y enseres (Equip.Gral.docente),9300
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,"605,04",Mobiliario y enseres (Equipamiento de gestión),0
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,606,"Sistemas procesos información. Centros, Departamentos y Servic.",100000
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,608,Inversiones bibliográficas,2520318
Capítulo 6º. Inversiones reales,Artículo 64. Inversiones de carácter inmaterial,640,Investigación científica,45539478
Capítulo 6º. Inversiones reales,Artículo 64. Inversiones de carácter inmaterial,641,Plan Propio de Investigación Científica,3505000
Capítulo 6º. Inversiones reales,Artículo 64. Inversiones de carácter inmaterial,"641,02",Plan Propio Fomento Productividad Investigadora,600000
