Artículo,Concepto,Subconcepto,Denominación,Importe,Financiación No Afectada,Financiación Afectada o Finalista
40 De la Administración General del Estado,400 Del Ministerio de Educación,40000,Financiación coste Ceuta y Melilla,8217000,8217000,
40 De la Administración General del Estado,400 Del Ministerio de Educación,40003,Programas Europeos de movilidad,4088077,,4088077
40 De la Administración General del Estado,401 De otros Ministerios,40100,Financiación operaciones corrientes,0,,
41 De Organismos Autónomos Administrativos,410 De Organismos Autónomos estatales,41001,Del Instituto de la Mujer,0,,
41 De Organismos Autónomos Administrativos,410 De Organismos Autónomos estatales,41009,Del IMSERSO,0,,
41 De Organismos Autónomos Administrativos,411 De Organismos Autónomos Junta AndalucÃ­a,41113,Instituto Andaluz de la Juventud,0,,
42 De la Seguridad Social,421 Del Servicio Andaluz de Salud,42100,Plazas vinculadas. C.EspecÃ­fico,1700000,1700000,
44 De empresas públicas y otros entes públicos441 De universidades públicas,,44100,De universidades públicas,5000,,5000
45 De Comunidades Autónomas,450 Consej.Innovación Ciencia y Empresa. J.And,45000,Financiación operativa estructural,149684201,149684201,
45 De Comunidades Autónomas,450 Consej.Innovación Ciencia y Empresa. J.And,45001,Financ. Operativa vincul. resultados,,,
45 De Comunidades Autónomas,450 Consej.Innovación Ciencia y Empresa. J.And,45002,Al Consejo Social,110000,59805,50195
45 De Comunidades Autónomas,450 Consej.Innovación Ciencia y Empresa. J.And,45003,Financiación Insuficiencia Financiera,0,0,
45 De Comunidades Autónomas,450 Consej.Innovación Ciencia y Empresa. J.And,45004,Planes de apoyo  PRAEM,879618,,879618
45 De Comunidades Autónomas,450 Consej.Innovación Ciencia y Empresa. J.And,45005,Planes de apoyo Estudiantes y EEES,4088230,,4088230
45 De Comunidades Autónomas,450 Consej.Innovación Ciencia y Empresa. J.And,45007,Otros Planes de apoyo ,724750,,724750
45 De Comunidades Autónomas,451 De otras Conserjerías,45100,De Presidencia y Admon. Local,52000,,
45 De Comunidades Autónomas,451 De otras Conserjerías,"45100,01", De Presidencia,0,,
45 De Comunidades Autónomas,451 De otras Conserjerías,"45100,02", De Presidencia (C. Docum. Europea),52000,,52000
45 De Comunidades Autónomas,451 De otras Conserjerías,45103,De Justicia e Interior,0,,
45 De Comunidades Autónomas,451 De otras Conserjerías,45105,"De Empleo, Empresa y Comercio",0,,
45 De Comunidades Autónomas,451 De otras Conserjerías,45106,De Turismo y Deporte,0,,
45 De Comunidades Autónomas,451 De otras Conserjerías,45110,De Igualdad y Políticas Sociales,6050,,6050
45 De Comunidades Autónomas,451 De otras Conserjerías,45111,De Cultura,0,,
45 De Comunidades Autónomas,451 De otras Conserjerías,45112,De Salud,60000,,60000
45 De Comunidades Autónomas,451 De otras Conserjerías,45199,De otras Conserjerías y entes de la J.A.,200000,,200000
45 De Comunidades Autónomas,459 De otras Comunidades Autónomas,45901,De la Ciudad Autónoma de Melilla,1901371,1901371,
45 De Comunidades Autónomas,459 De otras Comunidades Autónomas,45902,De la Ciudad Autónoma de Ceuta,38000,,38000
46 De Corporaciones Locales,460 De Diputaciones y Cabildos Insulares,46000,De la Diputación de Granada,15000,,15000
46 De Corporaciones Locales,460 De Diputaciones y Cabildos Insulares,46000,De la Diputación de Granada,14200,,14200
46 De Corporaciones Locales,461 De Ayuntamientos,46100,Del Ayuntamiento de Granada,50000,,50000
46 De Corporaciones Locales,461 De Ayuntamientos,46101,Del Ayuntamiento de Guadix,4000,,4000
46 De Corporaciones Locales,461 De Ayuntamientos,46102,Del Ayuntamiento de Almuñecar,3000,,3000
46 De Corporaciones Locales,461 De Ayuntamientos,46199,De otros Ayuntamientos,20000,,20000
47 De empresas privadas,470 De entidades financieras,47001,De Banco Mare Nostrum segÃºn Convenio,0,,
47 De empresas privadas,470 De entidades financieras,47002,Del BSCH según Convenio,350000,350000,
47 De empresas privadas,470 De entidades financieras,47005,De Caja Rural de Granada s/conv,144000,144000,
47 De empresas privadas,470 De entidades financieras,47006,De La Caixa s/ acuerdo,100000,100000,
47 De empresas privadas,479 De otras empresas,47900,Para prácticas educativas,160000,160000,
47 De empresas privadas,479 De otras empresas,47901,Para actividades académicas,40000,,40000
47 De empresas privadas,479 De otras empresas,47902,Para patrocinio deportivo,20000,,20000
48 De Familias e Instituciones sin fines de lucro,480 De Familias,48000,De Familias e Inst. sin lucro,4000,,4000
48 De Familias e Instituciones sin fines de lucro,480 De Familias,48002,De Federaciones deportivas,2000,,2000
48 De Familias e Instituciones sin fines de lucro,De Instituciones sin fines de lucro,48100,De Fundacion Gral. Univ. de Granada-Empresa,25000,,25000
48 De Familias e Instituciones sin fines de lucro,De Instituciones sin fines de lucro,48103,De Otras Fundaciones,50000,,50000
49 Del exterior,490 Otras transferencias de la Unión Europea,49500,Para programas europeos,3749541,,3749541
