Artículo,Concepto,Subconcepto,Denominación,Importe,Financiación Genérica,Financiación afectada o finalista
52 Intereses de depósitos,520 Intereses de cuentas bancarias,52000,De Banco Mare Nostrum,20000,20000,
52 Intereses de depósitos,520 Intereses de cuentas bancarias,52001,De otras cuentas y depósitos,4500,4500,
54 Rentas de bienes inmuebles,541 Alquiler y productos de inmuebles,54101,Instalaciones deportivas,200000,,200000
54 Rentas de bienes inmuebles,541 Alquiler y productos de inmuebles,54102,Aulas y otros recintos universitarios,100000,,100000
54 Rentas de bienes inmuebles,541 Alquiler y productos de inmuebles,54103,Arrendamientos CETIC,230000,207000,23000
54 Rentas de bienes inmuebles,541 Alquiler y productos de inmuebles,54104,Arrendamientos CTT,22000,19800,2200
55 Producto de concesiones y aprov.especiales,551 De concesiones administrativas,55100,De cafeterías,220000,,220000
55 Producto de concesiones y aprov.especiales,551 De concesiones administrativas,55101,De reprografías,130000,,130000
55 Producto de concesiones y aprov.especiales,551 De concesiones administrativas,55102,De máquinas expendedoras,400000,200000,200000
55 Producto de concesiones y aprov.especiales,551 De concesiones administrativas,55199,De otras concesiones administrativas,2500,,2500
59 Otros ingresos patrimoniales,591 Explotación de patentes,59100,Licencias y explotación de patentes,1000,,1000
59 Otros ingresos patrimoniales,591 Explotación de patentes,59999,Otros ingresos patrimoniales,20000,,20000
