Artículo,Concepto,Subconcepto,Denominación,Importe,Financiación No afecta,Financiación afectada o finalista
70 De la Administración General del Estado,"700 Del Ministerio Educación, Cultura y Deporte",70000,Para investigación científica,18200000,1274000,1692600
70 De la Administración General del Estado,"700 Del Ministerio Educación, Cultura y Deporte",70001,"Para equipam, Campus Ceuta y Melilla",0,,
70 De la Administración General del Estado,"700 Del Ministerio Educación, Cultura y Deporte",70003,Programas europeos de movilidad,110000,,110000
70 De la Administración General del Estado,701 De otros Ministerios,70100,Para investigación científica,158140,,158140
71 De Organismos Autónomos Administrativos,710 De Organismos Autónomos estatales,71000,Del Instituto de Salud Carlos III,220000,,220000
71 De Organismos Autónomos Administrativos,710 De Organismos Autónomos estatales,71001,Del Instituto de la Mujer,0,,0
71 De Organismos Autónomos Administrativos,710 De Organismos Autónomos estatales,71002,Del Instituto Nacional Invest.Agrarias,20000,,20000
71 De Organismos Autónomos Administrativos,710 De Organismos Autónomos estatales,71003,Del Consejo Superior de Deportes,0,,0
71 De Organismos Autónomos Administrativos,710 De Organismos Autónomos estatales,71004,De la A.E.C.I.,0,,0
71 De Organismos Autónomos Administrativos,710 De Organismos Autónomos estatales,71005,Del C.S.I.C.,25000,,25000
71 De Organismos Autónomos Administrativos,711 De Organismos Autónomos Junta Andalucía,71101,Instituto Andaluz de la Mujer,0,,0
71 De Organismos Autónomos Administrativos,711 De Organismos Autónomos Junta Andalucía,71102,Instituto Estadística de Andalucía,0,,0
74 De empresas públicas y otros entes públicos,740 De Otros Organismos,74001,De otros organismos,47040,,47040
74 De empresas públicas y otros entes públicos,740 De Otros Organismos,74099,De Otros Entes públicos,36000,,36000
74 De empresas públicas y otros entes públicos,741 De Universidades,74100,De Universidades Andaluzas,30000,,30000
74 De empresas públicas y otros entes públicos,741 De Universidades,74199,De Otras Universidades,50000,,50000
75 De Comunidades Autónomas,750 Consej.Economía Innovación Ciencia y Empleo,75000,Para investigación científica,14364292,,14364292
75 De Comunidades Autónomas,750 Consej.Economía Innovación Ciencia y Empleo,75001,Invers. Infraestr. y Equipam J And (P.A.U.),3100000,,3100000
75 De Comunidades Autónomas,750 Consej.Economía Innovación Ciencia y Empleo,75002,Cofinancia Progr.Operativ.FEDER J. And,1096429,,1096429
75 De Comunidades Autónomas,750 Consej.Economía Innovación Ciencia y Empleo,75003,Financ Basica Investi. (Grupos investig),2500000,,2500000
75 De Comunidades Autónomas,750 Consej.Economía Innovación Ciencia y Empleo,75007,Financ BASICA Operat Investig,105414093,105414093,
75 De Comunidades Autónomas,750 Consej.Economía Innovación Ciencia y Empleo,,Financ Básica para inversiones,3972885,3972885,
75 De Comunidades Autónomas,750 Consej.Economía Innovación Ciencia y Empleo,75008,Invers. Infraestr. Científica J. And,979117,,979117
75 De Comunidades Autónomas,751 De otras Conserjerías,75100,De Presidencia,0,,0
75 De Comunidades Autónomas,751 De otras Conserjerías,75101,De Gobernación,0,,0
75 De Comunidades Autónomas,751 De otras Conserjerías,75102,De Educación,0,,0
75 De Comunidades Autónomas,751 De otras Conserjerías,75103,De Justicia y Administraciones Públic,0,,0
75 De Comunidades Autónomas,751 De otras Conserjerías,75105,De Empleo,0,,0
75 De Comunidades Autónomas,751 De otras Conserjerías,75110,De Igualdad y Bienestar Social,0,,0
75 De Comunidades Autónomas,751 De otras Conserjerías,75111,De Cultura,0,,0
75 De Comunidades Autónomas,759 De otras Comunidades Autónomas,75909,De resto de Comunidades Autónomas,6000,,6000
76 De Corporaciones Locales,760 De Diputaciones y Cabildos Insulares,76000,De la Diputación de Granada,0,,0
76 De Corporaciones Locales,760 De Diputaciones y Cabildos Insulares,76099,De otras Diputaciones Provinciales,0,,0
76 De Corporaciones Locales,761 De Ayuntamientos,76100,Del Ayuntamiento de Granada,20000,,20000
77 De empresas privadas,770 De entidades financieras,77002,Del BSCH,350000,350000,
77 De empresas privadas,770 De entidades financieras,77003,De Caja Rural,250000,0,
77 De empresas privadas,779 De otras empresas (cátedras),77900,De otras empresas para investigación,200000,,200000
77 De empresas privadas,779 De otras empresas (cátedras),77900,FUJITSU,14400,,14400
77 De empresas privadas,779 De otras empresas (cátedras),77901,De otras empresas (cátedras),20000,,20000
78 De familias e instituciones sin fines de lucro,781 De instituciones y fundaciones,78100,Para investigación científica. FGUgrE,120000,,120000
78 De familias e instituciones sin fines de lucro,781 De instituciones y fundaciones,78103,De fundaciones,200000,,200000
78 De familias e instituciones sin fines de lucro,781 De instituciones y fundaciones,78109,De otros. Para investigación científica,200000,,200000
79 Del exterior,795 Otras transferencias de la Unión Europea,79500,Para investigación científica,7007926,1000000,6007926
79 Del exterior,796 Transferencias de fuera de la Unión Europea,79600,De fuera de la Unión Europea,200000,,200000
