Subprograma,Denominación,Actuaciones,Crédito,Financiación específica: externa,Financiación específica: Rec. Propios
321B.1,Consejo Social,Consejo Social,110000,0,0
321B.2,Extensión Universitaria,Gestión Vicerrect.Extensión Universitaria,59138,0,0
321B.2,Extensión Universitaria,Recursos Extensión Universitaria,87860,0,0
321B.2,Extensión Universitaria,Cultura Contemporánea,341000,0,0
321B.2,Extensión Universitaria,Unidad de Cultura Científica,20900,0,0
321B.2,Extensión Universitaria,Jardín Botánico,11800,0,0
321B.2,Extensión Universitaria,Patrimonio Cultural Mueble,153561,0,0
321B.2,Extensión Universitaria,Orquesta de Cámara,53000,8000,0
321B.2,Extensión Universitaria,Herbario Universitario,13191,0,0
321B.2,Extensión Universitaria,Centro Mediterráneo,112200,28200,60000
321B.2,Extensión Universitaria,Proyecto ATALAYA,224000,224000,0
321B.2,Extensión Universitaria,A Fundaciones y otras Instituciones,1038968,0,0
321B.3,Infraestructuras y Equipamiento,Plan Director de Infraestructuras,0,0,0
321B.3,Infraestructuras y Equipamiento,Mantenimiento General y Optimización Energética,2409700,0,0
321B.3,Infraestructuras y Equipamiento,Inversiones Infraestructura y Equipamiento Junta Andalucía,3100000,0,0
321B.3,Infraestructuras y Equipamiento,Mantenimiento Centros,1988169,0,0
321B.4,"Responsabilidad Social, Igualdad e Inclusión","Vicerrectorado de Responsabilidad Socia, Igualdad e Inclusión",100000,0,0
321B.4,"Responsabilidad Social, Igualdad e Inclusión","Servicios de Salud, Prevención de Riesgos Laborales,Protección Radiológica y Unidad de Calidad Ambiental.",525489,0,0
321B.4,"Responsabilidad Social, Igualdad e Inclusión","Área de Inclusión, Igualdad y Campus Saludable",237828,1500,0
321B.4,"Responsabilidad Social, Igualdad e Inclusión",Calidad de Vida y Envejecimiento,4500,0,0
321B.4,"Responsabilidad Social, Igualdad e Inclusión",Actuaciones de Cooperación al Desarrollo Local,6000,0,0
321B.4,"Responsabilidad Social, Igualdad e Inclusión",Comedores Universitarios,1400000,0,1100000
321B.4,"Responsabilidad Social, Igualdad e Inclusión",C.M. Isabel la Católica y Residencias Universitarias,387187,0,262000
321B.4,"Responsabilidad Social, Igualdad e Inclusión",Gabinete Acción Social,7200,0,0
321B.4,"Responsabilidad Social, Igualdad e Inclusión",Centro de Actividades Deportivas,827325,0,513000
321B.4,"Responsabilidad Social, Igualdad e Inclusión",Ugr Solidaria,35800,0,0
321B.4,"Responsabilidad Social, Igualdad e Inclusión",Convenio con Asociaciones,91200,0,0
321B.6,Secretaría General y de Coordinación,Secretaría General y de Coordinación,41350,0,0
321B.6,Secretaría General y de Coordinación,Area de Simplificación,71500,0,0
321B.6,Secretaría General y de Coordinación,"Documentación, Difusión y Comunicaciones",180556,0,0
321B.6,Secretaría General y de Coordinación,Servicios Jurídicos,75786,0,0
321B.6,Secretaría General y de Coordinación,Archivo Universitario,7200,0,0
321B.6,Secretaría General y de Coordinación,Servicio de Asuntos Generales,429276,0,0
321B.6,Secretaría General y de Coordinación,Defensor Universitario,4700,0,0
321B.6,Secretaría General y de Coordinación,Inspección de Servicios,6400,0,0
321B.6,Secretaría General y de Coordinación,Oficina de Control Interno,5000,0,0
321B.7,Universidad Digital,Gestión Delegación para la Universidad Digital,12500,0,0
321B.7,Universidad Digital,Centro de Servicios Informáticos y R.C.,479000,0,0
321B.7,Universidad Digital,Mantenimiento Hardware y software,982620,0,0
321B.7,Universidad Digital,Actuaciones Tarjeta Universitaria,119462,0,0
321B.7,Universidad Digital,Actuaciones Udigital,721225,0,0
321B.8,Gastos Generales y de Gestión,Gastos Estructurales,16016940,0,0
321B.8,Gastos Generales y de Gestión,Servicios Centrales,1000621,0,0
321B.8,Gastos Generales y de Gestión,Primas de seguros,300000,0,0
321B.8,Gastos Generales y de Gestión,Amortización de préstamos,3314122,0,0
321B.8,Gastos Generales y de Gestión,Gastos Finacieros,400000,0,0
321B.8,Gastos Generales y de Gestión,Dietas y locomoción,655000,0,0
321B.8,Gastos Generales y de Gestión,"Suministros, equipos de oficina y otros gastos",1604250,463750,1140500
321B.9,Coordinación Ceuta y Melilla,Coordinación Melilla,12000,0,0
321B.9,Coordinación Ceuta y Melilla,Coordinación Ceuta,9000,0,0
