Acción,Denominación,Importe
A deducir,Venta e intercambio de Publicaciones. Editorial,150000
A deducir,Comedor Universitario,1100000
A deducir,Alojamiento Residencias Universitarias,262000
A deducir,Concesiones administrativas cesión de espacios,822500
A deducir,Ingresos diversos,318000
A deducir,Cursos Casa de Porras,100000
A deducir,Cursos propios Escuela de Posgrado,689800
A deducir,Centro de Actividades Deportivas,513000
A deducir,Precios públicos Centro Instrumentación Científica,300000
A deducir,Precios públicos Centro Mediterráneo,60000
A deducir,Extensión Universitaria. Convenios y ayudas Unidad Cultura Científica,91066
A deducir,Extensión Universitaria. Orquesta Ugr.,8000
A deducir,Proyecto Atalaya,224000
A deducir,Centro Mediterráneo,28200
A deducir,Unidad de Igualdad y conciliación,1500
A deducir,Centro de Documentación Europea,52000
A deducir,U. Digital,14400
A deducir,Canon CETIC y CTT y patentes,26200
A deducir,Aula Permanente de Formación Abierta,160000
A detraer,Mantenimiento. Unidad Técnica,1609700
A detraer,Unidad Técnica. Canon CETIC,800000
A detraer,Comedores Universitarios,300000
A detraer,Dietas pruebas de acceso y órganos colegiados,225000
A detraer,Mantenimiento de equipos informáticos,982620
A detraer,Actuaciones Tarjeta Universitaria,119462
A detraer,"Actuaciones en salud, prevención de riesgos laborales, protección radiológica y calidad ambiental",320000
A detraer,Otras prácticas,118500
A detraer,Prácticas de odontología,125000
A detraer,Primas de seguros,300000
A detraer,Apoyo a enseñanzas prácticas,1431090
A detraer,Dietas tesis doctorales,400000
A detraer,Tribunales oposiciones cuerpos docentes,30000
A detraer,Seguimiento y mejora de las titulaciones,64000
A detraer,Vestuario personal laboral fijo y sustituciones,541708
