Orgánica,Vicerrectorado,Centro,Importe
3021390000,Vicerrectorado de Docencia,Vicerrectorado de Docencia,25977
3020240000,Vicerrectorado de Docencia,Másteres Universitarios,1544175
3045010x00,Vicerrectorado de Docencia,Escuelas de Doctorado,244000
3020500000,Vicerrectorado de Docencia,Escuela Internacional de Posgrado,110000
3020870000,Vicerrectorado de Docencia,Aula Permanente de Formación Abierta,18000
3020060000,Vicerrectorado Investigación y Transferencia,Vicerrectorado Investigación y Transferencia,49000
3020170000,Vicerrectorado Investigación y Transferencia,Biblioteca Universitaria,2969098
3021300000,Vicerrectorado Investigación y Transferencia,Biblioteca de Medicina y Ciencias de la Salud (mantenimiento),6000
3020020000,Vicerrectorado Investigación y Transferencia,Centro de Instrumentación Científica,162000
3020190000,Vicerrectorado Investigación y Transferencia,Oficina de Transferencia de Resultados de Investigación,48000
3021430000,Vicerrectorado Investigación y Transferencia,Comisión Mixta Universidad – MADOC,35000
3022260000,Vicerrectorado Investigación y Transferencia,Oficina de Proyectos Internacionales,12000
3021160000,Vicerrectorado Investigación y Transferencia,Editorial Universidad de Granada,67500
3021270000,Vicerrectorado Investigación y Transferencia,Centro de Documentación Científica,7306
3020560000,Vicerrectorado Investigación y Transferencia,Centro de Documentación Europea,7306
3022540000,Vicerrectorado Investigación y Transferencia,Edificio Centro de Investigación Biomédica,67363
3023170000,Vicerrectorado Investigación y Transferencia,Centro de Investigación CITIC,18000
3020780000,Vicerrectorado Investigación y Transferencia,"Centro de Investigación Mente, Cerebro y Comportamiento CIMCYC",25924
Varios,Vicerrectorado Investigación y Transferencia,Institutos Universitarios (14),167153
Varios,Vicerrectorado Investigación y Transferencia,Institutos Universitarios Contratos Programa ,29498
3021810000,Vicerrectorado de Internacionalización,Vicerrectorado de Internacionalización,13000
3021120000,Vicerrectorado de Internacionalización,Oficina de Relaciones Internacionales,85000
3021810000,Vicerrectorado de Internacionalización,Vicerrectorado de Internacionalización: Promoción lingüística,75000
