Orgánica,Centro,Actividad Académica,Mantenimiento
3010010000,Facultad de Filosofía y Letras,37751,135365
3010020000,Facultad de Derecho,35749,102369
3010030000,Facultad de Ciencias,42500,341319
3010040000,Facultad de Medicina,14313,151941
3010050000,Facultad de Farmacia,23084,125562
3010060000,Facultad de Bellas Artes,10307,93902
3010070000,Facultad de Odontología,3559,56265
3010080000,Facultad de Ciencias de la Educación,38165,87070
3010090000,Facultad de Ciencias Políticas y Sociología,15968,55707
3010100000,"E.T.S. de Ingenieros Caminos, Canales y Puertos",7088,97436
3010110000,Facultad de Ciencias del Deporte,7692,75871
3010190000,Facultad de Tradución e Interpretación,10592,33211
3010230000,Facultad de Educación y Humanidades de Ceuta,5988,38046
3010240000,Facultad de Educación y Humanidades de Melilla,4736,19453
3010250000,Facultad de Psicología,14093,61795
3010260000,Facultad de Ciencias Económicas y Empresariales,40155,113148
3010280000,Facultad de Ciencias Sociales de Melilla,2759,15939
3010290000,Facultad de Comunicación y Documentación,4418,46326
3010300000,Escuela Técnica Superior de Ingeniería de Edificación,6762,74207
3010330000,Facultad de Ciencias de la Salud,10564,56056
3010350000,Facultad de Trabajo Social,6446,12101
3010400000,Facultad de Ciencias del Trabajo,10484,25717
3010410000,E.T.S. de Arquitectura,9070,49075
3010440000,E.T.S. de Ingenierías de Informática y Telecomunicación,14654,63488
3010810000,Facultad de Ciencias de la Salud de Melilla,3289,12000
3010900000,Facultad de Ciencias de la Salud de Ceuta,3795,18580
3019990000,Contratos Programa e Incentivos a Centros,57597,293913
,Fondo de apoyo a la financiación de Centros,38398,196195
