Orgánica,Centro,Número de alumnos,Importe
3010010000,Facultad de Filosofía y Letras,4994,37751
3010020000,Facultad de Derecho,4729,35749
3010030000,Facultad de Ciencias,5622,42500
3010040000,Facultad de Medicina,1893,14313
3010050000,Facultad de Farmacia,3053,23084
3010060000,Facultad de Bellas Artes,1363,10307
3010070000,Facultad de Odontologí­a,471,3559
3010080000,Facultad de Ciencias de la Educación,5048,38165
3010090000,Facultad de Ciencias Políticas y Sociología,2112,15968
3010100000,"E.T.S. de Ingenieros de Caminos, Canales y Puertos",938,7088
3010110000,Facultad de Ciencias del Deporte,1017,7692
3010190000,Facultad de Tradución e Interpretación,1401,10592
3010230000,"Facultad de Educación, Economí­a y Tecnología de Ceuta",792,5988
3010240000,Facultad de Educación y Humanidades de Melilla,626,4736
3010250000,Facultad de Psicologí­a,1864,14093
3010260000,Facultad de Ciencias Económicas y Empresariales,5312,40155
3010280000,Facultad de Ciencias Sociales de Melilla,365,2759
3010290000,Facultad de Comunicación y Documentación,584,4418
3010300000,E.T.S. de Ingeniería de Edificación,895,6762
3010330000,Facultad de Ciencias de la Salud de Granada,1397,10564
3010350000,Facultad de Trabajo Social,853,6446
3010400000,Facultad de Ciencias del Trabajo,1387,10484
3010410000,E.T.S. de Arquitectura,1200,9070
3010440000,E.T.S. de Ingenierías de Informática y Telecomunicación,1938,14654
3010810000,Facultad de Ciencias de la Salud de Melilla,435,3289
3010900000,Facultad de Ciencias de la Salud de Ceuta,502,3795
3019990000,Contrato Programa a Centros,0,57597
3019990000,Incentivos al Cumplimiento Ley de Morosidad,0,0
3019990000,Fondo de apoyo a financiación de Centros,0,38398
